Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits
DC19835,"SARATOGA DAY CARE, INFANT/TODDLER PROGRAM",SARATOGA DAYCARE CORP,"1797 PARK PLACE (406 SARATOGA AVENUE ENTRANCE, BOX 15)",BROOKLYN,11233,347-955-4145,14639,2016-04-11,Permitted,0 YEARS - 2 YEARS,18,No,Private,15,2,0,13,4
DC16819,SCAN  LAGUARDIA  HOUSE NURSERY,SCAN NEW YORK,414 EAST 105TH STREET,MANHATTAN,10029,212-722-7441,7817,2013-10-15,Expired-InRenewal,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,51,2,33,16,14
DC24697,SCO FAMILY OF SERVICES-MORRIS KOPPLEMAN EARLY CHILDHOOD EDUCATION CENTER,"SCO FAMILY OF SERVICES, INC.",774 SARATOGA AVENUE,BROOKLYN,11212,718-345-6666,24398,2014-10-09,Permitted,2 YEARS - 5 YEARS,145,No,ACS Contracted Preschools,48,15,21,12,11
DC24698,SCO FAMILY OF SERVICES-SHIRLEY CHISHOLM EARLY CHILDHOOD EDUCATION CENTER,SCO FAMILY OF SERVICES,69 SARATOGA AVENUE,BROOKLYN,11233,718-443-4100,24138,2014-10-05,Permitted,2 YEARS - 5 YEARS,165,No,ACS Contracted Preschools,27,2,18,7,11
DC24791,SEABURY DAY CARE CENTER,"LEAKE AND WATTS SERVICES, INC.",575 SOUNDVIEW AVENUE,BRONX,10473,718-991-1500,33197,2015-02-25,Permitted,2 YEARS - 5 YEARS,82,No,ACS Contracted Preschools,19,8,6,5,6
DC1333,SECOND HOUSING NURSERY,SECOND HOUSING NURSERY,161-55 JEWEL AVENUE,QUEENS,11365,718-591-2399,4438,2014-11-12,Permitted,2 YEARS - 5 YEARS,20,No,Private,4,2,2,0,6
DC2801,SEMILLITAS CHILDREN EDUCATION CENTER,SEMILLITAS CORP.,81-07 NORTHERN BOULEVARD,QUEENS,11372,718-507-2723,7033,2014-11-05,Permitted,2 YEARS - 5 YEARS,20,No,Private,9,2,4,3,8
DC21850,SEPHARDIC ACADEMY OF MANHATTAN,SEPHARDIC ACADEMY OF MANHATTAN,1274 SECOND AVENUE,MANHATTAN,10065,212-249-6391,8379,2015-11-02,Permitted,2 YEARS - 5 YEARS,105,No,Private,12,2,7,3,5
DC2019,SEPHARDIC COMMUNITY EARLY CHILDHOOD CENTER,"SEPHARDIC COMMUNITY YOUTH CENTER, INC.",1901 OCEAN PARKWAY,BROOKLYN,11223,718-627-4300,5079,2015-06-11,Permitted,2 YEARS - 5 YEARS,182,No,Private,31,4,11,16,6
DC1228,SESAME SPROUT,SESAME SPROUT INC.,96-08 57 AVENUE,QUEENS,11368,718-213-4326,4445,2015-09-16,Permitted,2 YEARS - 5 YEARS,113,No,Private,20,3,12,5,9
DC21976,SETON DAY CARE CENTER,NEW YORK FOUNDLING,245 EAST 92ND  STREET,MANHATTAN,10128,212-369-9626,15458,2014-04-26,Expired-InRenewal,0 YEARS - 2 YEARS,18,No,Private,3,1,2,0,3
DC2149,SEVENTH  AVENUE  CENTER  FOR FAMILY  SERVICES HEAD START,SEVENTH AVENUE CENTER FOR FAMILY SERVICES HEAD START,711 LENOX AVENUE,MANHATTAN,10039,212-862-0600,6913,2015-10-18,Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,13,1,10,2,6
DC1973,SEVENTH AVENUE CENTER FOR FAMILY SERVICES,SEVENTH AVENUE CENTER FOR FAMILY SERVICES,1646 MONTGOMERY AVENUE,BRONX,10453,718-901-0140,6915,2015-11-01,Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,8,0,2,6,9
DC25176,SHALOM YELADIM EARLY CHILDHOOD CENTER.,"SHALOM YELADIM, INC.",135 BENNETT AVENUE,MANHATTAN,10040,212-568-1900,54777,2015-12-04,Permitted,2 YEARS - 5 YEARS,30,No,Private,0,0,0,0,0
DC15287,SHARON  BAPTIST  HEAD START - CENTER 4 (DELEGATE PROGRAM),"SHARON BAPTIST BOARD OF DIRECTORS,INC.",1925 BATHGATE AVENUE,BRONX,10457,718-466-1604,6839,2014-12-13,Permitted,2 YEARS - 5 YEARS,93,No,ACS Contracted Preschools,1,0,0,1,9
DC1589,SHARON BAPTIST HEAD START,"SHARON BAPTIST BOARD OF DIRECTORS, INC.",279-281 EAST BURNSIDE AVENUE,BRONX,10457,718-299-6500,6834,2014-12-01,Permitted,2 YEARS - 5 YEARS,109,No,ACS Head Start,4,1,1,2,5
DC17170,SHARON BAPTIST HEAD START,"SHARON BAPTIST BOARD OF DIRECTORS, INC.",507-509 EAST 165TH STREET,BRONX,10456,718-466-1604,7721,2015-03-01,Permitted,2 YEARS - 5 YEARS,126,No,ACS Contracted Preschools,10,1,2,7,5
DC2091,SHARON BAPTIST HEAD START - GRANTEE,"SHARON BAPTIST BOARD OF DIRECTORS, INC.",1925 BATHGATE AVENUE,BRONX,10457,718-466-1605,6965,2016-05-04,Permitted,2 YEARS - 5 YEARS,72,No,Head Start (Direct Fed. Funding),3,1,1,1,7
DC3113,SHARON NURSERY SCHOOL,SHARON NURSERY INC,145-15 34 AVENUE,QUEENS,11354,718-539-8467,6167,2016-03-26,Permitted,2 YEARS - 5 YEARS,40,No,Private,3,0,3,0,8
DC25380,SHELDON R. WEAVER DAY CARE CENTER,"BETHEL MISSION STATION CHURCH, INC.",72-05 BEACH CHANNEL DRIVE,QUEENS,11692,718-474-8618,49797,2015-08-08,Permitted,2 YEARS - 5 YEARS,28,No,ACS Contracted Preschools,3,0,3,0,2
DC1455,SHELTERING ARMS LEARNING CENTER,EPISCOPAL SOCIAL SERVICES,2493 ADAM CLAYTON POWELL BLVD,MANHATTAN,10030,212-368-1743,5486,2015-07-26,Permitted,2 YEARS - 5 YEARS,48,No,ACS Contracted Preschools,25,5,16,4,8
DC2108,SHEMA KOLAINU- HEAR OUR VOICES,SHEMA KOLAINU- HEAR OUR VOICES,4302 NEW UTRECHT AVENUE,BROOKLYN,11219,718-686-9600,7268,2015-07-26,Permitted,2 YEARS - 5 YEARS,24,No,Private,3,1,0,2,5
DC21169,SHEMTOV PLAYGROUP,"SHEMTOV PLAYGROUP, INC.",1565 59 STREET,BROOKLYN,11219,718-633-7529,8216,2014-09-28,Permitted,2 YEARS - 5 YEARS,58,No,Private,31,6,19,6,7
DC24604,SHEMTOV PLAYGROUP,"SHEMTOV PLAYGROUP, INC.",4917 14TH AVENUE,BROOKLYN,11219,718-851-7529,31638,2015-01-29,Permitted,2 YEARS - 5 YEARS,22,No,Private,7,0,1,6,3
DC2825,SHIN KWANG CHURCH NURSERY,THE SHIN KWANG CHURCH OF NEW YORK,33-55 BELL BOULEVARD,QUEENS,11361,718-357-3355,6551,2014-06-23,Permitted,2 YEARS - 5 YEARS,30,No,Private,14,3,7,4,8
DC14255,SHINING STARS PRE-SCHOOL,SHINING STARS PRESCHOOL CORP.,1879 BRONXDALE AVENUE,BRONX,10462,718-409-1316,7705,2015-01-05,Permitted,2 YEARS - 5 YEARS,34,No,Private,11,1,5,5,6
DC20506,SHIRA HEAD START BAIS YAAKOV ADAS YEREIM,"SHIRA ASSOCIATION, INC.",1169 43RD STREET,BROOKLYN,11219,718-435-7700,8120,2016-01-13,Permitted,2 YEARS - 5 YEARS,57,No,Head Start (Direct Fed. Funding),7,0,5,2,6
DC12024,"SHIRA HEAD START BAIS YAAKOV I.II,III,IV,V,VL,VLL","SHIRA ASSOCIATION, INC.",4502 14 AVENUE,BROOKLYN,11219,718-435-5755,7503,2015-08-04,Permitted,2 YEARS - 5 YEARS,115,No,Head Start (Direct Fed. Funding),13,0,9,4,7
DC10635,"SHIRA HEAD START BETH HILLEL I, II, III","SHIRA ASSOCIATION, INC.",1364 42 STREET,BROOKLYN,11219,718-438-3535,5059,2015-01-25,Permitted,2 YEARS - 5 YEARS,43,No,Head Start (Direct Fed. Funding),23,4,13,6,6
DC14455,"SHIRA HEAD START BNOS ZION I,II,III,IV,V,V1","SHIRA ASSOCIATION, INC.",5002 14TH AVENUE,BROOKLYN,11219,718-435-7700,5004,2014-05-24,Expired-InRenewal,2 YEARS - 5 YEARS,100,No,ACS Contracted Preschools,33,4,13,16,11
DC10716,"SHIRA HEAD START BOYAN I,II","SHIRA ASSOCIATION, INC.",1205 44 STREET,BROOKLYN,11219,718-435-7700,5717,2014-07-15,Permitted,2 YEARS - 5 YEARS,38,No,Head Start (Direct Fed. Funding),32,4,18,10,13
DC2121,SHIRA HEAD START CHASAN SOFER I & II,"SHIRA ASSOCIATION, INC.",1717 49TH STREET,BROOKLYN,11204,718-435-7700,5018,2016-05-26,Permitted,2 YEARS - 5 YEARS,40,No,Private,25,5,16,4,7
DC10745,"SHIRA HEAD START GUR I, II, III,1V,V","SHIRA ASSOCIATION, INC.",1975 51ST STREET,BROOKLYN,11204,718-435-7700,6064,2014-06-15,Permitted,2 YEARS - 5 YEARS,82,No,Private,2,0,1,1,4
DC164,"SHIRA HEAD START SHAAREI HAYOSHER I,II","SHIRA ASSOCIATION, INC.",1334 OCEAN PARKWAY,BROOKLYN,11230,718-435-7700,5729,2014-05-25,Expired-InRenewal,2 YEARS - 5 YEARS,36,No,Private,32,13,16,3,6
DC63,"SHIRA HEAD START SPINKA I, II","SHIRA ASSOCIATION, INC.",5801 15 AVENUE,BROOKLYN,11219,718-435-7700,5957,2015-06-19,Permitted,2 YEARS - 5 YEARS,40,No,Head Start (Direct Fed. Funding),13,3,7,3,8
DC10553,SHIRA HEAD START YESODEI HATORAH,"SHIRA ASSOCIATION,INC.",1350 50 STREET,BROOKLYN,11219,718-435-7700,5956,2014-11-16,Permitted,2 YEARS - 5 YEARS,18,No,Head Start (Direct Fed. Funding),5,0,4,1,7
DC22455,SHIRLEY CHISHOLM  DAY CARE CENTER # 5,SHIRLEY CHISHOLM DAY CARE CENTER INC,265 SUMPTER STREET,BROOKLYN,11233,718-452-1200,9601,2015-12-07,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,14,1,4,9,5
DC14355,SHIRLEY CHISHOLM D.C.C. # 2,"SHIRLEY CHISHOLM DAY CARE CENTER, INC.",333 14 Street,BROOKLYN,11215,718-499-7159,7584,2014-08-18,Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,11,0,4,7,7
DC10762,SHIRLEY CHISHOLM DAY CARE CENTER  #1,"SHIRLEY CHISHOLM DAY CARE CENTER, INC.",2023 PACIFIC STREET,BROOKLYN,11233,718-756-1721,4196,2015-07-06,Permitted,0 YEARS - 2 YEARS,8,No,ACS Contracted Preschools,5,3,2,0,9
DC14352,SHIRLEY CHISHOLM DAY CARE CENTER #1,"SHIRLEY CHISHOLM DAY CARE CENTER,INC",2023 PACIFIC STREET,BROOKLYN,11233,718-756-1721,4130,2014-09-23,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools,6,1,2,3,9
DC20004,SHIRLEY CHISHOLM DAY CARE CENTER #4,SHIRLEY CHISHOLM DAY CARE CENTER INC.,33 SOMERS STREET,BROOKLYN,11233,718-498-6200,8025,2015-07-03,Permitted,2 YEARS - 5 YEARS,124,No,ACS Contracted Preschools,22,3,15,4,17
DC20006,SHIRLEY CHISHOLM DAY CARE CENTER #4,"SHIRLEY CHISHOLM DAY CARE CENTER, INC.",33 SOMERS STREET,BROOKLYN,11233,718-498-6200,8024,2015-07-03,Permitted,0 YEARS - 2 YEARS,8,No,ACS Contracted Preschools,16,4,4,8,7
DC11249,SHOLOM DAY CARE,SHOLOM DAY CARE INC.,84-37 118 STREET,QUEENS,11415,718-849-9189,6992,2016-04-23,Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,3,0,1,2,9
DC1129,SHOLOM DAY CARE INC,SHOLOM DAY CARE INC.,82-04 LEFFERTS BOULEVARD,QUEENS,11415,718-441-9893,7143,2015-05-23,Permitted,2 YEARS - 5 YEARS,72,No,ACS Contracted Preschools,3,0,0,3,10
DC9837,SHOLOM SHOLOM,"SHOLOM SHOLOM, INC.",116-66 PARK LANE SOUTH,QUEENS,11418,718-850-2934,7387,2015-04-13,Permitted,2 YEARS - 5 YEARS,74,No,Private,3,0,3,0,9
DC21992,"SHOLOM SHOLOM, INC.","SHOLOM SHOLOM, INC",75-11 MAIN STREET,QUEENS,11367,718-850-2934,8372,2015-10-31,Permitted,2 YEARS - 5 YEARS,18,No,Private,1,0,1,0,8
DC14394,SHOREFRONT YM-YWHA (PRESCHOOL),"SHOREFRONT YM-YWHA OF BRIGHTON-MANHATTAN BEACH,INC.",3300 CONEY ISLAND AVENUE,BROOKLYN,11235,718-646-1444,1935,2015-08-30,Permitted,2 YEARS - 5 YEARS,89,No,Private,3,1,2,0,8
DC703,"SHOSTAKOVICH MUSIC, ART AND SPORT SCHOOL, INC","SHOSTAKOVICH MUSIC, ART & SPORT SCHOOL INC",1938 BATH AVENUE,BROOKLYN,11214,718-372-3716,3180,2016-03-23,Permitted,2 YEARS - 5 YEARS,30,No,Private,29,8,11,10,10
DC1689,SHOSTAKOVICH SCHOOL,"SHOSTAKOVICH MUSIC, ART AND SPORT SCHOOL INC",297 AVENUE X,BROOKLYN,11223,718-376-8056,5745,2014-11-10,Permitted,2 YEARS - 5 YEARS,38,No,Private,38,15,16,7,14
DC20155,SIDI-ENJOLI HASANOEDDIN   (BRIGHT BEGINNING EARLY LEARNING CENTER ),SIDI INC.,1002 CASTLE HILL AVENUE,BRONX,10472,347-621-5770,8330,2014-10-19,Permitted,2 YEARS - 5 YEARS,30,No,Private,22,3,11,8,5
DC14948,SILVER LAKE HEAD START,"YELED V'YALDA EARLY CHILDHOOD CENTER, INC.",10 GREGG PLACE,STATEN ISLAND,10301,718-815-4488,6470,2016-03-16,Permitted,2 YEARS - 5 YEARS,60,No,Private,2,0,1,1,7
DC2812,SILVER LAKE HEAD START 1,"YELED V'YALDA EARLY CHILDHOOD CENTER, INC.",10 GREGG PLACE,STATEN ISLAND,10301,718-815-4488,6753,2015-07-28,Permitted,0 YEARS - 2 YEARS,10,No,ACS Head Start,3,0,3,0,8
DC14632,SILVER LAKE HEAD START II,"YELED V'YALDA EARLY CHILDHOOD CENTER, INC.",20 PARK HILL CIRCLE,STATEN ISLAND,10304,718-720-0090,7476,2015-06-13,Permitted,2 YEARS - 5 YEARS,46,No,Head Start (Direct Fed. Funding),0,0,0,0,7
DC1113,SILVER LAKE HEAD START II (INFANT/TODDLER),YELED V'YALDA EARLY CHILDHOOD CENTER INC.,20 PARK HILL CIRCLE,STATEN ISLAND,10304,718-720-0090,7229,2015-05-25,Permitted,0 YEARS - 2 YEARS,8,No,Private,0,0,0,0,8
DC15283,SILVER LAKE HEAD START II (PRESCHOOL),"YELED V'YALDA EARLY CHILDHOOD CENTER, INC.",20 PARK HILL CIRCLE,STATEN ISLAND,10304,718-720-0090,7088,2015-02-20,Permitted,2 YEARS - 5 YEARS,82,No,Head Start (Direct Fed. Funding),0,0,0,0,7
DC2172,"SJBC CHRISTIANDAY CARE OF NEW YORK, INC.",SJBC CHRISTIAN DAY CARE,74-05 ROCKAWAY BEACH BOULEVARD,QUEENS,11692,718-634-4469,7164,2013-09-12,Expired-InRenewal,2 YEARS - 5 YEARS,25,No,Private,5,2,2,1,12
DC2386,SKIP/TIPSE,"SPECIAL KIDS INTERVENTION PROGRAM,INC",156-45 84 STREET,QUEENS,11414,718-738-1800,5175,2015-03-02,Permitted,2 YEARS - 5 YEARS,57,No,Private,12,2,7,3,8
DC10576,SMALL WONDER I (INFANT/TODDLER),"SMALL WONDER I, INC.",3012 AVENUE M,BROOKLYN,11210,718-692-0355,7053,2015-06-28,Permitted,0 YEARS - 2 YEARS,10,No,Private,8,4,0,4,8
DC10515,"SMALL WONDER I, INC. P/S","SMALL WONDER I, INC.",3012 AVENUE M,BROOKLYN,11210,718-692-0355,7052,2015-06-28,Permitted,2 YEARS - 5 YEARS,38,No,Private,25,6,7,12,11
DC12359,"SMALL WONDER PRESCHOOL,INC.","SMALL WONDER PRESCHOOL,INC.",90-45 MYRTLE AVENUE,QUEENS,11385,718-849-3002,5466,2016-03-03,Permitted,2 YEARS - 5 YEARS,60,No,Private,15,3,5,7,8
DC2012,SMALL WORLD DAY CARE CENTER,"CONSELYEA STREET BLOCK ASSOCIATION, INC.",211 AINSLIE STREET,BROOKLYN,11211,718-963-0330,4234,2015-06-03,Permitted,2 YEARS - 5 YEARS,94,No,ACS Contracted Preschools,62,6,16,40,16
DC2449,SMALL WORLD PRE-SCHOOL,"SEGUINE PRESCHOOL, INC.",144 BLOOMINGDALE ROAD,STATEN ISLAND,10309,718-356-7795,6829,2014-09-02,Permitted,2 YEARS - 5 YEARS,110,No,Private,10,2,4,4,8
DC24846,SMART START DAY CARE,"SMART START DAY CARE, LTD.",1201 AVENUE K,BROOKLYN,11230,718-942-5400,44337,2015-06-19,Permitted,2 YEARS - 5 YEARS,69,No,Private,10,2,6,2,2
DC842,"SMART START EARLY CHILDHOOD CENTER, INC.",SMART START EARLY CHILDHOOD CENTER INC.,8411 FORT HAMILTON PARKWAY,BROOKLYN,11209,718-921-1868,6396,2015-10-25,Permitted,2 YEARS - 5 YEARS,75,Yes,Private,6,1,4,1,7
DC16978,SMARTER TODDLER,SMARTER TODDLER NURSERY & PRESCHOOL INFANT TODDLER,400  WEST 55TH STREET,MANHATTAN,10019,212-757-2145,7943,2014-09-12,Permitted,0 YEARS - 2 YEARS,36,No,Private,10,4,2,4,7
DC14419,SMARTER TODDLER NURSERY & PRESCHOOL,"SMARTER TODDLER PRESCHOOL & NURSERY, LLC",100 WEST 89 ST,MANHATTAN,10024,212-721-4964,7414,2015-09-05,Permitted,2 YEARS - 5 YEARS,36,No,Private,37,3,24,10,10
DC16974,SMARTER TODDLER NURSERY & PRESCHOOL,"SMARTER TODDLER NURSERY & PRESCHOOL, LLC",400  WEST 55TH STREET,MANHATTAN,10019,212-757-2145,7944,2014-09-12,Permitted,2 YEARS - 5 YEARS,64,No,Private,14,4,6,4,8
DC14410,SMARTER TODDLER NURSERY & PRESCHOOL  INFANT/TODDLER,SMARTER TODDLER NURSERY AND PRESCHOOL,100 WEST 89 ST,MANHATTAN,10024,212-721-4964,7410,2015-09-05,Permitted,0 YEARS - 2 YEARS,17,No,Private,10,1,4,5,8
DC11855,"SMILES AROUND US ACADEMY, INC.","SMILES AROUND US ACADEMY II, INC.",351 SAND LANE,STATEN ISLAND,10305,718-390-0070,5426,2016-03-19,Permitted,2 YEARS - 5 YEARS,66,No,Private,24,7,11,6,10
DC1219,SMILES AROUND US DAY CARE CENTER,"SMILE AROUND US, INC.",3854 HYLAN BOULEVARD,STATEN ISLAND,10308,718-948-0122,6714,2016-01-11,Permitted,2 YEARS - 5 YEARS,85,No,Private,28,2,17,9,15
DC18801,"SMILES AROUND US FOR INFANTS AND TODDLERS, INC.","SMILES AROUND US FOR INFANTS AND TODDLERS, INC.",343 SAND LANE,STATEN ISLAND,10305,718-390-0070,8077,2015-09-02,Permitted,2 YEARS - 5 YEARS,21,No,Private,18,1,13,4,11
DC10602,SMILING FACES CHRISTIAN DAY CARE CENTER II,"ALEX,JANELLE & SORAYA, INCORPORATED",381 MYRTLE AVENUE,BROOKLYN,11205,718-852-7020,6555,2014-09-03,Permitted,2 YEARS - 5 YEARS,47,No,Private,47,5,26,16,11
DC2424,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT PRESCHOOL,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT,235 EAST 11 STREET,MANHATTAN,10003,212-777-3240,5050,2014-08-29,Permitted,2 YEARS - 5 YEARS,50,No,Private,16,3,6,7,7
DC14940,SOLADE PRESCHOOL,SOLADE DAY CARE INC.,1111 EAST 89TH STREET,BROOKLYN,11236,718-763-1742,7916,2014-09-10,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,5,12,8,11
DC11240,SOLOMON PRE-SCHOOL,SOLOMON INSTITUTE CORP.,35-20 147 STREET,QUEENS,11354,718-961-5977,7260,2016-02-02,Permitted,2 YEARS - 5 YEARS,24,No,Private,0,0,0,0,9
DC366,SOUND DALE CENTER FOR EARLY CHILDHOOD EDUCATION,BRONXDALE TENANTS LEAGUE DAY CARE CENTER,1211 CROES AVENUE,BRONX,10472,718-378-3533,3097,2015-06-29,Permitted,2 YEARS - 5 YEARS,169,No,ACS Contracted Preschools,10,2,4,4,5
DC202,SOUTH BRONX HEAD START,SOUTH BRONX HEAD START PROGRAM INC.,141 FEATHERBED LANE,BRONX,10452,718-731-0075,5374,2014-11-30,Permitted,2 YEARS - 5 YEARS,75,Yes,ACS Contracted Preschools,16,2,4,10,7
DC201,SOUTH BRONX HEAD START,SOUTH BRONX HEAD START PROGRAM INC.,490 EAST 143 STREET,BRONX,10454,718-292-7250,4324,2014-08-06,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,16,4,7,5,7
DC200,SOUTH BRONX HEAD START PROGRAM INC.,SOUTH BRONX HEAD START PROGRAM INC.,1458 WEBSTER AVENUE,BRONX,10456,718-538-4112,5796,2014-11-15,Permitted,2 YEARS - 5 YEARS,89,Yes,ACS Head Start,25,8,9,8,10
DC1230,"SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS, INC.","SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS, INC.",94-43 159 STREET,QUEENS,11433,718-523-6455,5475,2014-07-19,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Head Start,6,1,1,4,9
DC1370,SOUTH SHORE TODDLER ACADEMY & PRE-K,STATEN ISLAND COMMUNITY SERVICE INC.,11 SAMPSON AVENUE,STATEN ISLAND,10308,718-356-3563,4440,2015-08-27,Permitted,2 YEARS - 5 YEARS,34,No,Private,4,1,3,0,6
DC3010,SOUTH SHORE YMCA NURSERY SCHOOL,YOUNG MEN?S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,3939 RICHMOND AVENUE,STATEN ISLAND,10312,718-227-3200,7543,2015-09-19,Permitted,2 YEARS - 5 YEARS,83,No,Private,1,0,0,1,5
DC473,SPROUTS,SPECIAL SPROUTS INC.,339 8TH STREET,BROOKLYN,11215,718-965-8573,5497,2014-10-04,Permitted,2 YEARS - 5 YEARS,50,No,Private,5,1,1,3,8
DC42,"SPROUTS, INC.",BEANSPROUTS INC. OF BROOKLYN,506 6TH AVENUE,BROOKLYN,11215,718-965-8573,7158,2015-09-29,Permitted,2 YEARS - 5 YEARS,29,No,Private,4,2,1,1,6
DC252,SPUYTEN DUYVIL PRESCHOOL,SPUYTEN DUYVIL PRESCHOOL.INC.,3041 KINGSBRIDGE AVENUE,BRONX,10463,718-549-1525,3088,2016-04-06,Permitted,2 YEARS - 5 YEARS,42,No,Private,20,3,8,9,6
DC25859,ST ANTHONY HEAD START/ UPK,CARDINAL MCCLOSKEY COMMUNITY SERVICES,1750 MANSION STREET,BRONX,10460,718-823-7202,55977,2016-01-14,Permitted,2 YEARS - 5 YEARS,120,No,ACS Contracted Preschools,0,0,0,0,0
DC25857,ST NICHOLAS OF TOLENTINE HEAD START,CARDINAL MCCLOSKEY COMMUNITY SERVICES,2331 UNIVERSITY AVENUE,BRONX,10468,718-364-7608,54737,2015-12-04,Permitted,2 YEARS - 5 YEARS,178,No,ACS Contracted Preschools,0,0,0,0,0
DC3043,ST NICHOLAS PRESCHOOL,ST. NICHOLAS CHURCH,43-09 196 STREET,QUEENS,11358,718-357-0800,7645,2014-09-22,Permitted,2 YEARS - 5 YEARS,74,No,Private,1,0,1,0,6
DC12380,"ST. ALBANS EARLY CHILDHOOD CENTER, INC.",ST. ALBANS EARLY CHILDHOOD CENTER INC.,109-53 FARMERS BOULEVARD,QUEENS,11412,718-479-7111,4579,2016-01-22,Permitted,2 YEARS - 5 YEARS,68,No,Private,8,1,5,2,11
DC368,ST. ANDREW'S COMMUNITY DAY CARE CENTER,"SUNSET BAY COMMUNITY SERVICES, INC.",4917 FOURTH AVENUE,BROOKLYN,11220,718-492-9678,7357,2015-02-28,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,1,0,1,0,7
DC10978,ST. BENEDICT'S DAY NURSERY,ST. BENEDICT'S DAY NURSERY,21 WEST 124 STREET,MANHATTAN,10027,212-423-5715,6758,2014-08-11,Permitted,2 YEARS - 5 YEARS,79,No,Private,26,4,11,11,10
DC14390,ST. DOMINIC'S TORCH,ST. DOMINICS' HOME,2340 ANDREWS AVENUE,BRONX,10468,718-365-7238,5900,2014-09-08,Permitted,2 YEARS - 5 YEARS,75,No,Private,3,1,0,2,6
DC14315,ST. IGNATIUS LAYOLA DAY NURSERY,CHURCH OF ST.IGNATIUS LAYOLA,240 EAST 84TH STREET,MANHATTAN,10028,212-734-6427,5449,2015-01-13,Permitted,2 YEARS - 5 YEARS,110,No,Private,7,1,4,2,5
DC15673,ST. IRENE CHRYSOVALANTOU NURSERY & KINDERGARTEN,SACRED PATRIARCHAL &STAVROPEGIAL ORTHODOX MONASTERY OF ST. IRENE CHRYSOVALANTOU,42-11 DITMARS BLVD.,QUEENS,11105,718-626-6225,7971,2015-01-13,Permitted,2 YEARS - 5 YEARS,19,No,Private,9,3,4,2,8
DC21637,ST. JEMUEL GROUP FAMILY DAY CARE INC,ST. JEMUEL GROUP FAMILY DAY CARE INC,2836 WEBB AVENUE,BRONX,10468,718-601-9753,45398,2015-06-27,Permitted,2 YEARS - 5 YEARS,28,No,ACS Contracted Preschools,1,0,1,0,1
DC22692,"ST. JEMUEL GROUP FAMILY DAY CARE, INC.","ST. JEMUEL GROUP FAMILY DAY CARE, INC.",2836 WEBB AVENUE,BRONX,10468,718-601-9753,45357,2015-06-27,Permitted,0 YEARS - 2 YEARS,17,No,ACS Contracted Preschools,1,0,1,0,1
DC2824,ST. JOHN'S LUTHERAN PRESCHOOL,ST. JOHN'S LUTHERAN CHURCH,86-20 114 STREET,QUEENS,11418,718-441-3611,6480,2014-02-25,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private,5,0,4,1,7
DC14722,ST. JOHN'S PLACE FAMILY CENTER DAY CARE CORPORATION,THE ST.JOHN'S PLACE FAMILY CENTER DAY CARE CORPORATION,1620 ST. JOHN'S PLACE,BROOKLYN,11233,718-771-7720,5599,2015-07-18,Permitted,2 YEARS - 5 YEARS,40,No,ACS Contracted Preschools,19,2,7,10,10
DC95,ST. JOHN'S PLACE FAMILY CENTER HDFC-INFANT AND TODDLER CARE PROGRAM,ST. JOHN'S PLACE FAMILY CENTER HOUSING DEVELOPMENT FUND CORPORATION,1620 ST JOHN'S PLACE,BROOKLYN,11233,718-771-7720,6980,2014-10-23,Permitted,0 YEARS - 2 YEARS,18,No,Private,10,4,2,4,9
DC10547,ST. JOSEPH'S SCHOOL FOR THE DEAF,ST. JOSEPH'S SCHOOL FOR THE DEAF,1000 HUTCHINSON RIVER PARKWAY,BRONX,10465,718-828-9000,5686,2016-04-27,Permitted,2 YEARS - 5 YEARS,83,No,Private,7,1,0,6,6
DC731,ST. LUKES ACADEMY,ST. LUKES EVANGELICAL LUTHERAN CHURCH,259 WASHINGTON AVENUE,BROOKLYN,11205,718-622-5612,7163,2015-12-02,Permitted,2 YEARS - 5 YEARS,29,Yes,Private,11,1,3,7,7
DC17195,ST. MALACHY CHILD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES,INC.",220 HENDRIX STREET,BROOKLYN,11207,718-647-0966,7783,2015-07-24,Permitted,0 YEARS - 2 YEARS,28,No,ACS Contracted Preschools,5,2,3,0,9
