Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC374,SUSAN E. WAGNER DAY CARE CENTER,"NORTHEAST BRONX DAY CARE CENTER, INC.",1140 EAST 229TH STREET,BRONX,10466,718-547-1735,4142,2016-04-03,Permitted,2 YEARS - 5 YEARS,115,Yes,ACS Contracted Preschools,13,3,4,6,3,4.33333,7.66667,2099,Bottom 5%,2080,Bottom 5%,40.8864919,-73.8459724
DC1829,SUSAN E. WAGNER DAY SCHOOL,NORTHEAST BRONX DAY CARE CENTER INC.,5401 POST ROAD,BRONX,10471,718-601-5401,6833,2014-08-11,Expired-InRenewal,2 YEARS - 5 YEARS,194,No,Private,10,0,1,9,3,3.33333,3.66667,1943,Bottom 15%,1481,Bottom 30%,40.9013783,-73.8980381
DC19160,SUSAN WAGNER VICTORY,"NORTHEAST BRONX DAY CARE CENTER,INC.",3440 WHITE PLAINS RD.,BRONX,10467,718-655-5500,7972,2014-12-01,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Contracted Preschools,12,1,7,4,5,2.4,4.2,1676,Bottom 30%,1616,Bottom 30%,40.8763234,-73.86676469999999
DC2721,SWEET ANGELS NURSERY SCHOOL,SWEET ANGELS NURSERY SCHOOL,27-11 BAYSIDE LANE,QUEENS,11358,718-445-7305,6785,2016-03-29,Permitted,2 YEARS - 5 YEARS,29,No,Private,2,0,1,1,6,0.333333,0.5,419,Top 30%,408,Top 30%,40.7721328,-73.8002176
DC375,SYLVIA KLEIN CHILD CARE CENTER,"COLONY-SOUTH BROOKLYN HOUSES, INC",720 EUCLID AVENUE,BROOKLYN,11208,718-647-2274,375,2015-08-17,Permitted,2 YEARS - 5 YEARS,50,No,ACS Contracted Preschools,30,4,11,15,10,3.0,4.9,1893,Bottom 30%,1769,Bottom 30%,40.6693881,-73.8704719
DC17361,T.R. LITTLE PEOPLE,"TR LITTLE PEOPLE, LTD",127 EAST 90TH STREET,MANHATTAN,10128,212-860-8116,7794,2015-08-28,Permitted,2 YEARS - 5 YEARS,8,No,Private,1,0,1,0,3,0.333333,0.666667,424,Top 30%,439,Top 30%,40.782385,-73.9539099
DC17156,T.R. LITTLE PEOPLE,"TR LITTLE PEOPLE, LTD",127 EAST 90TH STREET,MANHATTAN,10128,212-860-8118,7795,2015-08-27,Permitted,0 YEARS - 2 YEARS,8,No,Private,1,0,1,0,3,0.333333,0.666667,425,Top 30%,438,Top 30%,40.782385,-73.9539099
DC10682,TABERNACLE CHURCH OF GOD DAY CARE CENTER,"TABERNACLE CHURCH OF GOD, INC.",34-52 KOSCIUSZKO STREET,BROOKLYN,11205,718-638-3209,4267,2015-05-04,Permitted,2 YEARS - 5 YEARS,184,No,ACS Contracted Preschools,22,1,10,11,7,3.14286,4.85714,1907,Bottom 15%,1763,Bottom 30%,40.689996,-73.95353759999999
DC376,TABERNACLE DAY CARE CENTER (INFANT/TODDLER),"TABERNACLE CHURCH OF GOD, INC.",34-52 KOSCIUSZKO STREET,BROOKLYN,11205,718-638-3209,4256,2015-11-11,Permitted,0 YEARS - 2 YEARS,56,No,ACS Contracted Preschools,20,7,5,8,6,3.33333,6.5,1944,Bottom 15%,1984,Bottom 15%,40.689996,-73.95353759999999
DC23000,TALMUD TORAH OHR MOSHE,TALMUD TORAH OHR MOSHE,1774 58TH STREET,BROOKLYN,11204,718-234-6100,25837,2014-10-22,Permitted,2 YEARS - 5 YEARS,40,No,Private,8,3,3,2,4,2.0,4.25,1453,Bottom 30%,1627,Bottom 30%,40.6234102,-73.98650409999999
DC21212,TARYAG NURSERY,CONGREGATION 613,2294 NOSTRAND AVENUE,BROOKLYN,11210,718-989-9681,14958,2016-04-16,Permitted,2 YEARS - 5 YEARS,90,No,Private,9,1,5,3,5,1.8,3.2,1364,Bottom 30%,1350,Bottom 30%,40.628666,-73.947576
DC11833,"TEACHING, LEARNING & CARING DAY CARE","MAGIC RAINBOW, INC.",212-43 JAMAICA AVENUE,QUEENS,11428,718-740-6750,6830,2016-03-29,Permitted,2 YEARS - 5 YEARS,28,No,Private,11,0,8,3,9,1.22222,2.11111,1019,Average,993,Average,40.7160266,-73.74557949999999
DC2759,"TEACHING, LEARNING AND CARING.","MAGIC RAINBOW, INC",212-43 JAMAICA AVENUE,QUEENS,11428,718-740-6750,7403,2015-05-23,Permitted,0 YEARS - 2 YEARS,10,No,Private,5,0,5,0,5,1.0,2.0,911,Average,964,Average,40.7160266,-73.74557949999999
DC2648,TEMPLE EMANU-EL NURSERY SCHOOL,CONGREGATION EMANU-EL OF THE CITY OF N.Y.,10 EAST 66 STREET,MANHATTAN,10065,212-744-1400,2003,2014-05-18,Expired-InRenewal,2 YEARS - 5 YEARS,115,No,Private,4,1,1,2,3,1.33333,2.33333,1106,Average,1109,Average,40.7682467,-73.968909
DC1120,TEMPLE ISRAEL EARLY CHILDHOOD LEARNING CENTER,TEMPLE ISRAEL OF THE CITY OF NEW YORK,112 EAST 75 STREET,MANHATTAN,10021,212-249-5000,2171,2015-07-27,Permitted,2 YEARS - 5 YEARS,75,No,Private,4,0,3,1,4,1.0,1.75,959,Average,829,Average,40.772565,-73.96184699999999
DC2620,TEMPLE SHAARAY TEFILA NURSERY SCHOOL,TEMPLE SHAARAY TEFILA NURSERY SCHOOL,250 EAST 79 STREET,MANHATTAN,10075,212-535-2146,5891,2014-09-15,Permitted,2 YEARS - 5 YEARS,139,No,Private,11,1,9,1,5,2.2,4.4,1604,Bottom 30%,1663,Bottom 30%,40.7733213,-73.9555297
DC2401,TENDER CARE ON THE MOUNT,MISSION OF THE IMMACULATE VIRGIN FOR THE PROTECTION OF HOMELESS AND DESTITUTE CHILDREN,6581 HYLAN BOULEVARD,STATEN ISLAND,10309,718-317-2849,5659,2014-09-14,Permitted,2 YEARS - 5 YEARS,73,No,Private,15,4,6,5,7,2.14286,4.14286,1570,Bottom 30%,1606,Bottom 30%,40.51030919999999,-74.21976839999999
DC31714,TENDER TOSTS CORONA,TENDER TOTS CORONA LLC,104-18 42 AVENUE,QUEENS,11368,718-408-5595,65257,2016-05-29,Permitted,2 YEARS - 5 YEARS,82,No,Private,0,0,0,0,1,0.0,0.0,50,Top 5%,116,Top 5%,40.7484449,-73.86025699999999
DC20870,TENDER TOTS,TENDER TOTS 137 STREET LLC,531-535 EAST 137TH STREET,BRONX,10454,718-215-4125,44279,2015-06-19,Permitted,2 YEARS - 5 YEARS,67,No,Corporate,21,3,8,10,4,5.25,8.75,2145,Bottom 5%,2118,Bottom 5%,40.8064365,-73.9186491
DC21703,TENDER TOTS CHILD CARE CENTER,TENDER TOTS DECATUR L L C,3322 DECATUR AVENUE,BRONX,10467,718-324-1052,9958,2015-12-14,Permitted,2 YEARS - 5 YEARS,95,No,Private,50,9,21,20,15,3.33333,5.93333,1941,Bottom 15%,1918,Bottom 15%,40.876924,-73.8729029
DC21704,TENDER TOTS CHILD CARE CENTER,TENDER TOTS DECATUR LLC,3322 DECATUR AVENUE,BRONX,10467,718-324-1052,9937,2015-12-14,Permitted,0 YEARS - 2 YEARS,35,No,Private,43,13,16,14,13,3.30769,6.53846,1938,Bottom 15%,1987,Bottom 15%,40.876924,-73.8729029
DC21618,TENDER TOTS CHILD CARE CENTER,TENDER TOTS 137 STREET LLC,531-535 EAST 137 STREET,BRONX,10454,718-215-4125,44297,2015-06-19,Permitted,0 YEARS - 2 YEARS,28,No,Private,12,2,6,4,4,3.0,5.5,1851,Bottom 30%,1860,Bottom 15%,40.8064365,-73.9186491
DC10665,"TENDER YEAR CHILDCARE, INC.","TENDER YEARS CHILDCARE, INC.",3141 EAST TREMONT AVENUE,BRONX,10461,718-829-3067,7231,2015-05-06,Permitted,0 YEARS - 2 YEARS,16,No,Private,34,10,13,11,7,4.85714,9.57143,2128,Bottom 5%,2137,Bottom 5%,40.8379562,-73.8345695
DC841,TENDER YEARS CHILDCARE INC.,"TENDER YEARS CHILDCARE, INC.",3141 EAST TREMONT AVENUE,BRONX,10461,718-829-3067,6367,2014-12-31,Permitted,2 YEARS - 5 YEARS,14,No,Private,29,10,10,9,7,4.14286,8.42857,2084,Bottom 5%,2111,Bottom 5%,40.8379562,-73.8345695
DC2816,TENDER YEARS DAY CARE,CHER INC.,199-15 LINDEN BOULEVARD,QUEENS,11412,718-481-8687,6446,2015-09-06,Permitted,2 YEARS - 5 YEARS,26,No,Private,3,1,1,1,6,0.5,1.0,493,Top 30%,532,Top 30%,40.694308,-73.75279359999999
DC14100,TEREMOK V,"TEREMOK V, CORP.",448 NEPTUNE AVENUE,BROOKLYN,11224,718-743-9009,7451,2015-08-17,Permitted,2 YEARS - 5 YEARS,38,No,Private,12,2,5,5,7,1.71429,3.0,1331,Bottom 30%,1324,Average,40.5792669,-73.9707419
DC24589,THE  MONTESSORI AT FLATIRON,THE MONTESSORI SCHOOL LLC,3-7 WEST 22ND STREET,MANHATTAN,10010,212-633-0600,52617,2015-09-30,Permitted,2 YEARS - 5 YEARS,62,No,Private,3,0,2,1,1,3.0,5.0,1846,Bottom 30%,1793,Bottom 30%,40.7412568,-73.9905526
DC2990,THE  PARK PRESCHOOL  LTD.,THE PARK PRESCHOOL LTD.,275 GREENWICH STREET,MANHATTAN,10007,212-571-6191,6013,2015-03-05,Permitted,2 YEARS - 5 YEARS,44,Yes,Private,5,1,2,2,5,1.0,1.8,933,Average,847,Average,40.7151804,-74.01099169999999
DC14286,THE ACORN SCHOOL,THE ACORN SCHOOL,330 EAST 26 STREET,MANHATTAN,10010,212-684-0230,2160,2016-02-22,Permitted,2 YEARS - 5 YEARS,68,No,Private,8,1,3,4,4,2.0,3.25,1470,Bottom 30%,1364,Bottom 30%,40.7392563,-73.97831959999999
DC17672,THE BARCLAY STREET SCHOOL LTD.,THE BARCLAY STREET SCHOOL LTD.,6-10 BARCLAY ST,MANHATTAN,10007,212-571-2715,7945,2014-09-12,Permitted,2 YEARS - 5 YEARS,42,Yes,Private,4,0,3,1,3,1.33333,2.33333,1097,Average,1110,Average,40.7122637,-74.0091405
DC2414,THE BRICK CHURCH SCHOOL,BRICK CHURCH SCHOOL,62 EAST 92 STREET,MANHATTAN,10128,212-289-5683,411,2014-07-25,Expired-InRenewal,2 YEARS - 5 YEARS,149,Yes,Private,4,1,1,2,3,1.33333,2.33333,1096,Average,1091,Average,40.7841042,-73.9551888
DC2587,THE BROWNSTONE SCHOOL AND DAY CARE,THE BROWNSTONE SCHOOL AND DAY CARE CENTER,128 WEST 80 STREET,MANHATTAN,10024,212-874-1341,4323,2016-04-26,Permitted,2 YEARS - 5 YEARS,84,No,Private,13,4,5,4,4,3.25,6.5,1931,Bottom 15%,1976,Bottom 15%,40.7829918,-73.9764294
DC16777,THE CHILD CENTER OF NEW YORK,THE CHILD CENTER  OF NEW YORK,60-02 ROOSEVELT AVENUE,QUEENS,11377,718-943-2800,7766,2015-06-08,Permitted,2 YEARS - 5 YEARS,85,Yes,ACS Head Start,9,2,1,6,6,1.5,2.33333,1198,Average,1099,Average,40.74525999999999,-73.9042599
DC18821,THE CHILD CENTER OF NEW YORK / AKA: 41-61 KESSINA BLVD,"THE CHILD CENTER OF NEW YORK, INC.",140-15 SANFORD AVENUE,QUEENS,11355,347-506-0832,8193,2016-07-02,Permitted,2 YEARS - 5 YEARS,36,Yes,Head Start (Direct Fed. Funding),3,0,2,1,4,0.75,1.25,680,Average,643,Top 30%,40.7575327,-73.82666499999999
DC19634,THE CHILD CENTER OF NEW YORK PRESCHOOL,THE CHILD CENTER OF NEW YORK,34-10 108TH STREET,QUEENS,11368,347-287-0175,8033,2015-06-27,Permitted,2 YEARS - 5 YEARS,188,Yes,ACS Contracted Preschools,13,2,7,4,5,2.6,4.8,1757,Bottom 30%,1752,Bottom 30%,40.7558142,-73.8606578
DC10454,THE CHILD DEVELOPMENT CENTER OF KINGSBOROUGH C.C,CITY UNIVERSITY OF NEW YORK KINGSBOROUGH COMMUNITY COLLEGE,1915 ORIENTAL BOULEVARD,BROOKLYN,11235,718-368-5868,3050,2014-08-30,Permitted,2 YEARS - 5 YEARS,30,No,Private,0,0,0,0,5,0.0,0.0,137,Top 5%,120,Top 5%,40.5784785,-73.9374053
DC14957,THE CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER,"MOSHOLU MONTEFIORE COMMUNITY CENTER,INC.",3450 DEKALB AVE,BRONX,10467,718-654-0563,5555,2015-08-03,Permitted,0 YEARS - 2 YEARS,8,No,ACS Contracted Preschools,6,1,2,3,4,1.5,2.5,1196,Average,1133,Average,40.8819332,-73.8804942
DC10676,"THE CHILD STUDY CENTER OF NEW YORK, INC.",THE CHILD STUDY CENTER OF NEW YORK. INC.,167-171 CLERMONT AVENUE,BROOKLYN,11205,718-854-3710,6025,2015-07-01,Permitted,2 YEARS - 5 YEARS,90,No,Private,5,0,1,4,6,0.833333,1.0,754,Average,547,Top 30%,40.6924576,-73.97031430000001
DC12225,THE CHILD STUDY CENTER OF NEW YORK/BEST FRIENDS DAYCARE,THE CHILD STUDY CENTER OF NEW YORK /BEST FRIENDS DAYCARE,285 CLOVE ROAD,STATEN ISLAND,10310,718-442-8588,5102,2015-04-25,Permitted,2 YEARS - 5 YEARS,121,No,Private,3,0,0,3,5,0.6,0.6,568,Top 30%,420,Top 30%,40.6332358,-74.1257682
DC22132,THE CHILDREN'S AID SOCIETY,THE CHILDREN'S AID SOCIETY,14-32 WEST 118TH STREET,MANHATTAN,10026,212-949-4931,48997,2015-07-29,Permitted,2 YEARS - 5 YEARS,40,No,ACS Contracted Preschools,1,1,0,0,1,1.0,3.0,898,Average,1282,Average,40.8023591,-73.9468308
DC23207,THE CHILDREN'S AID SOCIETY,"THE CHILDREN'S AID SOCIETY, INC.",1919 PROSPECT AVENUE,BRONX,10457,347-821-4222,25017,2014-10-15,Permitted,2 YEARS - 5 YEARS,71,Yes,ACS Contracted Preschools,4,0,1,3,2,2.0,2.5,1466,Bottom 30%,1153,Average,40.8434011,-73.8898784
DC22134,THE CHILDREN'S AID SOCIETY,THE CHILDREN'S AID SOCIETY,433 EAST 100TH STREET,MANHATTAN,10029,212-627-7449,26378,2014-10-25,Permitted,2 YEARS - 5 YEARS,100,Yes,ACS Contracted Preschools,8,2,3,3,4,2.0,3.75,1464,Bottom 30%,1512,Bottom 30%,40.7855844,-73.94226979999999
DC22133,THE CHILDREN'S AID SOCIETY,THE CHILDREN'S AID SOCIETY,93 NAGLE AVENUE,MANHATTAN,10040,212-544-0221,26597,2014-10-26,Permitted,2 YEARS - 5 YEARS,98,Yes,ACS Contracted Preschools,13,2,9,2,4,3.25,6.5,1933,Bottom 15%,1981,Bottom 15%,40.8601744,-73.9277953
DC2742,THE CHILDREN'S AID SOCIETY - PS 5  HEAD START,THE CHILDREN'S AID SOCIETY,3703 10 AVENUE,MANHATTAN,10034,212-567-5787,6146,2015-01-24,Permitted,2 YEARS - 5 YEARS,72,Yes,ACS Head Start,10,4,6,0,4,2.5,6.0,1723,Bottom 30%,1924,Bottom 15%,40.8591641,-73.9227366
DC2695,THE CHILDREN'S AID SOCIETY- FREDERICK DOUGLAS HEAD START,THE CHILDREN'S AID SOCIETY,885 COLUMBUS AVENUE,MANHATTAN,10025,212-865-6337,2097,2016-06-28,Permitted,2 YEARS - 5 YEARS,84,Yes,ACS Head Start,3,1,1,1,4,0.75,1.5,697,Average,759,Average,40.7973514,-73.9636855
DC2130,THE CHILDREN'S AID SOCIETY- P.S. 8 HEAD START,THE CHILDREN'S AID SOCIETY,465 WEST 167 STREET,MANHATTAN,10032,212-740-8655,6926,2016-02-15,Permitted,2 YEARS - 5 YEARS,55,Yes,Head Start (Direct Fed. Funding),5,1,2,2,4,1.25,2.25,1027,Average,1051,Average,40.8393844,-73.93678349999999
DC14148,THE CHILDREN'S CENTER,THE COLLEGE OF STATEN ISLAND ASSOCIATION INC.,2800 VICTORY BOULEVARD,STATEN ISLAND,10314,718-982-3190,6175,2015-06-18,Permitted,0 YEARS - 2 YEARS,18,No,Private,6,0,3,3,4,1.5,2.25,1225,Average,1045,Average,40.6085521,-74.1538332
DC2736,THE CHILDREN'S CENTER,"THE COLLEGE OF STATEN ISLAND ASSOCIATION, INC.",2800 VICTORY BOULEVARD,STATEN ISLAND,10314,718-982-3190,6174,2016-05-02,Permitted,2 YEARS - 5 YEARS,75,No,Private,7,1,4,2,3,2.33333,4.33333,1645,Bottom 30%,1643,Bottom 30%,40.6085521,-74.1538332
DC19519,THE CHILDREN'S CENTER  AT GOLDMAN SACHS AT 200 WEST,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",200 WEST STREET,MANHATTAN,10282,212-357-5370,8103,2015-11-13,Permitted,2 YEARS - 5 YEARS,15,No,Private,0,0,0,0,3,0.0,0.0,184,Top 5%,129,Top 5%,40.7148476,-74.0142077
DC19627,THE CHILDREN'S CENTER  AT GOLDMAN SACHS AT 200 WEST,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",200 WEST STREET,MANHATTAN,10282,212-357-5370,8102,2015-11-13,Permitted,0 YEARS - 2 YEARS,26,No,Private,0,0,0,0,3,0.0,0.0,183,Top 5%,73,Top 5%,40.7148476,-74.0142077
DC10727,THE CHILDREN'S CENTER @ SUNY BROOKLYN - I/T,"THE CHILDRENS CENTER @ SUNY BROOKLYN, INC. - I/T",440 LENOX ROAD,BROOKLYN,11203,718-221-6160,5734,2015-08-31,Permitted,0 YEARS - 2 YEARS,18,No,Private,9,2,5,2,8,1.125,2.25,970,Average,1052,Average,40.654103,-73.944622
DC959,THE CHILDREN'S CENTER @ SUNY BROOKLYN - P/S,"THE CHILDREN'S CENTER AT SUNY BROOKLYN, INC.",440 LENOX ROAD,BROOKLYN,11203,718-221-6160,5743,2015-07-05,Permitted,2 YEARS - 5 YEARS,42,No,Private,9,1,6,2,9,1.0,1.88889,910,Average,874,Average,40.654103,-73.944622
DC12252,THE CHILDREN'S GARDEN,THE GENERAL THEOLOGICAL SEMINARY,440 WEST 21 STREET,MANHATTAN,10011,212-924-9266,6797,2015-06-30,Permitted,0 YEARS - 2 YEARS,8,No,Private,0,0,0,0,3,0.0,0.0,158,Top 5%,84,Top 5%,40.7457463,-74.0039163
DC1125,THE CHILDREN'S GARDEN AT GENERAL THEOLOGICAL SEMINARY,THE GENERAL THEOLOGICAL SEMINARY,440 WEST 21 STREET,MANHATTAN,10011,212-924-9266,6798,2014-05-15,Expired-InRenewal,2 YEARS - 5 YEARS,14,No,Private,3,1,1,1,3,1.0,2.0,948,Average,969,Average,40.7457463,-74.0039163
DC25111,THE CHILDREN'S GARDEN SCHOOL,"GENERAL THEOLOGICAL SEMINARY, INC.",422 WEST 20TH STREET,MANHATTAN,10011,212-243-5920,45737,2015-06-28,Permitted,2 YEARS - 5 YEARS,15,No,Private,4,2,2,0,2,2.0,5.0,1459,Bottom 30%,1798,Bottom 30%,40.744918,-74.0040269
DC2611,THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE,"THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE, INC.",695 PARK AVENUE,MANHATTAN,10065,212-772-4066,5145,2015-11-03,Permitted,2 YEARS - 5 YEARS,50,No,Private,0,0,0,0,4,0.0,0.0,129,Top 5%,95,Top 5%,40.7687069,-73.9646646
DC3057,THE CHILDREN'S LEARNING CENTER AT MORNINGSIDE HEIGHTS,THE CHILDREN'S LEARNING CENTER AT MORNINGSIDE HEIGHTS,90 LASALLE STREET,MANHATTAN,10027,212-663-9318,6887,2015-06-10,Permitted,2 YEARS - 5 YEARS,30,No,Private,1,0,0,1,4,0.25,0.25,327,Top 15%,261,Top 15%,40.8129463,-73.9584685
DC14167,"THE CHILDREN'S PLAYHOUSE,  INCORPORATED-  I/T","THE CHILDREN'S PLAYHOUSE, INCORPORATED",85 MONAHAN AVENUE,STATEN ISLAND,10314,718-761-0129,5410,2015-06-30,Permitted,0 YEARS - 2 YEARS,18,No,Private,5,1,3,1,5,1.0,2.0,935,Average,967,Average,40.588688,-74.149384
DC24569,"THE CHILDREN'S PLAYHOUSE, INC.","THE CHILDREN'S PLAYHOUSE, INC.",950 ROCKLAND AVENUE,STATEN ISLAND,10314,718-761-0129,26240,2014-10-24,Permitted,2 YEARS - 5 YEARS,12,No,Private,2,1,1,0,2,1.0,2.5,931,Average,1154,Average,40.588879,-74.14925
DC2580,"THE CHILDREN'S PLAYHOUSE, INCORPORATED","THE CHILDREN'S PLAYHOUSE, INCORPORATED",85 MONAHAN AVENUE,STATEN ISLAND,10314,718-761-0129,5196,2015-08-05,Permitted,2 YEARS - 5 YEARS,75,No,Private,6,1,2,3,4,1.5,2.5,1182,Average,1157,Average,40.588688,-74.149384
DC14311,THE CHRISTIAN LEARNING CENTER,"CHRISTIAN LEARNING CENTER DAY CARE, INC.",444 EAST 45 STREET,BROOKLYN,11203,718-287-5149,5061,2014-12-15,Permitted,2 YEARS - 5 YEARS,64,No,Private,26,10,8,8,8,3.25,6.75,1935,Bottom 15%,2005,Bottom 15%,40.65077,-73.93542099999999
DC11635,THE CHURCH OF THE EPIPHANY DAY SCHOOL,THE CHURCH OF THE EPIPHANY,1393 YORK AVENUE,MANHATTAN,10021,212-737-2720,7378,2015-05-02,Permitted,2 YEARS - 5 YEARS,75,No,Private,11,2,6,3,4,2.75,5.25,1804,Bottom 30%,1820,Bottom 30%,40.768506,-73.952996
DC2159,THE CITIGROUP CHILDREN'S  CENTER  @ 399 PARK,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",399 PARK AVENUE,MANHATTAN,10022,212-793-4000,7113,2015-10-02,Permitted,0 YEARS - 2 YEARS,14,No,Corporate,0,0,0,0,3,0.0,0.0,144,Top 5%,69,Top 5%,40.7590251,-73.9719807
DC3068,THE CITIGROUP CHILDREN'S CENTER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",388 GREENWICH STREET,MANHATTAN,10013,212-816-7700,6589,2015-07-19,Permitted,0 YEARS - 2 YEARS,16,No,Corporate,2,1,1,0,6,0.333333,0.833333,439,Top 30%,508,Top 30%,40.7206627,-74.0113978
DC14815,THE CITIGROUP CHILDREN'S CENTER  AT 399 PARK,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",399 PARK AVENUE,MANHATTAN,10022,212-559-4005,7144,2015-10-02,Permitted,2 YEARS - 5 YEARS,12,No,Corporate,0,0,0,0,3,0.0,0.0,147,Top 5%,99,Top 5%,40.7590251,-73.9719807
DC14128,THE CITYGROUP CHILDRENS CENTER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC.",388 GREENWICH STREET,MANHATTAN,10013,212-816-7700,6590,2015-06-27,Permitted,2 YEARS - 5 YEARS,15,No,Corporate,1,0,0,1,3,0.333333,0.333333,429,Top 30%,291,Top 15%,40.7206627,-74.0113978
DC19107,THE CO-OP SCHOOL,THE CO-OP SCHOOL,81-87 IRVING PLACE,BROOKLYN,11238,347-721-3408,8072,2015-09-09,Permitted,2 YEARS - 5 YEARS,94,No,Private,3,1,0,2,4,0.75,1.25,663,Average,656,Top 30%,40.6824551,-73.9595207
DC32401,THE COCONUT GROVE CHILDHOOD EDUCATION CENTER,"THE COCONUT GROVE CHILDHOOD EDUCATION CENTER, LLC.",9522 AVENUE A,BROOKLYN,11236,718-498-1160,72457,2016-08-20,Permitted,2 YEARS - 5 YEARS,19,No,Private,0,0,0,0,0,,,,No Data,,No Data,40.65366,-73.91372199999999
DC2267,THE CORNER SCHOOL,THE CORNER SCHOOL,150-03 BAYSIDE AVENUE,QUEENS,11354,718-445-2811,1889,2016-05-03,Permitted,2 YEARS - 5 YEARS,39,No,Private,1,0,1,0,6,0.166667,0.333333,260,Top 15%,284,Top 15%,40.771776,-73.815574
DC2418,THE CREATIVE PLAYSCHOOL - FIFTH AVENUE SYNAGOGUE,FIFTH AVENUE SYNAGOGUE,5 EAST 62 STREET,MANHATTAN,10065,212-750-8793,5627,2014-09-24,Permitted,2 YEARS - 5 YEARS,40,No,Private,5,1,4,0,5,1.0,2.2,901,Average,1010,Average,40.766039,-73.970798
DC1014,THE DAVID FOSTER PRESCHOOL ACADEMY,SHEILA FOSTER-GOLDING,580 ROGERS AVENUE,BROOKLYN,11225,718-462-0776,6614,2014-12-14,Permitted,2 YEARS - 5 YEARS,25,No,Private,39,6,21,12,12,3.25,6.0,1928,Bottom 15%,1935,Bottom 15%,40.657519,-73.953495
DC10659,THE EARLY CHILDHOOD CENTER OF THE BROOKLYN COLLEGE CHILD CARE SERVICES,"BROOKLYN COLLEGE CHILD CARE SERVICES, INC.",2900 BEDFORD AVENUE,BROOKLYN,11210,718-951-5431,1448,2015-03-30,Permitted,2 YEARS - 5 YEARS,55,No,Private,3,0,0,3,5,0.6,0.6,592,Top 30%,423,Top 30%,40.6318193,-73.9533445
DC65,THE EARLY CHILDHOOD CENTER OF THE BROOKLYN COLLEGE CHILD CARE SERVICES,"BROOKLYN COLLEGE CHILD CARE SERVICES, INC.",2900 BEDFORD AVENUE,BROOKLYN,11210,718-951-5431,7124,2015-02-28,Permitted,0 YEARS - 2 YEARS,28,No,Private,0,0,0,0,5,0.0,0.0,227,Top 5%,26,Top 5%,40.6318193,-73.9533445
DC11539,THE EDUCATIONAL  ALLIANCE HEAD START    @ PS 142,THE EDUCATIONAL ALLIANCE,100 ATTORNEY STREET,MANHATTAN,10002,212-780-5225,6653,2014-12-09,Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start,15,2,11,2,5,3.0,6.0,1884,Bottom 30%,1932,Bottom 15%,40.7185769,-73.9843219
DC3124,THE EDUCATIONAL ALLIANCE  HEAD START,THE EDUCATIONAL ALLIANCE,600 EAST 6 STREET,MANHATTAN,10009,212-979-2386,7345,2015-02-09,Permitted,2 YEARS - 5 YEARS,20,No,ACS Contracted Preschools,12,4,6,2,4,3.0,6.5,1842,Bottom 30%,1983,Bottom 15%,40.7240249,-73.9816527
DC12262,THE EDUCATIONAL ALLIANCE EARLY HEAD START,THE EDUCATIONAL ALLIANCE,197 EAST BROADWAY,MANHATTAN,10002,212-780-2300,6531,2014-10-06,Permitted,0 YEARS - 2 YEARS,73,No,Head Start (Direct Fed. Funding),0,0,0,0,2,0.0,0.0,216,Top 5%,23,Top 5%,40.7140047,-73.98820370000001
DC21339,THE EDUCATIONAL ALLIANCE EARLY HEAD START  EXPANSION 2,THE EDUCATIONAL ALLIANCE,442 EAST HOUSTON STREET,MANHATTAN,10002,212-677-5710,8244,2014-12-15,Permitted,2 YEARS - 5 YEARS,28,No,Head Start (Direct Fed. Funding),4,0,2,2,2,2.0,3.0,1456,Bottom 30%,1318,Average,40.7196415,-73.9774227
DC21338,THE EDUCATIONAL ALLIANCE EARLY HEADSTART EXPANSION,THE EDUCATIONAL ALLIANCE,18 AVENUE D,MANHATTAN,10009,212-780-5430,8253,2015-02-01,Permitted,2 YEARS - 5 YEARS,36,No,Head Start (Direct Fed. Funding),8,1,3,4,3,2.66667,4.33333,1778,Bottom 30%,1646,Bottom 30%,40.7205819,-73.9782467
DC15116,THE EDUCATIONAL ALLIANCE HEAD START,THE EDUCATIONAL ALLIANCE,197 EAST BROADWAY,MANHATTAN,10002,212-780-2300,3002,2016-07-15,Permitted,2 YEARS - 5 YEARS,358,No,ACS Head Start,5,1,2,2,2,2.5,4.5,1728,Bottom 30%,1688,Bottom 30%,40.7140047,-73.98820370000001
