Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC25662,02/24/2014,At time of inspection required hand wash signs were not provided.,GENERAL,47.35 (b),CORRECTED
DC25662,02/24/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC25662,02/24/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC25662,02/24/2014,Inadequate temperature of final rinse observed resulting in lack of sanitization of required dishware.,CRITICAL,81.37 (c),CORRECTED
DC20170,01/30/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC20170,01/30/2014,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC20170,01/30/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC20170,01/30/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC2222,01/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11144,01/29/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC12373,01/29/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC12373,01/29/2014,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC1693,01/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2291,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2290,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2614,09/16/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC2614,09/16/2013,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC10600,05/16/2014,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,
DC14339,09/16/2013,At time of inspection unwholesome food; food not in compliance with nutritional guidelines or of inadequate serving size was observed being served.,GENERAL,47.61 (b),CORRECTED
DC14339,09/16/2013,Walls and ceiling observed constructed of inappropriate materials. Walls and ceilings not maintained at time of inspection.,GENERAL,81.21 (f),
DC955,02/26/2014,"Child care service or child care service permit applicant failed to notify DOHMH of child deaths, serious injuries or civil/criminal actions relating to individuals associated with the child care service.",CRITICAL,47.09 (b),CORRECTED
DC955,02/26/2014,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC955,02/26/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC955,02/26/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC955,02/26/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC955,02/26/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC955,02/26/2014,At time of inspection heating apparatus was observed being used without appropriate guards. Restricted space heater observed being used.,PUBLIC HEALTH HAZARD,47.59 (e)+*,CORRECTED
DC955,02/26/2014,Required food protection procedures were not implemented at time of inspection. Holder of food protection certificate was not on site during hours of food preparation activity.,PUBLIC HEALTH HAZARD,47.61 (a)*,CORRECTED
DC14174,02/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC723,02/05/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC21252,02/06/2014,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC21253,02/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21475,03/04/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20790,04/03/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC25139,05/20/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1321,10/17/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC16795,05/06/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1320,09/30/2013,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,
DC24636,03/12/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14452,03/13/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24801,04/10/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC24801,04/10/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC24801,04/10/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC14466,10/18/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC3080,04/03/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20190,11/25/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24816,05/08/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC150,05/08/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC792,02/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC24900,04/08/2014,Child care service teaching staff acting as assistant teachers do not meet age and educational requirements.,GENERAL,47.13 (f),CORRECTED
DC24900,04/08/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC24900,04/08/2014,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC24900,04/08/2014,Child care service failed to submit a corrective action plan within five days when required; corrective action plan not approved.,CRITICAL,47.21 (a),CORRECTED
DC24900,04/08/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC24900,04/08/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC24900,04/08/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC24900,04/08/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC24900,04/08/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC24900,04/08/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC24900,04/08/2014,At time of inspection it was determined that child care service failed to conduct and document monthly fire drills.,CRITICAL,47.59 (d),CORRECTED
DC3041,04/11/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1627,07/17/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1774,04/03/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC1774,04/03/2014,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.,CRITICAL,47.47 (e),CORRECTED
DC1774,04/03/2014,Child care service not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,47.51 (a),CORRECTED
DC1774,04/03/2014,At time of inspection it was determined that child care service failed to take appropriate action to keep facility free of pests or conditions conducive to pests. Child care service fails to maintain extermination service log.,GENERAL,47.51 (b),CORRECTED
DC1774,04/03/2014,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC14711,03/11/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),
DC14110,03/21/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC14110,03/21/2014,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC14110,03/21/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC14110,03/21/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC14110,03/21/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC14110,03/21/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC14110,03/21/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC24595,05/29/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2623,12/16/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC14448,05/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC821,05/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2988,02/04/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10950,11/18/2013,"Appropriate and clean cots, linens and other sleeping arrangements not provided by child care service at time of inspection.",CRITICAL,47.55 (b),CORRECTED
DC10950,11/18/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC10950,11/18/2013,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC14874,01/23/2014,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC21106,10/24/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14407,02/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2416,12/03/2013,At time of inspection required hand wash signs were not provided.,GENERAL,47.35 (b),CORRECTED
DC2416,12/03/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC2416,12/03/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC2416,12/03/2013,Potentially hazardous foods observed out of required temperature ranges during periods of storage or display at time of inspection.,PUBLIC HEALTH HAZARD,81.09 (a)(b)*,CORRECTED
DC1584,06/13/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20001,05/21/2014,"Child care service employee failed to notify child care service administration of arrest, conviction and/or accusation/indication of child abuse within 24 hours.",CRITICAL,47.19 (f),
DC1779,02/27/2014,At time of inspection child care service failed to provide sufficient number of toilets and sinks for the number of children in attendance.,CRITICAL,47.43 (b)+,CORRECTED
DC25539,05/23/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,
DC17293,05/24/2013,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC17293,05/24/2013,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC1323,02/25/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC1323,02/25/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC1323,02/25/2014,Child care service not free of pests or maintains pest harborage conditions at time of inspection.,CRITICAL,47.51 (a),CORRECTED
DC1323,02/25/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC11541,10/07/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1134,12/19/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC11648,10/07/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21952,04/07/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC21952,04/07/2014,Food worker observed in soiled outer garments; hair nets observed not being used at time of inspection where required.,GENERAL,81.13 (b),CORRECTED
DC14835,04/03/2014,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC14835,04/03/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC14835,04/03/2014,Fire extinguishers observed not to be inspected or maintained at time of inspection.,PUBLIC HEALTH HAZARD,47.59 (b)+*,CORRECTED
DC436,05/13/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC436,05/13/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),
DC7,06/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18655,01/31/2014,Adequate space/arrangement to provide separate storage areas for children's outer garments not provided or maintained at time of inspection.,CRITICAL,47.55 (c),CORRECTED
DC18655,01/31/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC14954,01/15/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC14954,01/15/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC14954,01/15/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC12282,01/16/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2874,04/02/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC2874,04/02/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC19767,02/10/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC23093,03/03/2014,Permittee transferred/sold permit to unauthorized entity/individual; permittee changed address without applying for new permit.,PUBLIC HEALTH HAZARD,47.03 (c)*,CORRECTED
DC23093,03/03/2014,At time of inspection it was determined that plumbing was not installed by a licensed plumber; plumbing cross connection or other hazard observed that may result in the contamination of the potable water supply; Lead content of water has not been tested.,CRITICAL,47.43 (a),CORRECTED
DC12044,01/06/2014,Child care service/school program failed to submit complete Lead Abatement/Remediation Notice of Filing within required time frames.,GENERAL,173.14 (c)(1)(A),CORRECTED
DC12044,01/06/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC12044,01/06/2014,Peeling lead-based paint or peeling paint of unknown lead content observed in child care facility at time of inspection. At time of inspection it was determined that safe work practices were not employed during activity that potentially disturbed lead-based paint or paint of unknown lead content.,PUBLIC HEALTH HAZARD,47.63 (a)*,CORRECTED
DC12044,01/06/2014,Adulterated food observed being served. Food contact surfaces observed not manufactured as required. Food is not protected from cross contamination at time of inspection.,PUBLIC HEALTH HAZARD,81.07 (a)*,CORRECTED
DC12044,01/06/2014,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED
DC12044,01/06/2014,Adequate lighting not provided in food prep area at time of inspection. Foods observed not protected from contamination from light fixture/bulb damage at time of inspection.,GENERAL,81.19 (a)(b),CORRECTED
DC25073,09/16/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2402,02/27/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2581,05/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1825,04/01/2014,Child care service staff identified/acting as group teachers do not meet the required qualifications of the position.,GENERAL,47.13 (d),CORRECTED
DC1825,04/01/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC1825,04/01/2014,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,CORRECTED
DC1825,04/01/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC1825,04/01/2014,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC1825,04/01/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC1825,04/01/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC1825,04/01/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC1825,04/01/2014,Daily schedule not provided or maintained at time of inspection.,GENERAL,47.67 (b),CORRECTED
DC1825,04/01/2014,"Written behavior management policy not provided at time of inspection, distributed to staff or made available to parents.",GENERAL,47.67 (c)+,CORRECTED
DC22474,05/15/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC22474,05/15/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),
DC22474,05/15/2014,At time of inspection it was determined that child care service failed to take appropriate action to keep facility free of pests or conditions conducive to pests. Child care service fails to maintain extermination service log.,GENERAL,47.51 (b),CORRECTED
DC1696,12/20/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC10824,02/19/2014,At time of inspection hallways and other means of egress were observed obstructed and impassable.,PUBLIC HEALTH HAZARD,47.41 (f)*,CORRECTED
DC142,04/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1499,10/10/2013,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49 (c),CORRECTED
DC1205,03/26/2014,At time of inspection diaper changing counter not properly constructed. Diaper changing area observed not to be adjacent to a hand wash sink with adequate hot and cold running water.,CRITICAL,47.43 (h)(1)+,CORRECTED
DC1205,03/26/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC1205,03/26/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC14342,03/26/2014,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC14342,03/26/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC14342,03/26/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC21200,04/10/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2391,04/08/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC2391,04/08/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC2391,04/08/2014,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED
DC2914,04/17/2014,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,CORRECTED
DC2991,11/21/2013,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
DC14385,02/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2224,02/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2443,01/13/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),CORRECTED
DC387,06/20/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC387,06/20/2013,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC387,06/20/2013,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC14254,02/20/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2335,04/03/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1784,01/31/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2030,06/18/2013,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC2030,06/18/2013,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC14471,05/08/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC14471,05/08/2014,"At time of inspection children's medical files were not provided, were incomplete or were not maintained.",GENERAL,47.25 (d),CORRECTED
DC14471,05/08/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC14248,12/04/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10590,05/29/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),
DC25838,09/27/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC25838,09/27/2013,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,
DC25838,09/27/2013,Indepth review and real time drills in Safety Plan emergency procedures not provided to required persons annually; training comprehensive.,GENERAL,47.37(b)(3),
DC14121,02/25/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC1942,05/23/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),CORRECTED
DC21983,05/20/2014,At time of inspection it was determined that individual associated with child care service/camp involved in an act detrimental to health and safety.,PUBLIC HEALTH HAZARD,3.07*,CORRECTED
DC21983,05/20/2014,Child care service/camp obstructed DOHMH staff from conducting duties of the Department at the time of inspection.,PUBLIC HEALTH HAZARD,3.15*,CORRECTED
DC21983,05/20/2014,"Permittee/applicant failed to submit a written safety plan; written safety plan is not approved; staff not trained,drilled in plan; training, drills not evaluated; plan not maintained and updated.",CRITICAL,47.11 (a),CORRECTED
DC21983,05/20/2014,Corrective action plan submitted by child care service failed to adequately address situation; is incomplete; fails to assess risk to children.,GENERAL,47.21 (b),CORRECTED
DC21983,05/20/2014,Designated outdoor play area was observed without fencing of appropriate height at time of inspection.,CRITICAL,47.47 (b),CORRECTED
DC21983,05/20/2014,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.,CRITICAL,47.47 (e),CORRECTED
DC21983,05/20/2014,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH.",CRITICAL,47.57 (f),CORRECTED
DC21565,02/25/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC25433,10/22/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC25434,10/22/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC12012,04/16/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),
DC12012,04/16/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),
DC12012,04/16/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),
DC12012,04/16/2014,Child care service providing care for infant/toddlers and/or night care failed to have staff complete SIDS and Shaken Baby identification and prevention training.,GENERAL,47.37(c ),
DC12012,04/16/2014,Child care service Assistant Teacher staff have failed to take required 15 hours of training every 24 months.,GENERAL,47.37(d),
DC11986,04/16/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),
DC11986,04/16/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),
DC482,11/27/2013,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC482,11/27/2013,Child care service failed to conduct business and employment reference checks of staff/volunteers.,GENERAL,47.19 (i),CORRECTED
DC482,11/27/2013,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC482,11/27/2013,At time of inspection child care service unable to document that all children enrolled have had age appropriate immunizations unless a child is exempt.,CRITICAL,47.25 (a)(2),CORRECTED
DC482,11/27/2013,"At time of inspection children's medical files were not provided, were incomplete or were not maintained.",GENERAL,47.25 (d),CORRECTED
DC482,11/27/2013,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC482,11/27/2013,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),CORRECTED
DC21652,04/14/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC17258,04/15/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,CORRECTED
DC17258,04/15/2014,At time of inspection it was determined that child care service allows staff to perform their duties that are not healthy or are incapable of carrying out their duties. Staff medical clearances are not maintained by child care service.,CRITICAL,47.33 (b),CORRECTED
DC15217,11/20/2013,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC11546,01/24/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC18709,05/16/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC18709,05/16/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),CORRECTED
