Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type
DC10515,"SMALL WONDER I, INC. P/S","SMALL WONDER I, INC.",3012 AVENUE M,BROOKLYN,11210,718-692-0355,7052,06/28/2015,Permitted,2 YEARS - 5 YEARS,38,No,Private
DC12359,"SMALL WONDER PRESCHOOL,INC.","SMALL WONDER PRESCHOOL,INC.",90-45 MYRTLE AVENUE,QUEENS,11385,718-849-3002,5466,03/03/2016,Permitted,2 YEARS - 5 YEARS,60,No,Private
DC2012,SMALL WORLD DAY CARE CENTER,"CONSELYEA STREET BLOCK ASSOCIATION, INC.",211 AINSLIE STREET,BROOKLYN,11211,718-963-0330,4234,06/03/2015,Permitted,2 YEARS - 5 YEARS,94,No,ACS Contracted Preschools
DC2449,SMALL WORLD PRE-SCHOOL,"SEGUINE PRESCHOOL, INC.",144 BLOOMINGDALE ROAD,STATEN ISLAND,10309,718-356-7795,6829,09/02/2014,Permitted,2 YEARS - 5 YEARS,110,No,Private
DC24846,SMART START DAY CARE,"SMART START DAY CARE, LTD.",1201 AVENUE K,BROOKLYN,11230,718-942-5400,44337,06/19/2015,Permitted,2 YEARS - 5 YEARS,69,No,Private
DC842,"SMART START EARLY CHILDHOOD CENTER, INC.",SMART START EARLY CHILDHOOD CENTER INC.,8411 FORT HAMILTON PARKWAY,BROOKLYN,11209,718-921-1868,6396,10/25/2015,Permitted,2 YEARS - 5 YEARS,75,Yes,Private
DC16978,SMARTER TODDLER,SMARTER TODDLER NURSERY & PRESCHOOL INFANT TODDLER,400  WEST 55TH STREET,MANHATTAN,10019,212-757-2145,7943,09/12/2014,Permitted,0 YEARS - 2 YEARS,36,No,Private
DC14419,SMARTER TODDLER NURSERY & PRESCHOOL,"SMARTER TODDLER PRESCHOOL & NURSERY, LLC",100 WEST 89 ST,MANHATTAN,10024,212-721-4964,7414,09/05/2015,Permitted,2 YEARS - 5 YEARS,36,No,Private
DC16974,SMARTER TODDLER NURSERY & PRESCHOOL,"SMARTER TODDLER NURSERY & PRESCHOOL, LLC",400  WEST 55TH STREET,MANHATTAN,10019,212-757-2145,7944,09/12/2014,Permitted,2 YEARS - 5 YEARS,64,No,Private
DC14410,SMARTER TODDLER NURSERY & PRESCHOOL  INFANT/TODDLER,SMARTER TODDLER NURSERY AND PRESCHOOL,100 WEST 89 ST,MANHATTAN,10024,212-721-4964,7410,09/05/2015,Permitted,0 YEARS - 2 YEARS,17,No,Private
DC11855,"SMILES AROUND US ACADEMY, INC.","SMILES AROUND US ACADEMY II, INC.",351 SAND LANE,STATEN ISLAND,10305,718-390-0070,5426,03/19/2016,Permitted,2 YEARS - 5 YEARS,66,No,Private
DC1219,SMILES AROUND US DAY CARE CENTER,"SMILE AROUND US, INC.",3854 HYLAN BOULEVARD,STATEN ISLAND,10308,718-948-0122,6714,01/11/2016,Permitted,2 YEARS - 5 YEARS,85,No,Private
DC18801,"SMILES AROUND US FOR INFANTS AND TODDLERS, INC.","SMILES AROUND US FOR INFANTS AND TODDLERS, INC.",343 SAND LANE,STATEN ISLAND,10305,718-390-0070,8077,09/02/2015,Permitted,2 YEARS - 5 YEARS,21,No,Private
DC10602,SMILING FACES CHRISTIAN DAY CARE CENTER II,"ALEX,JANELLE & SORAYA, INCORPORATED",381 MYRTLE AVENUE,BROOKLYN,11205,718-852-7020,6555,09/03/2014,Permitted,2 YEARS - 5 YEARS,47,No,Private
DC2424,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT PRESCHOOL,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT,235 EAST 11 STREET,MANHATTAN,10003,212-777-3240,5050,08/29/2014,Permitted,2 YEARS - 5 YEARS,50,No,Private
DC14940,SOLADE PRESCHOOL,SOLADE DAY CARE INC.,1111 EAST 89TH STREET,BROOKLYN,11236,718-763-1742,7916,09/10/2014,Permitted,2 YEARS - 5 YEARS,25,No,Private
DC11240,SOLOMON PRE-SCHOOL,SOLOMON INSTITUTE CORP.,35-20 147 STREET,QUEENS,11354,718-961-5977,7260,02/02/2016,Permitted,2 YEARS - 5 YEARS,24,No,Private
DC366,SOUND DALE CENTER FOR EARLY CHILDHOOD EDUCATION,BRONXDALE TENANTS LEAGUE DAY CARE CENTER,1211 CROES AVENUE,BRONX,10472,718-378-3533,3097,06/29/2015,Permitted,2 YEARS - 5 YEARS,169,No,ACS Contracted Preschools
DC202,SOUTH BRONX HEAD START,SOUTH BRONX HEAD START PROGRAM INC.,141 FEATHERBED LANE,BRONX,10452,718-731-0075,5374,11/30/2014,Permitted,2 YEARS - 5 YEARS,75,Yes,ACS Contracted Preschools
DC201,SOUTH BRONX HEAD START,SOUTH BRONX HEAD START PROGRAM INC.,490 EAST 143 STREET,BRONX,10454,718-292-7250,4324,08/06/2014,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start
DC200,SOUTH BRONX HEAD START PROGRAM INC.,SOUTH BRONX HEAD START PROGRAM INC.,1458 WEBSTER AVENUE,BRONX,10456,718-538-4112,5796,11/15/2014,Permitted,2 YEARS - 5 YEARS,89,Yes,ACS Head Start
DC1230,"SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS, INC.","SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS, INC.",94-43 159 STREET,QUEENS,11433,718-523-6455,5475,07/19/2014,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Head Start
DC1370,SOUTH SHORE TODDLER ACADEMY & PRE-K,STATEN ISLAND COMMUNITY SERVICE INC.,11 SAMPSON AVENUE,STATEN ISLAND,10308,718-356-3563,4440,08/27/2015,Permitted,2 YEARS - 5 YEARS,34,No,Private
DC3010,SOUTH SHORE YMCA NURSERY SCHOOL,YOUNG MEN?S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,3939 RICHMOND AVENUE,STATEN ISLAND,10312,718-227-3200,7543,09/19/2015,Permitted,2 YEARS - 5 YEARS,83,No,Private
DC473,SPROUTS,SPECIAL SPROUTS INC.,339 8TH STREET,BROOKLYN,11215,718-965-8573,5497,10/04/2014,Permitted,2 YEARS - 5 YEARS,50,No,Private
DC42,"SPROUTS, INC.",BEANSPROUTS INC. OF BROOKLYN,506 6TH AVENUE,BROOKLYN,11215,718-965-8573,7158,09/29/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private
DC252,SPUYTEN DUYVIL PRESCHOOL,SPUYTEN DUYVIL PRESCHOOL.INC.,3041 KINGSBRIDGE AVENUE,BRONX,10463,718-549-1525,3088,04/06/2016,Permitted,2 YEARS - 5 YEARS,42,No,Private
DC25859,ST ANTHONY HEAD START/ UPK,CARDINAL MCCLOSKEY COMMUNITY SERVICES,1750 MANSION STREET,BRONX,10460,718-823-7202,55977,01/14/2016,Permitted,2 YEARS - 5 YEARS,120,No,ACS Contracted Preschools
DC25857,ST NICHOLAS OF TOLENTINE HEAD START,CARDINAL MCCLOSKEY COMMUNITY SERVICES,2331 UNIVERSITY AVENUE,BRONX,10468,718-364-7608,54737,12/04/2015,Permitted,2 YEARS - 5 YEARS,178,No,ACS Contracted Preschools
DC3043,ST NICHOLAS PRESCHOOL,ST. NICHOLAS CHURCH,43-09 196 STREET,QUEENS,11358,718-357-0800,7645,09/22/2014,Permitted,2 YEARS - 5 YEARS,74,No,Private
DC12380,"ST. ALBANS EARLY CHILDHOOD CENTER, INC.",ST. ALBANS EARLY CHILDHOOD CENTER INC.,109-53 FARMERS BOULEVARD,QUEENS,11412,718-479-7111,4579,01/22/2016,Permitted,2 YEARS - 5 YEARS,68,No,Private
DC368,ST. ANDREW'S COMMUNITY DAY CARE CENTER,"SUNSET BAY COMMUNITY SERVICES, INC.",4917 FOURTH AVENUE,BROOKLYN,11220,718-492-9678,7357,02/28/2015,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools
DC10978,ST. BENEDICT'S DAY NURSERY,ST. BENEDICT'S DAY NURSERY,21 WEST 124 STREET,MANHATTAN,10027,212-423-5715,6758,08/11/2014,Permitted,2 YEARS - 5 YEARS,79,No,Private
DC14390,ST. DOMINIC'S TORCH,ST. DOMINICS' HOME,2340 ANDREWS AVENUE,BRONX,10468,718-365-7238,5900,09/08/2014,Permitted,2 YEARS - 5 YEARS,75,No,Private
DC14315,ST. IGNATIUS LAYOLA DAY NURSERY,CHURCH OF ST.IGNATIUS LAYOLA,240 EAST 84TH STREET,MANHATTAN,10028,212-734-6427,5449,01/13/2015,Permitted,2 YEARS - 5 YEARS,110,No,Private
DC15673,ST. IRENE CHRYSOVALANTOU NURSERY & KINDERGARTEN,SACRED PATRIARCHAL &STAVROPEGIAL ORTHODOX MONASTERY OF ST. IRENE CHRYSOVALANTOU,42-11 DITMARS BLVD.,QUEENS,11105,718-626-6225,7971,01/13/2015,Permitted,2 YEARS - 5 YEARS,19,No,Private
DC21637,ST. JEMUEL GROUP FAMILY DAY CARE INC,ST. JEMUEL GROUP FAMILY DAY CARE INC,2836 WEBB AVENUE,BRONX,10468,718-601-9753,45398,06/27/2015,Permitted,2 YEARS - 5 YEARS,28,No,ACS Contracted Preschools
DC22692,"ST. JEMUEL GROUP FAMILY DAY CARE, INC.","ST. JEMUEL GROUP FAMILY DAY CARE, INC.",2836 WEBB AVENUE,BRONX,10468,718-601-9753,45357,06/27/2015,Permitted,0 YEARS - 2 YEARS,17,No,ACS Contracted Preschools
DC2824,ST. JOHN'S LUTHERAN PRESCHOOL,ST. JOHN'S LUTHERAN CHURCH,86-20 114 STREET,QUEENS,11418,718-441-3611,6480,02/25/2014,Expired-InRenewal,2 YEARS - 5 YEARS,29,No,Private
DC14722,ST. JOHN'S PLACE FAMILY CENTER DAY CARE CORPORATION,THE ST.JOHN'S PLACE FAMILY CENTER DAY CARE CORPORATION,1620 ST. JOHN'S PLACE,BROOKLYN,11233,718-771-7720,5599,07/18/2015,Permitted,2 YEARS - 5 YEARS,40,No,ACS Contracted Preschools
DC95,ST. JOHN'S PLACE FAMILY CENTER HDFC-INFANT AND TODDLER CARE PROGRAM,ST. JOHN'S PLACE FAMILY CENTER HOUSING DEVELOPMENT FUND CORPORATION,1620 ST JOHN'S PLACE,BROOKLYN,11233,718-771-7720,6980,10/23/2014,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC10547,ST. JOSEPH'S SCHOOL FOR THE DEAF,ST. JOSEPH'S SCHOOL FOR THE DEAF,1000 HUTCHINSON RIVER PARKWAY,BRONX,10465,718-828-9000,5686,04/27/2016,Permitted,2 YEARS - 5 YEARS,83,No,Private
DC731,ST. LUKES ACADEMY,ST. LUKES EVANGELICAL LUTHERAN CHURCH,259 WASHINGTON AVENUE,BROOKLYN,11205,718-622-5612,7163,12/02/2015,Permitted,2 YEARS - 5 YEARS,29,Yes,Private
DC17195,ST. MALACHY CHILD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES,INC.",220 HENDRIX STREET,BROOKLYN,11207,718-647-0966,7783,07/24/2015,Permitted,0 YEARS - 2 YEARS,28,No,ACS Contracted Preschools
DC14576,ST. MALACHY EARLY CHILDHOOD DEVELOPMENT CENTER,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.",220 HENDRIX STREET,BROOKLYN,11207,718-647-0966,6125,02/27/2016,Permitted,2 YEARS - 5 YEARS,150,No,ACS Contracted Preschools
DC204,ST. MARK'S HEAD START,ST. MARK'S U.M.C. FAMILY SERVICES COUNCIL,2017 BEVERLY ROAD,BROOKLYN,11226,718-287-7300,4843,08/15/2015,Permitted,2 YEARS - 5 YEARS,151,Yes,ACS Head Start
DC973,ST. MARTIN OF TOURS HEAD START,LITTLE ANGELS HEAD START PROGRAM OF THE ARCHDIOCESE OF N.Y.,695 EAST 182 STREET,BRONX,10457,718-220-4750,5766,05/10/2015,Permitted,2 YEARS - 5 YEARS,40,No,Private
DC14443,ST. MARTIN'S NURSERY & KINDERGARTEN SCHOOL,"ST. MARTIN'S NURSERY & KINDERGARTEN SCHOOL, INC.",657 VAN SICLEN AVENUE,BROOKLYN,11207,718-927-2363,6092,04/13/2016,Permitted,2 YEARS - 5 YEARS,28,No,Private
DC10753,ST. MARTIN'S NURSERYAND KINDERGARTEN SCHOOL- I/T,ST. MARTIN'S NURSERY & KINDERGARTEN SCHOOL INC.,657 VAN SICLEN AVENUE,BROOKLYN,11207,718-927-2363,6091,04/13/2015,Permitted,0 YEARS - 2 YEARS,14,No,Private
DC1975,"ST. PETER'S  DAYCARE OF WILLIAMSBRIDGE,INC.",ST. PETER'S EVANGELICAL LUTHERAN CHURCH,741 EAST 219 STREET,BRONX,10467,718-547-7632,5786,08/10/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private
DC414,ST. PETER'S PRESCHOOL,SAINT PETER'S EVANGELICAL LUTHERAN CHURCH,109 HIGHLAND PLACE,BROOKLYN,11208,718-647-1014,4264,03/22/2016,Permitted,2 YEARS - 5 YEARS,97,No,Private
DC11238,ST. THOMAS MORE PLAY  GROUP,"ST.THOMAS MORE PLAY GROUP, INC.",65 EAST 89 STREET,MANHATTAN,10128,212-534-3977,5113,11/04/2014,Permitted,2 YEARS - 5 YEARS,61,No,Private
DC2659,ST.ALBANS OUTREACH DAYCARE CENTER,ST. ALBANS EARLY CHILDHOOD CENTER,109-53 FARMERS BOULEVARD,QUEENS,11412,718-479-4111,4577,07/15/2013,Expired-InRenewal,0 YEARS - 2 YEARS,10,No,Private
DC2646,ST.BARTHOLOMEW COMMUNITY PRE-SCHOOL,ST. BARTHOLOMEW COMMUNITY PRE-SCHOOL,109 EAST 50 STREET,MANHATTAN,10022,212-378-0238,4366,09/14/2014,Permitted,2 YEARS - 5 YEARS,74,No,Private
DC1339,ST.LUKE'S NURSERY,ST. LUKES NURSERY SCHOOL,87-34 85 STREET,QUEENS,11421,718-296-6683,5133,11/27/2015,Permitted,2 YEARS - 5 YEARS,30,No,Private
DC1531,ST.MARY'S HOSPITAL FOR CHILDREN,ST. MARY'S HOSPITAL FOR CHILDREN,29-01 216 STREET,QUEENS,11360,718-281-8848,7555,06/28/2014,Permitted,2 YEARS - 5 YEARS,57,No,Private
DC371,STAGG STREET CENTER FOR CHILDREN,"BUSHWICK IMPROVEMENT SOCIETY, INC.",77-83 STAGG STREET,BROOKLYN,11206,718-388-1395,4515,02/13/2016,Permitted,2 YEARS - 5 YEARS,95,No,ACS Contracted Preschools
DC12259,STAR  AMERICA  M. INC.,QING SHENG WANG,780 8 AVENUE,MANHATTAN,10036,212-262-4896,7405,09/12/2015,Permitted,0 YEARS - 2 YEARS,33,No,Private
DC2986,STAR AMERICA INC.,STAR AMERICA INC.,80-07 BROADWAY,QUEENS,11373,718-396-9739,6634,03/16/2015,Permitted,2 YEARS - 5 YEARS,90,No,Private
DC82,STAR AMERICA INC.,"STAR AMERICA, INC.",880 60 STREET,BROOKLYN,11220,718-431-2545,6950,01/23/2016,Permitted,2 YEARS - 5 YEARS,96,No,Private
DC12260,STAR AMERICA PRESCHOOL,QING SHENG WANG,780 8 AVENUE,MANHATTAN,10036,212-262-4896,7431,08/03/2015,Permitted,2 YEARS - 5 YEARS,49,No,Private
DC23084,"STAR PARADISE, INC.","STAR PARADISE, INC.",86-55 BROADWAY,QUEENS,11373,718-255-1899,26797,11/02/2014,Permitted,2 YEARS - 5 YEARS,133,No,Private
DC470,STARRETT EARLY LEARNING CENTER,RECREATION ROOMS AND SETTLEMENT-STARRETT CITY EARLY LEARNING CENTER,1325 PENNSYLVANIA AVENUE,BROOKLYN,11239,718-642-8724,7504,11/12/2014,Permitted,2 YEARS - 5 YEARS,62,No,Private
DC22792,STATEN ISLAND CHILDREN'S ACADEMY,"ANTHONY FRANCO, SR.",50 OSAGE LANE,STATEN ISLAND,10312,718-227-2500,53539,10/25/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC22793,STATEN ISLAND CHILDREN'S ACADEMY,"ANTHONY FRANCO,SR.",50 OSAGE LANE,STATEN ISLAND,10312,718-227-2500,53540,10/25/2015,Permitted,2 YEARS - 5 YEARS,64,No,Private
DC1202,STATEN ISLAND EARLY CHILDHOOD CENTER,ZZSI CORP.,467 ST MARKS PLACE,STATEN ISLAND,10301,718-447-7726,6923,12/17/2015,Permitted,2 YEARS - 5 YEARS,70,No,Private
DC2200,STATEN ISLAND HEAD START,"STATEN ISLAND MENTAL HEALTH SOCIETY, INC.",44 DONGAN HILLS AVENUE,STATEN ISLAND,10306,718-987-2909,2068,09/28/2015,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start
DC1486,STATEN ISLAND MENTAL HEALTH HEAD START,"STATEN ISLAND MENTAL HEALTH SOCIETY, INC.",16 OSGOOD AVENUE,STATEN ISLAND,10304,718-420-6138,6784,04/29/2016,Permitted,2 YEARS - 5 YEARS,114,Yes,ACS Head Start
DC11051,STATEN ISLAND MENTAL HEALTH SOCIETY HEAD START,"STATEN ISLAND MENTAL HEALTH SOCIETY, INC.",100 BRIGHTON AVENUE,STATEN ISLAND,10301,718-442-6680,6113,06/01/2016,Permitted,2 YEARS - 5 YEARS,114,Yes,ACS Head Start
DC1226,STATEN ISLAND PRESCHOOL,SIPS KINDER FACILITIES INC.,145 ROSS AVENUE,STATEN ISLAND,10306,718-667-9235,5667,04/05/2016,Permitted,0 YEARS - 2 YEARS,10,No,Private
DC14168,STATEN ISLAND PRESCHOOL,SIPS KINDER FACILITIES INC.,145 ROSS AVENUE,STATEN ISLAND,10306,718-667-9235,5668,06/13/2015,Permitted,2 YEARS - 5 YEARS,45,No,Private
DC3024,STATEN ISLAND Y.M.C.A. NURSERY - NORTH,YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,651 BROADWAY,STATEN ISLAND,10310,718-981-4933,7743,05/10/2015,Permitted,2 YEARS - 5 YEARS,81,No,Private
DC15613,STEP AHEAD DAY CARE INFANT/ TODDLERS,"STEP AHEAD, LLC.",7100   RIDGE BLVD.,BROOKLYN,11209,718-680-2221,7762,05/02/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC15614,STEP AHEAD DAY CARE(PRE-SCHOOL),STEP AHEAD LLC.,7100   RIDGE BLVD.,BROOKLYN,11209,718-680-2221,7758,05/01/2015,Permitted,2 YEARS - 5 YEARS,28,No,Private
DC17049,STEP BY STEP  INFANT DEVELOPMENT CENTER  INC.,"STEP BY STEP INFANT DEVELOPMENT CENTER, INC.",1049 38 STREET,BROOKLYN,11219,718-633-6666,8010,03/30/2015,Permitted,2 YEARS - 5 YEARS,18,No,Private
DC10592,"STEP BY STEP EARLY CHILDHOOD CENTER, INC.","STEP BY STEP EARLY CHILDHOOD CENTER, INC.",1163 LENOX ROAD,BROOKLYN,11212,718-922-6366,6826,08/28/2014,Permitted,2 YEARS - 5 YEARS,47,No,Private
DC21351,"STEP BY STEP EARLY CHILDHOOD CENTER, INC.","STEP BY STEP EARLY CHILDHOOD CENTER, INC.",1163 LENOX ROAD,BROOKLYN,11212,718-922-6366,9357,11/30/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC2146,STEPHEN WISE EARLY CHILDHOOD CENTER,STEPHEN WISE FREE SYNAGOGUE,30 WEST 68 STREET,MANHATTAN,10023,212-877-4050,4898,05/19/2014,Expired-InRenewal,2 YEARS - 5 YEARS,80,No,Private
DC14261,STEPHEN WISE EARLY CHILDHOOD CENTER,STEPHEN WISE FREE SYNAGOGUE,30 WEST 68TH STREET,MANHATTAN,10023,212-877-4050,4899,07/18/2015,Permitted,0 YEARS - 2 YEARS,20,No,Private
DC15574,"STEPPING STONE DAY SCHOOL, INC.","STEPPING STONE DAY SCHOOL, INC.",2826 WESTCHESTER AVENUE,BRONX,10461,718-554-2025,7750,04/27/2015,Permitted,2 YEARS - 5 YEARS,186,No,Private
DC1512,"STEPPING STONE DAY SCHOOL, INC.","STEPPINGSTONE DAY SCHOOL, INC.",77-40 VLEIGH PLACE,QUEENS,11367,718-591-9093,6144,03/30/2015,Permitted,0 YEARS - 2 YEARS,14,Yes,Private
DC14199,STEPPING STONE DAYSCHOOLPRESCHOOL,"STEPPING STONE DAY SCHOOL, INC.",77-40 VLEIGH PLACE,QUEENS,11367,718-591-9093,5522,10/06/2014,Permitted,2 YEARS - 5 YEARS,298,Yes,Private
DC1513,STEPPING STONE PRE AND GRADE SCHOOL,STEPPING STONE OF SE QUEENS,114-36 FRANCIS LEWIS BOULEVARD,QUEENS,11411,718-465-2344,6117,09/05/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC2389,STEPPING STONE PRE-SCHOOL,"STEPPING STONE OF S.E. QUEENS,INC.",114-28 FRANCIS LEWIS BOULEVARD,QUEENS,11411,718-465-2344,5022,09/05/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC2385,STEPPING STONE PRE-SCHOOL,"STEPPING STONE OF S.E. QUEENS,INC.",114-30 FRANCIS LEWIS BOULEVARD,QUEENS,11411,718-465-2344,5242,09/05/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private
DC2388,STEPPING STONE PRE-SCHOOL AND KINDERGARTEN III,STEPPING STONE PRE-SCHOOL AND KINDERGARTEN III,114-38 FRANCIS LEWIS BOULEVARD,QUEENS,11411,718-465-2344,5601,09/05/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private
DC10455,STEPPING STONES,STEPPING STONES 86 LLC,245 86 STREET,BROOKLYN,11209,718-630-1000,7290,06/25/2014,Permitted,2 YEARS - 5 YEARS,47,No,Private
DC23021,STEPPING STONES,STEPPING STONES 86 LLC,247 86TH STREET,BROOKLYN,11209,718-630-1000,18945,07/13/2014,Permitted,2 YEARS - 5 YEARS,42,No,Private
DC1373,STEPPING STONES PRESCHOOL,"RAINBOW DAY CARE CENTER,INC.",5394 AMBOY ROAD,STATEN ISLAND,10312,718-948-4878,4769,07/12/2014,Permitted,2 YEARS - 5 YEARS,94,No,Private
DC22618,STEPPING STONES-THE NEXT STEP,RR & DO INC.,9321 RIDGE BLVD.,BROOKLYN,11209,718-630-1001,15277,04/24/2016,Permitted,2 YEARS - 5 YEARS,24,No,Private
DC256,STEPPING UP NURSERY SCHOOL,CAROL CONOLLY,2000 WILLIAMSBRIDGE ROAD,BRONX,10461,718-828-1180,5711,05/22/2016,Permitted,2 YEARS - 5 YEARS,18,No,Private
DC24750,STEPS 2 SUCCESS,"STEPZ 2 SUCCESS CHILD CARE CENTER, INC.",1992 NOSTRAND AVENUE,BROOKLYN,11210,718-576-6994,26977,11/08/2014,Permitted,2 YEARS - 5 YEARS,18,No,Private
DC14447,STEPS ELEMENTARY INC.,STEPS ELEMENTARY INC.,432 EAST 92 STREET,BROOKLYN,11212,718-485-0111,7611,04/24/2016,Permitted,2 YEARS - 5 YEARS,23,No,Private
DC18578,STEPS TO SUCCESS 1,"STEPS TO SUCCESS OF NY, LLC",11-21 NEW LOTS AVENUE,BROOKLYN,11212,718-345-3555,8114,12/23/2015,Permitted,2 YEARS - 5 YEARS,78,No,Private
DC20465,STEPS TO SUCCESS I,"STEPS TO SUCCESS OF NY, LLC",11-21 NEW LOTS AVENUE,BROOKLYN,11212,718-345-3555,8115,12/23/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC19072,STEPS TO SUCCESS II,"STEPS TO SUCCESS II, LLC.",2975 HYLAN BLVD,STATEN ISLAND,10306,718-351-7777,7984,02/13/2015,Permitted,2 YEARS - 5 YEARS,89,No,Private
DC22667,STEPS TO SUCCESS III,"STEPS TO SUCCESS III,LLC",1810 VOORHIES AVENUE,BROOKLYN,11235,718-758-5558,20917,08/17/2014,Permitted,2 YEARS - 5 YEARS,133,No,Private
DC14689,STILLWELL  AVE PREP-SCHOOL,STILLWELL AVENUE INC.,6420 BAY PARKWAY,BROOKLYN,11204,718-232-3643,7954,11/19/2014,Permitted,2 YEARS - 5 YEARS,44,Yes,Private
DC69,STILLWELL AVE PREPARATORY EXTENSION PROGRAM,STILLWELL AVENUE INC.,132 HIGHLAWN AVENUE,BROOKLYN,11223,718-333-3433,6903,05/09/2015,Permitted,2 YEARS - 5 YEARS,15,No,Private
DC11017,STILLWELL AVENUE PREP SCHOOL,STILLWELL AVENUE INC.,1990 STILLWELL AVENUE,BROOKLYN,11223,718-265-2220,5709,03/01/2016,Permitted,2 YEARS - 5 YEARS,79,No,Private
DC415,STORYBOOK LAND,"STORYBOOK LAND, INC.",8638 20TH AVENUE,BROOKLYN,11214,718-996-8714,6424,08/27/2015,Permitted,2 YEARS - 5 YEARS,18,No,Private
DC12233,STRAWBERRY PATCH DAY CARE  INC.,"STRAWBERRY PATCH DAY CARE CENTER, INC.",2007 LINDEN BOULEVARD,BROOKLYN,11207,718-257-7555,7429,05/30/2015,Permitted,0 YEARS - 2 YEARS,18,No,Private
DC12234,"STRAWBERRY PATCH DAY CARE,INC.","STRAWBERRY PATCH DAY CARE CENTER, INC.",2007 LINDEN BOULEVARD,BROOKLYN,11207,718-257-7555,7423,05/30/2015,Permitted,2 YEARS - 5 YEARS,41,No,Private
DC23116,STRONG PLACE DAY CARE,"STRONG PLACE DAY CARE CENTER, INC.",595 CLINTON STREET,BROOKLYN,11231,718-624-2993,19457,07/25/2014,Permitted,2 YEARS - 5 YEARS,159,No,ACS Contracted Preschools
DC24647,STRONG PLACE FOR HOPE DAY CARE,"STRONG PLACE DAY CARE, INC.",333 2ND STREET,BROOKLYN,11215,718-624-2993,23357,09/27/2014,Permitted,2 YEARS - 5 YEARS,91,No,ACS Contracted Preschools
DC24648,STRONG PLACE FOR HOPE DAY CARE,"STRONG PLACE DAY CARE CENTER, INC.",460 ATLANTIC AVENUE,BROOKLYN,11217,718-522-1352,23338,09/27/2014,Permitted,2 YEARS - 5 YEARS,114,No,ACS Contracted Preschools
DC2116,STUYVESANT HEIGHTS CHRISTIAN CHURCH EARLY CHILDHOOD CENTER,"STUYVESANT HEIGHTS CHRISTIAN CHURCH, INC.",69 MACDONOUGH STREET,BROOKLYN,11216,718-783-5383,5467,09/25/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private
DC16659,STUYVESANT HEIGHTS MONTESSORI,"STUYVESANT HEIGHTS MONTESSORI,INC.",644 MACDONOUGH STREET,BROOKLYN,11233,347-295-1100,7921,09/16/2014,Permitted,2 YEARS - 5 YEARS,71,No,Private
DC373,SUMNER CHILDREN'S CENTER,BROOKLYN KINDERGARTEN SOCIETY,860 PARK AVENUE,BROOKLYN,11206,718-455-3471,1235,05/19/2016,Permitted,2 YEARS - 5 YEARS,59,Yes,ACS Contracted Preschools
DC16690,SUN FLOWER,"SANDRA'S SUNFLOWER CHILD CARE, INC.",121-17  SUTPHIN BLVD.,QUEENS,11434,718-848-1352,8286,04/11/2015,Permitted,2 YEARS - 5 YEARS,25,No,Private
DC1543,SUNFLOWER ACADEMY,NATALIE'S SUNFLOWER LLC,238 5 AVENUE,BROOKLYN,11215,718-783-0738,7161,05/10/2016,Permitted,2 YEARS - 5 YEARS,25,No,Private
DC25966,SUNFLOWER DAY CARE CENTER,"NEW SUNFLOWER DAY CARE CENTER, LLC",1704 BATH AVENUE,BROOKLYN,11214,718-236-3643,53797,11/01/2015,Permitted,2 YEARS - 5 YEARS,17,No,Private
DC21751,SUNFLOWER KIDZ DAY CARE,SUNFLOWER KIDZ DAY CARE,100-17 32 AVENUE,QUEENS,11369,347-709-7793,8366,08/24/2015,Permitted,2 YEARS - 5 YEARS,32,No,Private
DC21004,SUNFLOWER PLAYHOUSE,SUNFLOWER PLAYHOUSE CORP.,787A WASHINGTON AVENUE,BROOKLYN,11238,718-623-2900,8230,01/03/2015,Permitted,2 YEARS - 5 YEARS,17,No,Private
