Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Lon,Lat
RICHMOND HILL CHILDRENS CENTER,RICHMOND HILL CHILDRENS CENTERLLC,501 RICHMOND HILL ROAD,STATEN ISLAND,10314,718-494-7422,7353,1/1/2015,  Permitted,2 YEARS - 5 YEARS,75,No,Private,-74.153,40.5813
RICHMOND HILL DAY CARE,RICHMOND HILL DAY CARE INC,115-24 MYRTLE AVENUE / 115-24A MYRTLE AVENUE,QUEENS,11418,718-441-8191,8350 / 8351,6/9/2015 / 6/9/2015,  Permitted /   Permitted,2 YEARS - 5 YEARS,56,No,Private,-73.8339,40.7001
RIDGEWOOD PRE-SCHOOL CENTER,RIDGEWOOD PRESBYTERIAN CHURCH,59-14 70 AVENUE,QUEENS,11385,718-456-1075,5183,7/2/2014,  Permitted,2 YEARS - 5 YEARS,17,No,Private,-73.8997,40.701
RIDGEWOOD YMCA CHILD CARE CENTER,RIDGEWOOD YMCA CHILD CARE CENTER,69-02 64 STREET,QUEENS,11385,212-912-2180,4564,7/29/2015,  Permitted,2 YEARS - 5 YEARS,56,No,Private,-73.8942,40.7041
RING AROUND THE ROSIE PRESCHOOL,RING AROUND THE ROSIE PRESCHOOL INC,7104 13 AVENUE,BROOKLYN,11228,718-492-7464,6477,11/3/2015,  Permitted,2 YEARS - 5 YEARS,28,No,Private,-74.0054,40.6226
RING AROUND THE ROSIE PRESCHOOL  II,RING AROUND THE ROSIE PRESCHOOLINC,7106 13TH AVENUE,BROOKLYN,11228,718-492-7464,7924,9/23/2014,  Permitted,2 YEARS - 5 YEARS,29,No,Private,-74.0054,40.6225
RISE  SHINE LEARNING CENTER,RIZE  SHINE CHILDCARE CENTER INC,512 ROCKAWAY AVENUE,BROOKLYN,11212,917-691-0901,47737,7/11/2015,  Permitted,2 YEARS - 5 YEARS,21,No,Private,-73.9105,40.6675
RISE  SHINE OF FOREST HILLS,RISE  SHINE OF FOREST HILLS INC,68-38 YELLOWSTONE BLVD,QUEENS,11375,347-949-4296,32078,2/5/2015,  Permitted,2 YEARS - 5 YEARS,50,No,Private,-73.8485,40.7253
RIVENDELL SCHOOL,RIVENDELL SCHOOL,277 3RD AVENUE,BROOKLYN,11215,718-499-5667,7670,10/31/2014,  Permitted,2 YEARS - 5 YEARS,65,No,Private,-73.9858,40.6774
RIVER PARK NURSERY SCHOOL AND KINDERGARTEN,RIVER PARK NURSERY SCHOOL AND KINDERGARTEN,711 AMSTERDAM AVENUE,MANHATTAN,10025,212-663-1205,5634,5/6/2015,  Permitted,2 YEARS - 5 YEARS,28,No,Private,-73.9707,40.7929
RIVER SCHOOL - WESTSIDE INFANT/ TODDLER / RIVER SCHOOL-WESTSIDE P/S,MERLYN DEVELOPMENT LLC,75 WEST END AVENUE,MANHATTAN,10023,212-707-8300,6886 / 6899,8/13/2015 / 7/9/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,114,Yes,Private,-73.9893,40.774
RIVERALE NURSERY SCHOOL AND FAMILY CENTER,RIVERDALE NURSERY SCHOOL AND FAMILY CENTER,3816 WALDO AVENUE,BRONX,10463,718-884-3950,7674,1/3/2015,  Permitted,2 YEARS - 5 YEARS,61,No,Private,-73.9033,40.8874
RIVERDALE  Y  EARLY CHILDHOOD CENTER,YOUNG MENS/YOUNG WOMENS HEBREW ASSOCIATION OF THE BRONX,5625 ARLINGTON AVENUE,BRONX,10471,718-548-8200,5104,3/30/2015,  Permitted,2 YEARS - 5 YEARS,75,No,Private,-73.9083,40.905
RIVERDALE COMMUNITY SCHOOL,RIVERDALE COMMUNITY SCHOOL,25 KNOLLS CRESCENT,BRONX,10463,718-543-0050,7550,3/15/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,15,No,Private,-73.9184,40.8782
RIVERDALE COUNTRY SCHOOL INFANT TODDLER CENTER,RIVERDALE COUNTRY SCHOOL,5250 FIELDSTON ROAD,BRONX,10471,718-519-2761 / 718-549-8810,12157 / 7180,2/7/2016 / 10/15/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,23,No,Private,-73.9013,40.9003
RIVERDALE MONTESSORI SCHOOL,JASMINE EDUCATIONAL ENTERPRISES INC,5705 MOSHOLU AVE,BRONX,10471,718-543-4884,8259,2/17/2015,  Permitted,2 YEARS - 5 YEARS,54,No,Private,-73.9003,40.9057
RIVERDALE NEIGHBORHOOD HOUSE,RIVERDALE NEIGHBORHOOD HOUSE INC,5555 MOSHOLU AVENUE,BRONX,10471,718-549-8100,5718,5/28/2014,  Permitted,2 YEARS - 5 YEARS,84,No,Private,-73.9036,40.9037
RIVERDALE NEIGHBORHOOD HOUSE INC,RIVERDALE NEIGHBORHOOD HOUSE INC,5521 MOSHOLU AVENUE,BRONX,10471,718-549-8100,4504,8/7/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.9039,40.9034
RIVERDALE PRESBYTERIAN CHURCH NURSERY SCHOOL,RIVERDALE PRESBYTERIAN CHURCH,4765 HENRY HUDSON PARKWAY,BRONX,10471,718-548-8260,1531,3/2/2015,  Permitted,2 YEARS - 5 YEARS,60,No,Private,-73.9084,40.8962
RIVERDALE TEMPLE NURSERY SCHOOL,RIVERDALE TEMPLE,4545 INDEPENDENCE AVENUE,BRONX,10471,718-796-0335,1929,1/16/2015,  Permitted,2 YEARS - 5 YEARS,92,No,Private,-73.9128,40.8917
RIVERSIDE MONTESSORI SCHOOL,RIVERSIDE MONTESSORI SCHOOL / RIVERSIDE MONTESSORI INC,202 RIVERSIDE DRIVE,MANHATTAN,10025,212-665-1600,6757 / 6583,10/22/2015 / 10/24/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,154,Yes,Private,-73.9763,40.7936
RM PREP LLC,RM PREP LLC,75-77 READE STREET,MANHATTAN,10007,212-513-7735,52097,9/17/2015,  Permitted,2 YEARS - 5 YEARS,59,No,Private,-74.0073,40.715
ROCHDALE VILLAGE KINDERGARTEN,ROCHDALE VILLAGE NURSERY SCHOOLINC,170-10 130 AVENUE,QUEENS,11434,718-723-2224,6844,9/27/2014,  Permitted,2 YEARS - 5 YEARS,25,No,Private,-73.7723,40.6768
ROCHDALE VILLAGE NURSERY SCHOOL,ROCHDALE VILLAGE NURSERY SCHOOLINC,170-30 130 AVENUE,QUEENS,11434,718-723-2224,6920,9/27/2014,  Permitted,2 YEARS - 5 YEARS,30,No,ACS Contracted Preschools,-73.7703,40.6766
ROCHDALE VILLAGE PRE-SCHOOL,ROCHDALE VILLAGE NURSERY SCHOOLINC,170-20 130 AVENUE,QUEENS,11434,718-723-2224,2011,9/27/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.7715,40.6759
ROCKAWAY CHILD CARE CENTER,BETHEL MISSION STATION CHURCH INC,14-66 BEACH CHANNEL DRIVE,QUEENS,11691,718-327-1384,7119,4/9/2015,  Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,-73.7523,40.6104
RODI DAYCARE CENTER,RODICARE LLC,3560 NETHERLAND AVENUE,BRONX,10463,718-601-0406,32037,2/5/2015,  Permitted,2 YEARS - 5 YEARS,19,No,Private,-73.9103,40.8864
ROGERS DAY CARE,ROGERS DAY CARE INC,775 ROGERS AVENUE,BROOKLYN,11226,718-703-4312,6842,11/12/2014,  Permitted,2 YEARS - 5 YEARS,51,No,Private,-73.9522,40.6521
ROOSEVELT ISLAND DAY NURSERY,ROOSEVELT ISLAND DAY NURSERY,4 RIVER ROAD,MANHATTAN,10044,212-593-0750,5597,9/19/2015,  Permitted,2 YEARS - 5 YEARS,64,No,Private,-73.9475,40.7647
ROOSEVELT ISLAND DAY NURSERY,ROOSEVELT ISLAND NURSERY / ROOSEVELT ISLAND DAY NURSERY,405 MAIN STREET,MANHATTAN,10044,212-593-0750 / 212-935-3747,8324 / 8325,9/24/2014 / 9/24/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,33,No,Private,-73.9541,40.758
RORYS ROOM  PRESCHOOL,THE OLIVE TREEHOUSE GROUP LLC,3001 FORT HAMILTON PARKWAY,BROOKLYN,11218,718-435-4950,7913,8/29/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.9785,40.6485
ROUND THE CLOCK NURSERY / ROUND THE CLOCK NURSERY INC,URBAN CONCEPTS OF NEW YORK ROUND THE CLOCK NURSERYINC / URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY INC,301 WEST 130 STREET / 301B WEST 130 STREET,MANHATTAN,10027,212-694-0615,8250 / 8104,1/19/2015 / 11/17/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,85,No,Private,-73.9491,40.8136
ROUND THE CLOCK NURSERY INC,URBAN CONCEPTS OF NEW YORKROUND THE CLOCK NURSERY INC,2380 MARION AVENUE,BRONX,10458,718-329-6023,6804,10/20/2014,  Permitted,2 YEARS - 5 YEARS,150,No,Private,-73.8953,40.8582
ROUND THE CLOCK NURSERY INC,URBAN CONCEPTS OF NEW YORK,3333 Broadway,MANHATTAN,10031,212-234-1870,7495,10/31/2015,  Permitted,2 YEARS - 5 YEARS,55,No,Private,-73.9572,40.8198
SACRED HEART DAY CARE CENTER INC,SACRED HEART DAY CARE CENTER INC,1069 NOSTRAND AVENUE,BROOKLYN,11225,718-221-5500,8295,4/4/2015,  Permitted,2 YEARS - 5 YEARS,22,No,Private,-73.9505,40.6619
SACRED HEART HEAD START,LITTLE ANGELS HEAD START PROGRAM OF THE ARCHDIOCESE OF N Y,95 WEST 168TH STREET,BRONX,10452,718-293-2006,4855,5/26/2014,  Permitted,2 YEARS - 5 YEARS,195,No,ACS Contracted Preschools,-73.9244,40.8385
SAINT ALBANS MONTESSORI DAY CARE CENTER INC,ST ALBANS MONTESSORI DAY CARE INC,118-49 MONTAUK STREET,QUEENS,11412,718-341-5945,52681,10/1/2015,  Permitted,2 YEARS - 5 YEARS,80,No,Private,-73.7635,40.6883
SAINT CLARE EARLY CHILDHOOD PROGRAM,CHURCH OF ST CLAREGREAT KILLS NEW YORK,150 NELSON AVENUE,STATEN ISLAND,10308,718-967-0990,51858,9/11/2015,  Permitted,2 YEARS - 5 YEARS,95,No,Corporate,-74.1495,40.5458
SALANTER AKIBA RIVERDALE ACADEMY SAR ACADEMY,SALANTER AKIBA RIVERDALE ACADEMY/SAR ACADEMY,655 WEST 254TH STREET,BRONX,10471,718-548-1717,53077,10/16/2015,  Permitted,2 YEARS - 5 YEARS,14,No,Private,-73.911,40.9039
SAMUEL FIELD Y - CHILD CARE CENTER,SAMUEL FIELD YM-YWHA INC,58-20 LITTLE NECK PARKWAY,QUEENS,11362,718-225-6750,1964,2/14/2015,  Permitted,2 YEARS - 5 YEARS,133,No,Private,-73.7233,40.7609
SAMUEL FIELD Y-BAY TERRACE PRESCHOOL CENTER,SAMUEL FIELD YM  YWHA,212-00 23 AVENUE,QUEENS,11360,718-423-6111,6075,11/18/2014,  Permitted,2 YEARS - 5 YEARS,78,No,Private,-73.7778,40.7808
SANDRAS SUNFLOWER CHILD CARE INC,SANDRAS SUNFLOWER CHILD CARE INC,90-16 SUTPHIN BLVD,QUEENS,11435,347-454-9079,21477,8/27/2014,  Permitted,2 YEARS - 5 YEARS,70,No,Private,-73.8085,40.7025
SARATOGA DAY CARE  PS / SARATOGA DAY CARE INFANT/TODDLER PROGRAM,SARATOGA DAY CARE CORPORATION,1797 PARK PLACE 406 SARATOGA AVENUE ENTRANCE,BROOKLYN,11233,347-955-4145,21078 / 14639,8/20/2014 / 4/11/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,33,No,Private,-73.9195,40.6721
SCAN  LAGUARDIA  HOUSE NURSERY,SCAN NEW YORK,414 EAST 105TH STREET,MANHATTAN,10029,212-722-7441,7817,10/15/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,-73.9403,40.7885
SCO FAMILY OF SERVICES-MORRIS KOPPLEMAN EARLY CHILDHOOD EDUCATION CENTER,SCO FAMILY OF SERVICES INC,774 SARATOGA AVENUE,BROOKLYN,11212,718-345-6666,24398,10/9/2014,  Permitted,2 YEARS - 5 YEARS,145,No,ACS Contracted Preschools,-73.916,40.6617
SCO FAMILY OF SERVICES-SHIRLEY CHISHOLM EARLY CHILDHOOD EDUCATION CENTER,SCO FAMILY OF SERVICES,69 SARATOGA AVENUE,BROOKLYN,11233,718-443-4100,24138,10/5/2014,  Permitted,2 YEARS - 5 YEARS,165,No,ACS Contracted Preschools,-73.9172,40.6846
SEABURY DAY CARE CENTER,LEAKE AND WATTS SERVICES INC,575 SOUNDVIEW AVENUE,BRONX,10473,718-991-1500,33197,2/25/2015,  Permitted,2 YEARS - 5 YEARS,82,No,ACS Contracted Preschools,-73.8616,40.8168
SECOND HOUSING NURSERY,SECOND HOUSING NURSERY,161-55 JEWEL AVENUE,QUEENS,11365,718-591-2399,4438,11/12/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.8055,40.732
SEMILLITAS CHILDREN EDUCATION CENTER,SEMILLITAS CORP,81-07 NORTHERN BOULEVARD,QUEENS,11372,718-507-2723,7033,11/5/2014,  Permitted,2 YEARS - 5 YEARS,20,No,Private,-73.886,40.7557
SEPHARDIC ACADEMY OF MANHATTAN,SEPHARDIC ACADEMY OF MANHATTAN,1274 SECOND AVENUE,MANHATTAN,10065,212-249-6391,8379,11/2/2015,  Permitted,2 YEARS - 5 YEARS,105,No,Private,-73.9606,40.7652
SEPHARDIC COMMUNITY EARLY CHILDHOOD CENTER,SEPHARDIC COMMUNITY YOUTH CENTER INC,1901 OCEAN PARKWAY,BROOKLYN,11223,718-627-4300,5079,6/11/2015,  Permitted,2 YEARS - 5 YEARS,182,No,Private,-73.9655,40.6023
SESAME SPROUT,SESAME SPROUT INC,96-08 57 AVENUE,QUEENS,11368,718-213-4326,4445,9/16/2015,  Permitted,2 YEARS - 5 YEARS,113,No,Private,-73.864,40.7362
SEVENTH  AVENUE  CENTER  FOR FAMILY  SERVICES HEAD START,SEVENTH AVENUE CENTER FOR FAMILY SERVICES HEAD START,711 LENOX AVENUE,MANHATTAN,10039,212-862-0600,6913,10/18/2015,  Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,-73.936,40.8208
SEVENTH AVENUE CENTER FOR FAMILY SERVICES,SEVENTH AVENUE CENTER FOR FAMILY SERVICES,1646 MONTGOMERY AVENUE,BRONX,10453,718-901-0140,6915,11/1/2015,  Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,-73.9198,40.8487
SHALOM YELADIM EARLY CHILDHOOD CENTER,SHALOM YELADIM INC,135 BENNETT AVENUE,MANHATTAN,10040,212-568-1900,54777,12/4/2015,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.9341,40.8545
SHARON  BAPTIST  HEAD START - CENTER 4 DELEGATE PROGRAM / SHARON BAPTIST HEAD START - GRANTEE,SHARON BAPTIST BOARD OF DIRECTORSINC / SHARON BAPTIST BOARD OF DIRECTORS INC,1925 BATHGATE AVENUE,BRONX,10457,718-466-1604 / 718-466-1605,6839 / 6965,12/13/2014 / 5/4/2014,  Permitted /   Permitted,2 YEARS - 5 YEARS,165,No,ACS Contracted Preschools / Head Start Direct Fed Funding,-73.8972,40.8474
SHARON BAPTIST HEAD START,SHARON BAPTIST BOARD OF DIRECTORS INC,279-281 EAST BURNSIDE AVENUE,BRONX,10457,718-299-6500,6834,12/1/2014,  Permitted,2 YEARS - 5 YEARS,109,No,ACS Head Start,-73.9016,40.8512
SHARON BAPTIST HEAD START,SHARON BAPTIST BOARD OF DIRECTORS INC,507-509 EAST 165TH STREET,BRONX,10456,718-466-1604,7721,3/1/2015,  Permitted,2 YEARS - 5 YEARS,126,No,ACS Contracted Preschools,-73.9081,40.8269
SHARON NURSERY SCHOOL,SHARON NURSERY INC,145-15 34 AVENUE,QUEENS,11354,718-539-8467,6167,3/26/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,40,No,Private,-73.8222,40.7673
SHELDON R WEAVER DAY CARE CENTER,BETHEL MISSION STATION CHURCH INC,72-05 BEACH CHANNEL DRIVE,QUEENS,11692,718-474-8618,49797,8/8/2015,  Permitted,2 YEARS - 5 YEARS,28,No,ACS Contracted Preschools,-73.8001,40.5911
SHELTERING ARMS LEARNING CENTER,EPISCOPAL SOCIAL SERVICES,2493 ADAM CLAYTON POWELL BLVD,MANHATTAN,10030,212-368-1743,5486,7/26/2015,  Permitted,2 YEARS - 5 YEARS,48,No,ACS Contracted Preschools,-73.939,40.8211
SHEMA KOLAINU- HEAR OUR VOICES,SHEMA KOLAINU- HEAR OUR VOICES,4302 NEW UTRECHT AVENUE,BROOKLYN,11219,718-686-9600,7268,7/26/2015,  Permitted,2 YEARS - 5 YEARS,24,No,Private,-73.9946,40.6417
SHEMTOV PLAYGROUP,SHEMTOV PLAYGROUP INC,1565 59 STREET,BROOKLYN,11219,718-633-7529,8216,9/28/2014,  Permitted,2 YEARS - 5 YEARS,58,No,Private,-73.9917,40.6259
SHEMTOV PLAYGROUP,SHEMTOV PLAYGROUP INC,4917 14TH AVENUE,BROOKLYN,11219,718-851-7529,31638,1/29/2015,  Permitted,2 YEARS - 5 YEARS,22,No,Private,-73.9901,40.6332
SHIN KWANG CHURCH NURSERY,THE SHIN KWANG CHURCH OF NEW YORK,33-55 BELL BOULEVARD,QUEENS,11361,718-357-3355,6551,6/23/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.7737,40.7708
SHINING STARS PRE-SCHOOL,SHINING STARS PRESCHOOL CORP,1879 BRONXDALE AVENUE,BRONX,10462,718-409-1316,7705,1/5/2015,  Permitted,2 YEARS - 5 YEARS,34,No,Private,-73.8612,40.8483
SHIRA HEAD START BAIS YAAKOV IIIIIIIVVVLVLL,SHIRA ASSOCIATION INC,4502 14 AVENUE,BROOKLYN,11219,718-435-5755,7503,8/4/2015,  Permitted,2 YEARS - 5 YEARS,115,No,Head Start Direct Fed Funding,-73.988,40.636
SHIRA HEAD START BETH HILLEL I II III,SHIRA ASSOCIATION INC,1364 42 STREET,BROOKLYN,11219,718-438-3535,5059,1/25/2015,  Permitted,2 YEARS - 5 YEARS,43,No,Head Start Direct Fed Funding,-73.9866,40.6378
SHIRA HEAD START BNOS ZIONIIIIIIIIVVV1 / ZION DAY CARE CENTER,SHIRA ASSOCIATION INC / BNOS ZION OF BOVOV INC,5002 14TH AVENUE,BROOKLYN,11219,718-435-7700 / 718-438-2862,5004 / 5692,5/24/2014 / 3/16/2014,  Permitted /   Expired-InRenewal,2 YEARS - 5 YEARS,192,No,ACS Contracted Preschools,-73.9909,40.6331
SHIRA HEAD START BOYAN III,SHIRA ASSOCIATION INC,1205 44 STREET,BROOKLYN,11219,718-435-7700,5717,7/15/2014,  Permitted,2 YEARS - 5 YEARS,38,No,Head Start Direct Fed Funding,-73.991,40.6392
SHIRA HEAD START CHASAN SOFER I  II,SHIRA ASSOCIATION INC,1717 49TH STREET,BROOKLYN,11204,718-435-7700,5018,5/26/2014,  Permitted,2 YEARS - 5 YEARS,40,No,Private,-73.9827,40.6296
SHIRA HEAD START GUR I II III1VV,SHIRA ASSOCIATION INC,1975 51ST STREET,BROOKLYN,11204,718-435-7700,6064,6/15/2014,  Permitted,2 YEARS - 5 YEARS,82,No,Private,-73.9777,40.6247
SHIRA HEAD START SHAAREI HAYOSHER III,SHIRA ASSOCIATION INC,1334 OCEAN PARKWAY,BROOKLYN,11230,718-435-7700,5729,5/25/2014,  Permitted,2 YEARS - 5 YEARS,36,No,Private,-73.9696,40.6161
SHIRA HEAD START SPINKA I II,SHIRA ASSOCIATION INC,5801 15 AVENUE,BROOKLYN,11219,718-435-7700,5957,6/19/2015,  Permitted,2 YEARS - 5 YEARS,40,No,Head Start Direct Fed Funding,-73.9928,40.6271
SHIRA HEAD START YESODEI HATORAH,SHIRA ASSOCIATIONINC,1350 50 STREET,BROOKLYN,11219,718-435-7700,5956,11/16/2014,  Permitted,2 YEARS - 5 YEARS,18,No,Head Start Direct Fed Funding,-73.9915,40.6335
SHIRLEY CHISHOLM  DAY CARE CENTER  5,SHIRLEY CHISHOLM DAY CARE CENTER INC,265 SUMPTER STREET,BROOKLYN,11233,718-452-1200,9601,12/7/2015,  Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,-73.9147,40.6809
SHIRLEY CHISHOLM DCC  2,SHIRLEY CHISHOLM DAY CARE CENTER INC,333 14 Street,BROOKLYN,11215,718-499-7159,7584,8/18/2014,  Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,-73.9855,40.665
SHIRLEY CHISHOLM DAY CARE CENTER  1 / SHIRLEY CHISHOLM DAY CARE CENTER 1,SHIRLEY CHISHOLM DAY CARE CENTER INC / SHIRLEY CHISHOLM DAY CARE CENTERINC,2023 PACIFIC STREET,BROOKLYN,11233,718-756-1721,4196 / 4130,7/6/2015 / 9/23/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,124,No,ACS Contracted Preschools,-73.921,40.6763
SHIRLEY CHISHOLM DAY CARE CENTER 4,SHIRLEY CHISHOLM DAY CARE CENTER INC,33 SOMERS STREET,BROOKLYN,11233,718-498-6200,8025 / 8024,7/3/2015 / 7/3/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,132,No,ACS Contracted Preschools,-73.912,40.6789
SHOLOM DAY CARE,SHOLOM DAY CARE INC,84-37 118 STREET,QUEENS,11415,718-849-9189,6992,4/23/2014,  Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,-73.8329,40.7032
SHOLOM DAY CARE INC,SHOLOM DAY CARE INC,82-04 LEFFERTS BOULEVARD,QUEENS,11415,718-441-9893,7143,5/23/2015,  Permitted,2 YEARS - 5 YEARS,72,No,ACS Contracted Preschools,-73.8316,40.7075
SHOREFRONT YM-YWHA PRESCHOOL,SHOREFRONT YM-YWHA OF BRIGHTON-MANHATTAN BEACHINC,3300 CONEY ISLAND AVENUE,BROOKLYN,11235,718-646-1444,1935,8/30/2015,  Permitted,2 YEARS - 5 YEARS,89,No,Private,-73.96,40.5756
SHOSTAKOVICH MUSIC ART AND SPORT SCHOOL INC,SHOSTAKOVICH MUSIC ART  SPORT SCHOOL INC,1938 BATH AVENUE,BROOKLYN,11214,718-372-3716,3180,3/23/2014,  Expired-InRenewal,2 YEARS - 5 YEARS,30,No,Private,-74.0028,40.6019
SHOSTAKOVICH SCHOOL,SHOSTAKOVICH MUSIC ART AND SPORT SCHOOL INC,297 AVENUE X,BROOKLYN,11223,718-376-8056,5745,11/10/2014,  Permitted,2 YEARS - 5 YEARS,38,No,Private,-73.972,40.5905
SIDI-ENJOLI HASANOEDDIN   BRIGHT BEGINNING EARLY LEARNING CENTER ,SIDI INC,1002 CASTLE HILL AVENUE,BRONX,10472,347-621-5770,8330,10/19/2014,  Permitted,2 YEARS - 5 YEARS,30,No,Private,-73.8498,40.8278
SILVER LAKE HEAD START / SILVER LAKE HEAD START 1,YELED VYALDA EARLY CHILDHOOD CENTER INC,10 GREGG PLACE,STATEN ISLAND,10301,718-815-4488,6470 / 6753,3/16/2016 / 7/28/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,70,No,Private / ACS Head Start,-74.0995,40.6317
SILVER LAKE HEAD START II / SILVER LAKE HEAD START II INFANT/TODDLER / SILVER LAKE HEAD START II PRESCHOOL,YELED VYALDA EARLY CHILDHOOD CENTER INC,20 PARK HILL CIRCLE,STATEN ISLAND,10304,718-720-0090,7476 / 7229 / 7088,6/13/2015 / 5/25/2015 / 2/20/2015,  Permitted /   Permitted /   Permitted,0 YEARS - 5 YEARS,136,No,Head Start Direct Fed Funding / Private / Head Start Direct Fed Funding,-74.0781,40.6161
SJBC CHRISTIANDAY CARE OF NEW YORK INC,SJBC CHRISTIAN DAY CARE,74-05 ROCKAWAY BEACH BOULEVARD,QUEENS,11692,718-634-4469,7164,9/12/2013,  Expired-InRenewal,2 YEARS - 5 YEARS,25,No,Private,-73.8022,40.5885
SKIP/TIPSE,SPECIAL KIDS INTERVENTION PROGRAMINC,156-45 84 STREET,QUEENS,11414,718-738-1800,5175,3/2/2015,  Permitted,2 YEARS - 5 YEARS,57,No,Private,-73.8487,40.6618
SMALL WONDER I INFANT/TODDLER / SMALL WONDER I INC P/S,SMALL WONDER I INC,3012 AVENUE M,BROOKLYN,11210,718-692-0355,7053 / 7052,6/28/2015 / 6/28/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,48,No,Private,-73.945,40.6195
SMALL WONDER PRESCHOOLINC,SMALL WONDER PRESCHOOLINC,90-45 MYRTLE AVENUE,QUEENS,11385,718-849-3002,5466,3/3/2016,  Permitted,2 YEARS - 5 YEARS,60,No,Private,-73.8535,40.7026
SMALL WORLD DAY CARE CENTER,CONSELYEA STREET BLOCK ASSOCIATION INC,211 AINSLIE STREET,BROOKLYN,11211,718-963-0330,4234,6/3/2015,  Permitted,2 YEARS - 5 YEARS,94,No,ACS Contracted Preschools,-73.9455,40.7131
SMALL WORLD PRE-SCHOOL,SEGUINE PRESCHOOL INC,144 BLOOMINGDALE ROAD,STATEN ISLAND,10309,718-356-7795,6829,9/2/2014,  Permitted,2 YEARS - 5 YEARS,90,No,Private,-74.2167,40.5276
SMART START DAY CARE,SMART START DAY CARE LTD,1201 AVENUE K,BROOKLYN,11230,718-942-5400,44337,6/19/2015,  Permitted,2 YEARS - 5 YEARS,69,No,Private,-73.9636,40.6228
SMART START EARLY CHILDHOOD CENTER INC,SMART START EARLY CHILDHOOD CENTER INC,8411 FORT HAMILTON PARKWAY,BROOKLYN,11209,718-921-1868,6396,10/25/2015,  Permitted,2 YEARS - 5 YEARS,75,Yes,Private,-74.023,40.6213
SMARTER TODDLER / SMARTER TODDLER NURSERY  PRESCHOOL,SMARTER TODDLER NURSERY  PRESCHOOL INFANT TODDLER / SMARTER TODDLER NURSERY  PRESCHOOL LLC,400  WEST 55TH STREET,MANHATTAN,10019,212-757-2145,7943 / 7944,9/12/2014 / 9/12/2014,  Permitted /   Permitted,0 YEARS - 5 YEARS,100,No,Private,-73.9874,40.7666
SMARTER TODDLER NURSERY  PRESCHOOL / SMARTER TODDLER NURSERY  PRESCHOOL  INFANT/TODDLER,SMARTER TODDLER PRESCHOOL  NURSERY LLC / SMARTER TODDLER NURSERY AND PRESCHOOL,100 WEST 89 ST,MANHATTAN,10024,212-721-4964,7414 / 7410,9/5/2015 / 9/5/2015,  Permitted /   Permitted,0 YEARS - 5 YEARS,53,No,Private,-73.9713,40.7883
SMILES AROUND US ACADEMY INC,SMILES AROUND US ACADEMY II INC,351 SAND LANE,STATEN ISLAND,10305,718-390-0070,5426,3/19/2016,  Permitted,2 YEARS - 5 YEARS,66,No,Private,-74.0671,40.5911
SMILES AROUND US FOR INFANTS AND TODDLERS INC,SMILES AROUND US FOR INFANTS AND TODDLERS INC,343 SAND LANE,STATEN ISLAND,10305,718-390-0070,8077,9/2/2015,  Permitted,2 YEARS - 5 YEARS,21,No,Private,-74.0673,40.5913
SMILING FACES CHRISTIAN DAY CARE CENTER II,ALEXJANELLE  SORAYA INCORPORATED,381 MYRTLE AVENUE,BROOKLYN,11205,718-852-7020,6555,9/3/2014,  Permitted,2 YEARS - 5 YEARS,47,No,Private,-73.9707,40.6934
SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT PRESCHOOL,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT,235 EAST 11 STREET,MANHATTAN,10003,212-777-3240,5050,8/29/2014,  Permitted,2 YEARS - 5 YEARS,50,No,Private,-73.987,40.7309
