centerName,permitHolder,address,borough,zipCode,phone,permitNumber,permitExpirationDate,permitStatus,ageRange,maximumCapacity,certifiedToAdministerMedication,siteType,GeocodedCategory,Lon,Lat
ROUND THE CLOCK NURSERY INC,URBAN CONCEPTS OF NEW YORK ROUND-THE-CLOCK NURSERY INC,301B WEST 130 STREET,MANHATTAN,10027,212-694-0615,8104,2.01511E+16,Permitted,2 YEARS - 5 YEARS,75,No,Private,PAD2013,-73.949112,40.813616
SACRED HEART DAY CARE CENTER INC,SACRED HEART DAY CARE CENTER INC,1069 NOSTRAND AVENUE,BROOKLYN,11225,718-221-5500,8295,2.01504E+16,Permitted,2 YEARS - 5 YEARS,22,No,Private,PAD2013,-73.950519,40.661922
SACRED HEART HEAD START,LITTLE ANGELS HEAD START PROGRAM OF THE ARCHDIOCESE OF N Y,95 WEST 168TH STREET,BRONX,10452,718-293-2006,4855,2.01405E+16,Permitted,2 YEARS - 5 YEARS,195,No,ACS Contracted Preschools,PAD2013,-73.924367,40.838493
SAINT ALBANS MONTESSORI DAY CARE CENTER INC,ST ALBANS MONTESSORI DAY CARE INC,118-49 MONTAUK STREET,QUEENS,11412,718-341-5945,52681,2.0151E+16,Permitted,2 YEARS - 5 YEARS,80,No,Private,PAD2013,-73.763478,40.688264
SAINT CLARE EARLY CHILDHOOD PROGRAM,CHURCH OF ST CLAREGREAT KILLS NEW YORK,150 NELSON AVENUE,STATEN ISLAND,10308,718-967-0990,51858,2.01509E+16,Permitted,2 YEARS - 5 YEARS,95,No,Corporate,PAD2013,-74.149505,40.54577
SAINTILUS DAY CARE CENTER,SAINTILUS DAY CARE INC,951 EAST 84TH STREET,BROOKLYN,11236,718-209-1347,7768,2.01506E+16,Permitted,2 YEARS - 5 YEARS,45,No,Private,PAD2013,-73.9091,40.636584
SALANTER AKIBA RIVERDALE ACADEMY SAR ACADEMY,SALANTER AKIBA RIVERDALE ACADEMY/SAR ACADEMY,655 WEST 254TH STREET,BRONX,10471,718-548-1717,53077,2.0151E+16,Permitted,2 YEARS - 5 YEARS,14,No,Private,PAD2013,-73.910967,40.903863
SAMUEL FIELD Y - CHILD CARE CENTER,SAMUEL FIELD YM-YWHA INC,58-20 LITTLE NECK PARKWAY,QUEENS,11362,718-225-6750,1964,2.01502E+16,Permitted,2 YEARS - 5 YEARS,133,No,Private,PAD2013,-73.723265,40.760851
SAMUEL FIELD Y-BAY TERRACE PRESCHOOL CENTER,SAMUEL FIELD YM  YWHA,212-00 23 AVENUE,QUEENS,11360,718-423-6111,6075,2.01411E+16,Permitted,2 YEARS - 5 YEARS,78,No,Private,PAD2013,-73.777798,40.780756
SANDRAS SUNFLOWER CHILD CARE INC,SANDRAS SUNFLOWER CHILD CARE INC,90-16 SUTPHIN BLVD,QUEENS,11435,347-454-9079,21477,2.01408E+16,Permitted,2 YEARS - 5 YEARS,70,No,Private,PAD2013,-73.808497,40.702482
SARATOGA DAY CARE  PS,SARATOGA DAY CARE CORPORATION,1797 PARK PLACE 406 SARATOGA AVENUE ENTRANCE,BROOKLYN,11233,347-955-4145,21078,2.01408E+16,Permitted,2 YEARS - 5 YEARS,15,No,Private,PAD2013,-73.919465,40.67213
SARATOGA DAY CARE INFANT/TODDLER PROGRAM,SARATOGA DAY CARE CORPORATION,1797 PARK PLACE 406 SARATOGA AVENUE ENTRANCE,BROOKLYN,11233,347-955-4145,14639,2.01404E+16,Permitted,0 YEARS - 2 YEARS,18,No,Private,PAD2013,-73.919465,40.67213
SCAN  LAGUARDIA  HOUSE NURSERY,SCAN NEW YORK,414 EAST 105TH STREET,MANHATTAN,10029,212-722-7441,7817,2.0131E+16,Expired-InRenewal,2 YEARS - 5 YEARS,80,No,ACS Contracted Preschools,PAD2013,-73.940321,40.788465
SCO FAMILY OF SERVICES-MORRIS KOPPLEMAN EARLY CHILDHOOD EDUCATION CENTER,SCO FAMILY OF SERVICES INC,774 SARATOGA AVENUE,BROOKLYN,11212,718-345-6666,24398,2.0141E+16,Permitted,2 YEARS - 5 YEARS,145,No,ACS Contracted Preschools,PAD2013,-73.916022,40.661678
SCO FAMILY OF SERVICES-SHIRLEY CHISHOLM EARLY CHILDHOOD EDUCATION CENTER,SCO FAMILY OF SERVICES,69 SARATOGA AVENUE,BROOKLYN,11233,718-443-4100,24138,2.0141E+16,Permitted,2 YEARS - 5 YEARS,165,No,ACS Contracted Preschools,PAD2013,-73.917219,40.684567
SEABURY DAY CARE CENTER,LEAKE AND WATTS SERVICES INC,575 SOUNDVIEW AVENUE,BRONX,10473,718-991-1500,33197,2.01502E+16,Permitted,2 YEARS - 5 YEARS,82,No,ACS Contracted Preschools,PAD2013,-73.861599,40.816767
SECOND HOUSING NURSERY,SECOND HOUSING NURSERY,161-55 JEWEL AVENUE,QUEENS,11365,718-591-2399,4438,2.01411E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.805549,40.732025
SEMILLITAS CHILDREN EDUCATION CENTER,SEMILLITAS CORP,81-07 NORTHERN BOULEVARD,QUEENS,11372,718-507-2723,7033,2.01411E+16,Permitted,2 YEARS - 5 YEARS,20,No,Private,PAD2013,-73.88599,40.755714
SEPHARDIC ACADEMY OF MANHATTAN,SEPHARDIC ACADEMY OF MANHATTAN,1274 SECOND AVENUE,MANHATTAN,10065,212-249-6391,8379,2.01511E+16,Permitted,2 YEARS - 5 YEARS,105,No,Private,PAD2013,-73.960633,40.76518
SEPHARDIC COMMUNITY EARLY CHILDHOOD CENTER,SEPHARDIC COMMUNITY YOUTH CENTER INC,1901 OCEAN PARKWAY,BROOKLYN,11223,718-627-4300,5079,2.01506E+16,Permitted,2 YEARS - 5 YEARS,182,No,Private,PAD2013,-73.96547,40.602323
SESAME SPROUT,SESAME SPROUT INC,96-08 57 AVENUE,QUEENS,11368,718-213-4326,4445,2.01509E+16,Permitted,2 YEARS - 5 YEARS,113,No,Private,PAD2013,-73.863994,40.736187
SETON DAY CARE CENTER,NEW YORK FOUNDLING,245 EAST 92ND  STREET,MANHATTAN,10128,212-369-9626,15458,2.01404E+16,Permitted,0 YEARS - 2 YEARS,18,Yes,Private,PAD2013,-73.949352,40.78223
SEVENTH  AVENUE  CENTER  FOR FAMILY  SERVICES HEAD START,SEVENTH AVENUE CENTER FOR FAMILY SERVICES HEAD START,711 LENOX AVENUE,MANHATTAN,10039,212-862-0600,6913,2.0151E+16,Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,LION2013,-73.936046,40.820834
SEVENTH AVENUE CENTER FOR FAMILY SERVICES,SEVENTH AVENUE CENTER FOR FAMILY SERVICES,1646 MONTGOMERY AVENUE,BRONX,10453,718-901-0140,6915,2.01511E+16,Permitted,2 YEARS - 5 YEARS,52,No,ACS Head Start,PAD2013,-73.91984,40.848691
SHALOM YELADIM EARLY CHILDHOOD CENTER,SHALOM YELADIM INC,135 BENNETT AVENUE,MANHATTAN,10040,212-568-1900,54777,2.01512E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.934123,40.854526
SHARON  BAPTIST  HEAD START - CENTER 4 DELEGATE PROGRAM,SHARON BAPTIST BOARD OF DIRECTORSINC,1925 BATHGATE AVENUE,BRONX,10457,718-466-1604,6839,2.01412E+16,Permitted,2 YEARS - 5 YEARS,93,No,ACS Contracted Preschools,PAD2013,-73.897191,40.847382
SHARON BAPTIST HEAD START,SHARON BAPTIST BOARD OF DIRECTORS INC,279-281 EAST BURNSIDE AVENUE,BRONX,10457,718-299-6500,6834,2.01412E+16,Permitted,2 YEARS - 5 YEARS,109,No,ACS Head Start,PAD2013,-73.901603,40.851198
SHARON BAPTIST HEAD START,SHARON BAPTIST BOARD OF DIRECTORS INC,507-509 EAST 165TH STREET,BRONX,10456,718-466-1604,7721,2.01503E+16,Permitted,2 YEARS - 5 YEARS,126,No,ACS Contracted Preschools,PAD2013,-73.908096,40.826893
SHARON BAPTIST HEAD START - GRANTEE,SHARON BAPTIST BOARD OF DIRECTORS INC,1925 BATHGATE AVENUE,BRONX,10457,718-466-1605,6965,2.01405E+16,Permitted,2 YEARS - 5 YEARS,72,No,Head Start Direct Fed Funding,PAD2013,-73.897191,40.847382
SHARON NURSERY SCHOOL,SHARON NURSERY INC,145-15 34 AVENUE,QUEENS,11354,718-539-8467,6167,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.822218,40.76733
SHELDON R WEAVER DAY CARE CENTER,BETHEL MISSION STATION CHURCH INC,72-05 BEACH CHANNEL DRIVE,QUEENS,11692,718-474-8618,49797,2.01508E+16,Permitted,2 YEARS - 5 YEARS,28,No,ACS Contracted Preschools,PAD2013,-73.800102,40.591101
SHELTERING ARMS LEARNING CENTER,EPISCOPAL SOCIAL SERVICES,2493 ADAM CLAYTON POWELL BLVD,MANHATTAN,10030,212-368-1743,5486,2.01507E+16,Permitted,2 YEARS - 5 YEARS,48,No,ACS Contracted Preschools,PAD2013,-73.939041,40.821109
SHEMA KOLAINU- HEAR OUR VOICES,SHEMA KOLAINU- HEAR OUR VOICES,4302 NEW UTRECHT AVENUE,BROOKLYN,11219,718-686-9600,7268,2.01507E+16,Permitted,2 YEARS - 5 YEARS,24,No,Private,PAD2013,-73.994592,40.641744
SHEMTOV PLAYGROUP,SHEMTOV PLAYGROUP INC,1565 59 STREET,BROOKLYN,11219,718-633-7529,8216,2.01409E+16,Permitted,2 YEARS - 5 YEARS,58,No,Private,PAD2013,-73.991685,40.625902
SHEMTOV PLAYGROUP,SHEMTOV PLAYGROUP INC,4917 14TH AVENUE,BROOKLYN,11219,718-851-7529,31638,2.01501E+16,Permitted,2 YEARS - 5 YEARS,22,No,Private,PAD2013,-73.990064,40.633216
SHIN KWANG CHURCH NURSERY,THE SHIN KWANG CHURCH OF NEW YORK,33-55 BELL BOULEVARD,QUEENS,11361,718-357-3355,6551,2.01406E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.773722,40.770805
SHINING STARS PRE-SCHOOL,SHINING STARS PRESCHOOL CORP,1879 BRONXDALE AVENUE,BRONX,10462,718-409-1316,7705,2.01501E+16,Permitted,2 YEARS - 5 YEARS,34,No,Private,PAD2013,-73.861156,40.848338
SHIRA HEAD START BAIS YAAKOV ADAS YEREIM,SHIRA ASSOCIATION INC,1169 43RD STREET,BROOKLYN,11219,718-435-7700,8120,2.01601E+16,Permitted,2 YEARS - 5 YEARS,57,No,Head Start Direct Fed Funding,PAD2013,-73.991268,40.640279
SHIRA HEAD START BAIS YAAKOV IIIIIIIVVVLVLL,SHIRA ASSOCIATION INC,4502 14 AVENUE,BROOKLYN,11219,718-435-5755,7503,2.01508E+16,Permitted,2 YEARS - 5 YEARS,115,No,Head Start Direct Fed Funding,PAD2013,-73.987996,40.636003
SHIRA HEAD START BETH HILLEL I II III,SHIRA ASSOCIATION INC,1364 42 STREET,BROOKLYN,11219,718-438-3535,5059,2.01501E+16,Permitted,2 YEARS - 5 YEARS,43,No,Head Start Direct Fed Funding,PAD2013,-73.986573,40.63781
SHIRA HEAD START BNOS ZIONIIIIIIIIVVV1,SHIRA ASSOCIATION INC,5002 14TH AVENUE,BROOKLYN,11219,718-435-7700,5004,2.01405E+16,Permitted,2 YEARS - 5 YEARS,100,No,ACS Contracted Preschools,PAD2013,-73.990944,40.633088
SHIRA HEAD START BOYAN III,SHIRA ASSOCIATION INC,1205 44 STREET,BROOKLYN,11219,718-435-7700,5717,2.01407E+16,Permitted,2 YEARS - 5 YEARS,38,No,Head Start Direct Fed Funding,PAD2013,-73.990984,40.639165
SHIRA HEAD START CHASAN SOFER I  II,SHIRA ASSOCIATION INC,1717 49TH STREET,BROOKLYN,11204,718-435-7700,5018,2.01405E+16,Permitted,2 YEARS - 5 YEARS,40,No,Private,PAD2013,-73.982729,40.629601
SHIRA HEAD START GUR I II III1VV,SHIRA ASSOCIATION INC,1975 51ST STREET,BROOKLYN,11204,718-435-7700,6064,2.01406E+16,Permitted,2 YEARS - 5 YEARS,82,No,Private,PAD2013,-73.977714,40.62474
SHIRA HEAD START SHAAREI HAYOSHER III,SHIRA ASSOCIATION INC,1334 OCEAN PARKWAY,BROOKLYN,11230,718-435-7700,5729,2.01405E+16,Permitted,2 YEARS - 5 YEARS,36,No,Private,PAD2013,-73.969552,40.616104
SHIRA HEAD START SPINKA I II,SHIRA ASSOCIATION INC,5801 15 AVENUE,BROOKLYN,11219,718-435-7700,5957,2.01506E+16,Permitted,2 YEARS - 5 YEARS,40,No,Head Start Direct Fed Funding,PAD2013,-73.992845,40.627051
SHIRA HEAD START YESODEI HATORAH,SHIRA ASSOCIATIONINC,1350 50 STREET,BROOKLYN,11219,718-435-7700,5956,2.01411E+16,Permitted,2 YEARS - 5 YEARS,18,No,Head Start Direct Fed Funding,PAD2013,-73.991491,40.633458
SHIRLEY CHISHOLM  DAY CARE CENTER  5,SHIRLEY CHISHOLM DAY CARE CENTER INC,265 SUMPTER STREET,BROOKLYN,11233,718-452-1200,9601,2.01512E+16,Permitted,2 YEARS - 5 YEARS,55,No,ACS Contracted Preschools,PAD2013,-73.914709,40.680899
SHIRLEY CHISHOLM DCC  2,SHIRLEY CHISHOLM DAY CARE CENTER INC,333 14 Street,BROOKLYN,11215,718-499-7159,7584,2.01408E+16,Permitted,2 YEARS - 5 YEARS,99,No,ACS Contracted Preschools,PAD2013,-73.985548,40.665015
SHIRLEY CHISHOLM DAY CARE CENTER  1,SHIRLEY CHISHOLM DAY CARE CENTER INC,2023 PACIFIC STREET,BROOKLYN,11233,718-756-1721,4196,2.01507E+16,Permitted,0 YEARS - 2 YEARS,8,No,ACS Contracted Preschools,PAD2013,-73.921004,40.676303
SHIRLEY CHISHOLM DAY CARE CENTER 1,SHIRLEY CHISHOLM DAY CARE CENTERINC,2023 PACIFIC STREET,BROOKLYN,11233,718-756-1721,4130,2.01409E+16,Permitted,2 YEARS - 5 YEARS,116,No,ACS Contracted Preschools,PAD2013,-73.921004,40.676303
SHIRLEY CHISHOLM DAY CARE CENTER 4,SHIRLEY CHISHOLM DAY CARE CENTER INC,33 SOMERS STREET,BROOKLYN,11233,718-498-6200,8025,2.01507E+16,Permitted,2 YEARS - 5 YEARS,124,No,ACS Contracted Preschools,PAD2013,-73.911962,40.678901
SHIRLEY CHISHOLM DAY CARE CENTER 4,SHIRLEY CHISHOLM DAY CARE CENTER INC,33 SOMERS STREET,BROOKLYN,11233,718-498-6200,8024,2.01507E+16,Permitted,0 YEARS - 2 YEARS,8,No,ACS Contracted Preschools,PAD2013,-73.911962,40.678901
SHOLOM DAY CARE,SHOLOM DAY CARE INC,84-37 118 STREET,QUEENS,11415,718-849-9189,6992,2.01404E+16,Permitted,2 YEARS - 5 YEARS,29,No,ACS Contracted Preschools,PAD2013,-73.832948,40.703164
SHOLOM DAY CARE INC,SHOLOM DAY CARE INC,82-04 LEFFERTS BOULEVARD,QUEENS,11415,718-441-9893,7143,2.01505E+16,Permitted,2 YEARS - 5 YEARS,72,No,ACS Contracted Preschools,PAD2013,-73.83162,40.707479
SHOLOM SHOLOM,SHOLOM SHOLOM INC,116-66 PARK LANE SOUTH,QUEENS,11418,718-850-2934,7387,2.01504E+16,Permitted,2 YEARS - 5 YEARS,74,No,Private,PAD2013,-73.836512,40.708287
SHOLOM SHOLOM INC,SHOLOM SHOLOM INC,75-11 MAIN STREET,QUEENS,11367,718-850-2934,8372,2.0151E+16,Permitted,2 YEARS - 5 YEARS,18,No,Private,PAD2013,-73.819849,40.723629
SHOREFRONT YM-YWHA PRESCHOOL,SHOREFRONT YM-YWHA OF BRIGHTON-MANHATTAN BEACHINC,3300 CONEY ISLAND AVENUE,BROOKLYN,11235,718-646-1444,1935,2.01508E+16,Permitted,2 YEARS - 5 YEARS,89,No,Private,PAD2013,-73.959969,40.575595
SHOSTAKOVICH MUSIC ART AND SPORT SCHOOL INC,SHOSTAKOVICH MUSIC ART  SPORT SCHOOL INC,1938 BATH AVENUE,BROOKLYN,11214,718-372-3716,3180,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-74.00275,40.601869
SHOSTAKOVICH SCHOOL,SHOSTAKOVICH MUSIC ART AND SPORT SCHOOL INC,297 AVENUE X,BROOKLYN,11223,718-376-8056,5745,2.01411E+16,Permitted,2 YEARS - 5 YEARS,38,No,Private,PAD2013,-73.971974,40.590546
SIDI-ENJOLI HASANOEDDIN   BRIGHT BEGINNING EARLY LEARNING CENTER,SIDI INC,1002 CASTLE HILL AVENUE,BRONX,10472,347-621-5770,8330,2.0141E+16,Permitted,2 YEARS - 5 YEARS,30,No,Private,PAD2013,-73.849829,40.827797
SILVER LAKE HEAD START,YELED VYALDA EARLY CHILDHOOD CENTER INC,10 GREGG PLACE,STATEN ISLAND,10301,718-815-4488,6470,2.01603E+16,Permitted,2 YEARS - 5 YEARS,60,No,Private,PAD2013,-74.099537,40.63174
SILVER LAKE HEAD START 1,YELED VYALDA EARLY CHILDHOOD CENTER INC,10 GREGG PLACE,STATEN ISLAND,10301,718-815-4488,6753,2.01507E+16,Permitted,0 YEARS - 2 YEARS,10,No,ACS Head Start,PAD2013,-74.099537,40.63174
SILVER LAKE HEAD START II,YELED VYALDA EARLY CHILDHOOD CENTER INC,20 PARK HILL CIRCLE,STATEN ISLAND,10304,718-720-0090,7476,2.01506E+16,Permitted,2 YEARS - 5 YEARS,46,No,Head Start Direct Fed Funding,PAD2013,-74.078078,40.616146
SILVER LAKE HEAD START II INFANT/TODDLER,YELED VYALDA EARLY CHILDHOOD CENTER INC,20 PARK HILL CIRCLE,STATEN ISLAND,10304,718-720-0090,7229,2.01505E+16,Permitted,0 YEARS - 2 YEARS,8,No,Private,PAD2013,-74.078078,40.616146
SILVER LAKE HEAD START II PRESCHOOL,YELED VYALDA EARLY CHILDHOOD CENTER INC,20 PARK HILL CIRCLE,STATEN ISLAND,10304,718-720-0090,7088,2.01502E+16,Permitted,2 YEARS - 5 YEARS,82,No,Head Start Direct Fed Funding,PAD2013,-74.078078,40.616146
SJBC CHRISTIANDAY CARE OF NEW YORK INC,SJBC CHRISTIAN DAY CARE,74-05 ROCKAWAY BEACH BOULEVARD,QUEENS,11692,718-634-4469,7164,2.01309E+16,Expired-InRenewal,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.802214,40.588485
SKIP/TIPSE,SPECIAL KIDS INTERVENTION PROGRAMINC,156-45 84 STREET,QUEENS,11414,718-738-1800,5175,2.01503E+16,Permitted,2 YEARS - 5 YEARS,57,No,Private,PAD2013,-73.848685,40.661832
SMALL WONDER I INFANT/TODDLER,SMALL WONDER I INC,3012 AVENUE M,BROOKLYN,11210,718-692-0355,7053,2.01506E+16,Permitted,0 YEARS - 2 YEARS,10,No,Private,PAD2013,-73.945002,40.619458
SMALL WONDER I INC P/S,SMALL WONDER I INC,3012 AVENUE M,BROOKLYN,11210,718-692-0355,7052,2.01506E+16,Permitted,2 YEARS - 5 YEARS,38,No,Private,PAD2013,-73.945002,40.619458
SMALL WONDER PRESCHOOLINC,SMALL WONDER PRESCHOOLINC,90-45 MYRTLE AVENUE,QUEENS,11385,718-849-3002,5466,2.01603E+16,Permitted,2 YEARS - 5 YEARS,60,No,Private,PAD2013,-73.853462,40.702646
SMALL WORLD DAY CARE CENTER,CONSELYEA STREET BLOCK ASSOCIATION INC,211 AINSLIE STREET,BROOKLYN,11211,718-963-0330,4234,2.01506E+16,Permitted,2 YEARS - 5 YEARS,94,No,ACS Contracted Preschools,PAD2013,-73.945546,40.713133
SMALL WORLD PRE-SCHOOL,SEGUINE PRESCHOOL INC,144 BLOOMINGDALE ROAD,STATEN ISLAND,10309,718-356-7795,6829,2.01409E+16,Permitted,2 YEARS - 5 YEARS,90,No,Private,PAD2013,-74.216717,40.52764
SMART START DAY CARE,SMART START DAY CARE LTD,1201 AVENUE K,BROOKLYN,11230,718-942-5400,44337,2.01506E+16,Permitted,2 YEARS - 5 YEARS,69,No,Private,PAD2013,-73.963596,40.622765
SMART START EARLY CHILDHOOD CENTER INC,SMART START EARLY CHILDHOOD CENTER INC,8411 FORT HAMILTON PARKWAY,BROOKLYN,11209,718-921-1868,6396,2.0151E+16,Permitted,2 YEARS - 5 YEARS,75,Yes,Private,LION2013,-74.023048,40.621293
SMARTER TODDLER,SMARTER TODDLER NURSERY  PRESCHOOL INFANT TODDLER,400  WEST 55TH STREET,MANHATTAN,10019,212-757-2145,7943,2.01409E+16,Permitted,0 YEARS - 2 YEARS,36,No,Private,PAD2013,-73.987377,40.76665
SMARTER TODDLER NURSERY  PRESCHOOL,SMARTER TODDLER PRESCHOOL  NURSERY LLC,100 WEST 89 ST,MANHATTAN,10024,212-721-4964,7414,2.01309E+16,Expired-InRenewal,2 YEARS - 5 YEARS,36,No,Private,PAD2013,-73.971305,40.788287
SMARTER TODDLER NURSERY  PRESCHOOL,SMARTER TODDLER NURSERY  PRESCHOOL LLC,400  WEST 55TH STREET,MANHATTAN,10019,212-757-2145,7944,2.01409E+16,Permitted,2 YEARS - 5 YEARS,64,No,Private,PAD2013,-73.987377,40.76665
SMARTER TODDLER NURSERY  PRESCHOOL  INFANT/TODDLER,SMARTER TODDLER NURSERY AND PRESCHOOL,100 WEST 89 ST,MANHATTAN,10024,212-721-4964,7410,2.01309E+16,Expired-InRenewal,0 YEARS - 2 YEARS,17,No,Private,PAD2013,-73.971305,40.788287
SMILES AROUND US ACADEMY INC,SMILES AROUND US ACADEMY II INC,351 SAND LANE,STATEN ISLAND,10305,718-390-0070,5426,2.01403E+16,Expired-InRenewal,2 YEARS - 5 YEARS,66,No,Private,PAD2013,-74.067051,40.591063
SMILES AROUND US DAY CARE CENTER,SMILE AROUND US INC,3854 HYLAN BOULEVARD,STATEN ISLAND,10308,718-948-0122,6714,2.01601E+16,Permitted,2 YEARS - 5 YEARS,85,No,Private,PAD2013,-74.142699,40.545132
SMILES AROUND US FOR INFANTS AND TODDLERS INC,SMILES AROUND US FOR INFANTS AND TODDLERS INC,343 SAND LANE,STATEN ISLAND,10305,718-390-0070,8077,2.01509E+16,Permitted,2 YEARS - 5 YEARS,21,No,Private,PAD2013,-74.067263,40.591292
SMILING FACES CHRISTIAN DAY CARE CENTER II,ALEXJANELLE  SORAYA INCORPORATED,381 MYRTLE AVENUE,BROOKLYN,11205,718-852-7020,6555,2.01409E+16,Permitted,2 YEARS - 5 YEARS,47,No,Private,PAD2013,-73.97071,40.693391
SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT PRESCHOOL,SOCIETY OF THIRD STREET MUSIC SCHOOL SETTLEMENT,235 EAST 11 STREET,MANHATTAN,10003,212-777-3240,5050,2.01408E+16,Permitted,2 YEARS - 5 YEARS,50,No,Private,PAD2013,-73.986952,40.730873
SOLADE PRESCHOOL,SOLADE DAY CARE INC,1111 EAST 89TH STREET,BROOKLYN,11236,718-763-1742,7916,2.01409E+16,Permitted,2 YEARS - 5 YEARS,25,No,Private,PAD2013,-73.902568,40.636326
SOLOMON PRE-SCHOOL,SOLOMON INSTITUTE CORP,35-20 147 STREET,QUEENS,11354,718-961-5977,7260,2.01602E+16,Permitted,2 YEARS - 5 YEARS,24,No,Private,PAD2013,-73.819861,40.765781
SOUND DALE CENTER FOR EARLY CHILDHOOD EDUCATION,BRONXDALE TENANTS LEAGUE DAY CARE CENTER,1211 CROES AVENUE,BRONX,10472,718-378-3533,3097,2.01506E+16,Permitted,2 YEARS - 5 YEARS,169,No,ACS Contracted Preschools,PAD2013,-73.871007,40.829785
SOUTH BRONX HEAD START,SOUTH BRONX HEAD START PROGRAM INC,141 FEATHERBED LANE,BRONX,10452,718-731-0075,5374,2.01411E+16,Permitted,2 YEARS - 5 YEARS,75,Yes,ACS Contracted Preschools,PAD2013,-73.920365,40.846479
SOUTH BRONX HEAD START,SOUTH BRONX HEAD START PROGRAM INC,490 EAST 143 STREET,BRONX,10454,718-292-7250,4324,2.01408E+16,Permitted,2 YEARS - 5 YEARS,57,Yes,ACS Head Start,PAD2013,-73.918159,40.811137
SOUTH BRONX HEAD START PROGRAM INC,SOUTH BRONX HEAD START PROGRAM INC,1458 WEBSTER AVENUE,BRONX,10456,718-538-4112,5796,2.01411E+16,Permitted,2 YEARS - 5 YEARS,89,Yes,ACS Head Start,PAD2013,-73.905917,40.83785
SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS INC,SOUTH JAMAICA CENTER FOR CHILDREN AND PARENTS INC,94-43 159 STREET,QUEENS,11433,718-523-6455,5475,2.01407E+16,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Head Start,PAD2013,-73.797985,40.701208
SOUTH SHORE TODDLER ACADEMY  PRE-K,STATEN ISLAND COMMUNITY SERVICE INC,11 SAMPSON AVENUE,STATEN ISLAND,10308,718-356-3563,4440,2.01508E+16,Permitted,2 YEARS - 5 YEARS,34,No,Private,PAD2013,-74.149564,40.552532
SOUTH SHORE YMCA NURSERY SCHOOL,YOUNG MENS CHRISTIAN ASSOCIATION OF GREATER NEW YORK,3939 RICHMOND AVENUE,STATEN ISLAND,10312,718-227-3200,7543,2.01509E+16,Permitted,2 YEARS - 5 YEARS,83,No,Private,PAD2013,-74.16274,40.542542
SPARKLES DAY CARE,SPARKLES DAY CARE INC,1367 EASTERN PARKWAY,BROOKLYN,11233,347-295-3000,7099,2.01211E+16,Expired-InRenewal,2 YEARS - 5 YEARS,23,No,Private,PAD2013,-73.923028,40.668839
SPROUTS,SPECIAL SPROUTS INC,339 8TH STREET,BROOKLYN,11215,718-965-8573,5497,2.0141E+16,Permitted,2 YEARS - 5 YEARS,45,No,Private,PAD2013,-73.98377,40.66907
SPROUTS,BEANSPROUTS INC OF BROOKLYN,421 7TH STREET,BROOKLYN,11215,718-965-8573,7724,2.01406E+16,Permitted,2 YEARS - 5 YEARS,55,No,Private,PAD2013,-73.982156,40.669147
SPUYTEN DUYVIL PRESCHOOL,SPUYTEN DUYVIL PRESCHOOLINC,3041 KINGSBRIDGE AVENUE,BRONX,10463,718-549-1525,3088,2.01404E+16,Permitted,2 YEARS - 5 YEARS,42,No,Private,PAD2013,-73.90758,40.879443
ST ANTHONY HEAD START/ UPK,CARDINAL MCCLOSKEY COMMUNITY SERVICES,1750 MANSION STREET,BRONX,10460,718-823-7202,55977,2.01601E+16,Permitted,2 YEARS - 5 YEARS,120,No,ACS Contracted Preschools,PAD2013,-73.869418,40.837838
ST NICHOLAS OF TOLENTINE HEAD START,CARDINAL MCCLOSKEY COMMUNITY SERVICES,2331 UNIVERSITY AVENUE,BRONX,10468,718-364-7608,54737,2.01512E+16,Permitted,2 YEARS - 5 YEARS,178,No,ACS Contracted Preschools,LION2013,-73.906309,40.861349
ST NICHOLAS PRESCHOOL,ST NICHOLAS CHURCH,43-09 196 STREET,QUEENS,11358,718-357-0800,7645,2.01409E+16,Permitted,2 YEARS - 5 YEARS,74,No,Private,LION2013,-73.785552,40.757755
ST SIMONS HEAD START - U P K,LITTLE ANGELS HEAD START PROGRAM OF THE ARCHDIOCESE OF NEW YORK,2195 VALENTINE AVENUE,BRONX,10457,718-933-9471,4671,2.01406E+16,Permitted,2 YEARS - 5 YEARS,60,No,Private,PAD2013,-73.899293,40.855223
ST ALBANS EARLY CHILDHOOD CENTER INC,ST ALBANS EARLY CHILDHOOD CENTER INC,109-53 FARMERS BOULEVARD,QUEENS,11412,718-479-7111,4579,2.01601E+16,Permitted,2 YEARS - 5 YEARS,68,No,Private,PAD2013,-73.766015,40.70254
ST ANDREWS COMMUNITY DAY CARE CENTER,SUNSET BAY COMMUNITY SERVICES INC,4917 FOURTH AVENUE,BROOKLYN,11220,718-492-9678,7357,2.01502E+16,Permitted,2 YEARS - 5 YEARS,35,No,ACS Contracted Preschools,PAD2013,-74.012021,40.646517
