Site ID,Center Name,Permit Holder,Address,Borough,Zip Code,Phone,Permit Number,Permit Expiration Date,Permit Status,Age Range,Maximum Capacity,Certified to Administer Medication,Site Type,Total Maximum Capacity,Lat,Lon
DC374,SUSAN E. WAGNER DAY CARE CENTER,"NORTHEAST BRONX DAY CARE CENTER, INC.",1140 EAST 229TH STREET,BRONX,10466,718-547-1735,4142,4/3/2016,Permitted,2 YEARS - 5 YEARS,115,Yes,ACS Contracted Preschools,115,40.8864919,-73.8459724
DC1829,SUSAN E. WAGNER DAY SCHOOL,NORTHEAST BRONX DAY CARE CENTER INC.,5401 POST ROAD,BRONX,10471,718-601-5401,6833,8/11/2014,Permitted,2 YEARS - 5 YEARS,194,Yes,Private,194,40.9013783,-73.8980381
DC19160,SUSAN WAGNER VICTORY,"NORTHEAST BRONX DAY CARE CENTER,INC.",3440 WHITE PLAINS RD.,BRONX,10467,718-655-5500,7972,12/1/2014,Permitted,2 YEARS - 5 YEARS,60,Yes,ACS Contracted Preschools,60,40.8763234,-73.8667647
DC2721,SWEET ANGELS NURSERY SCHOOL,SWEET ANGELS NURSERY SCHOOL,27-11 BAYSIDE LANE,QUEENS,11358,718-445-7305,6785,3/29/2016,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.7721328,-73.8002176
DC375,SYLVIA KLEIN CHILD CARE CENTER,"COLONY-SOUTH BROOKLYN HOUSES, INC",720 EUCLID AVENUE,BROOKLYN,11208,718-647-2274,375,8/17/2015,Permitted,2 YEARS - 5 YEARS,50,No,ACS Contracted Preschools,50,40.6693881,-73.8704719
DC17156 / DC17361,T.R. LITTLE PEOPLE / T.R. LITTLE PEOPLE,"TR LITTLE PEOPLE, LTD / TR LITTLE PEOPLE, LTD",127 EAST 90TH STREET,MANHATTAN,10128,212-860-8118 / 212-860-8116,7795 / 7794,08/27/2015 / 08/28/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,8-Aug,No / No,Private / Private,16,40.782385,-73.9539099
DC376 / DC10682,TABERNACLE DAY CARE CENTER (INFANT/TODDLER) / TABERNACLE CHURCH OF GOD DAY CARE CENTER,"TABERNACLE CHURCH OF GOD, INC. / TABERNACLE CHURCH OF GOD, INC.",34-52 KOSCIUSZKO STREET,BROOKLYN,11205,718-638-3209 / 718-638-3209,4256 / 4267,11/11/2015 / 05/04/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,56 / 184,No / No,ACS Contracted Preschools / ACS Contracted Preschools,240,40.689996,-73.9535376
DC23000,TALMUD TORAH OHR MOSHE,TALMUD TORAH OHR MOSHE,1774 58TH STREET,BROOKLYN,11204,718-234-6100,25837,10/22/2014,Permitted,2 YEARS - 5 YEARS,40,No,Private,40,40.6234102,-73.9865041
DC11019,TANGLEWOOD MONTESSORI SCHOOL,TANGLEWOOD MONTESSORI CORP,15 TANGLEWOOD DRIVE,STATEN ISLAND,10308,718-967-2424,4933,7/21/2014,Permitted,2 YEARS - 5 YEARS,84,No,Private,84,40.567288,-74.151684
DC21212,TARYAG NURSERY,CONGREGATION 613,2294 NOSTRAND AVENUE,BROOKLYN,11210,718-989-9681,14958,4/16/2016,Permitted,2 YEARS - 5 YEARS,90,No,Private,90,40.628666,-73.947576
DC2759 / DC11833,"TEACHING, LEARNING AND CARING. / TEACHING, LEARNING & CARING DAY CARE","MAGIC RAINBOW, INC / MAGIC RAINBOW, INC.",212-43 JAMAICA AVENUE,QUEENS,11428,718-740-6750 / 718-740-6750,7403 / 6830,05/23/2015 / 03/29/2016,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,28-Oct,No / No,Private / Private,38,40.7160377,-73.745531
DC2648,TEMPLE EMANU-EL NURSERY SCHOOL,CONGREGATION EMANU-EL OF THE CITY OF N.Y.,10 EAST 66 STREET,MANHATTAN,10065,212-744-1400,2003,5/18/2014,Expired-InRenewal,2 YEARS - 5 YEARS,115,No,Private,115,40.7682467,-73.968909
DC1120,TEMPLE ISRAEL EARLY CHILDHOOD LEARNING CENTER,TEMPLE ISRAEL OF THE CITY OF NEW YORK,112 EAST 75 STREET,MANHATTAN,10021,212-249-5000,2171,7/27/2015,Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.772565,-73.961847
DC2620,TEMPLE SHAARAY TEFILA NURSERY SCHOOL,TEMPLE SHAARAY TEFILA NURSERY SCHOOL,250 EAST 79 STREET,MANHATTAN,10075,212-535-2146,5891,9/15/2014,Permitted,2 YEARS - 5 YEARS,139,No,Private,139,40.7733213,-73.9555297
DC2401,TENDER CARE ON THE MOUNT,MISSION OF THE IMMACULATE VIRGIN FOR THE PROTECTION OF HOMELESS AND DESTITUTE CHILDREN,6581 HYLAN BOULEVARD,STATEN ISLAND,10309,718-317-2849,5659,9/14/2014,Permitted,2 YEARS - 5 YEARS,73,No,Private,73,40.5103092,-74.2197684
DC31714,TENDER TOSTS CORONA,TENDER TOTS CORONA LLC,104-18 42 AVENUE,QUEENS,11368,848-525-8749,65257,5/29/2016,Permitted,2 YEARS - 5 YEARS,82,No,Private,82,40.7484449,-73.860257
DC20870,TENDER TOTS,TENDER TOTS 137 STREET LLC,531-535 EAST 137TH STREET,BRONX,10454,718-215-4125,44279,6/19/2015,Permitted,2 YEARS - 5 YEARS,67,No,Corporate,67,40.806638,-73.918906
DC21704 / DC21703,TENDER TOTS CHILD CARE CENTER / TENDER TOTS CHILD CARE CENTER,TENDER TOTS DECATUR LLC / TENDER TOTS DECATUR L L C,3322 DECATUR AVENUE,BRONX,10467,718-324-1052 / 718-324-1052,9937 / 9958,12/14/2015 / 12/14/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,35 / 95,No / No,Private / Private,130,40.876924,-73.8729029
DC21618,TENDER TOTS CHILD CARE CENTER,TENDER TOTS 137 STREET LLC,531-535 EAST 137 STREET,BRONX,10454,718-215-4125,44297,6/19/2015,Permitted,0 YEARS - 2 YEARS,28,No,Private,28,40.806638,-73.918906
DC841 / DC10665,"TENDER YEARS CHILDCARE INC. / TENDER YEAR CHILDCARE, INC.","TENDER YEARS CHILDCARE, INC. / TENDER YEARS CHILDCARE, INC.",3141 EAST TREMONT AVENUE,BRONX,10461,718-829-3067 / 718-829-3067,6367 / 7231,12/31/2014 / 05/06/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,14 / 16,No / No,Private / Private,30,40.8379562,-73.8345695
DC2816,TENDER YEARS DAY CARE,CHER INC.,199-15 LINDEN BOULEVARD,QUEENS,11412,718-481-8687,6446,9/6/2015,Permitted,2 YEARS - 5 YEARS,26,No,Private,26,40.694308,-73.7527936
DC14100,TEREMOK V,"TEREMOK V, CORP.",448 NEPTUNE AVENUE,BROOKLYN,11224,718-743-9009,7451,8/17/2015,Permitted,2 YEARS - 5 YEARS,38,No,Private,38,40.5792669,-73.9707419
DC24589,THE  MONTESSORI AT FLATIRON,THE MONTESSORI SCHOOL LLC,3-7 WEST 22ND STREET,MANHATTAN,10010,212-633-0600,52617,9/30/2015,Permitted,2 YEARS - 5 YEARS,62,No,Private,62,40.7412568,-73.9905526
DC2990,THE  PARK PRESCHOOL  LTD.,THE PARK PRESCHOOL LTD.,275 GREENWICH STREET,MANHATTAN,10007,212-571-6191,6013,3/5/2015,Permitted,2 YEARS - 5 YEARS,44,Yes,Private,44,40.7151804,-74.0109917
DC14286,THE ACORN SCHOOL,THE ACORN SCHOOL,330 EAST 26 STREET,MANHATTAN,10010,212-684-0230,2160,2/22/2016,Permitted,2 YEARS - 5 YEARS,68,No,Private,68,40.7392563,-73.9783196
DC17672,THE BARCLAY STREET SCHOOL LTD.,THE BARCLAY STREET SCHOOL LTD.,6-10 BARCLAY ST,MANHATTAN,10007,212-571-2715,7945,9/12/2014,Permitted,2 YEARS - 5 YEARS,42,No,Private,42,40.7122637,-74.0091405
DC2414,THE BRICK CHURCH SCHOOL,BRICK CHURCH SCHOOL,62 EAST 92 STREET,MANHATTAN,10128,212-289-5683,411,7/25/2014,Permitted,2 YEARS - 5 YEARS,149,Yes,Private,149,40.7841042,-73.9551888
DC2587,THE BROWNSTONE SCHOOL AND DAY CARE,THE BROWNSTONE SCHOOL AND DAY CARE CENTER,128 WEST 80 STREET,MANHATTAN,10024,212-874-1341,4323,4/26/2014,Expired-InRenewal,2 YEARS - 5 YEARS,84,No,Private,84,40.7829918,-73.9764294
DC16777,THE CHILD CENTER OF NEW YORK,THE CHILD CENTER  OF NEW YORK,60-02 ROOSEVELT AVENUE,QUEENS,11377,718-943-2800,7766,6/8/2015,Permitted,2 YEARS - 5 YEARS,85,Yes,ACS Head Start,85,40.74526,-73.9042599
DC18821,THE CHILD CENTER OF NEW YORK / AKA: 41-61 KESSINA BLVD,"THE CHILD CENTER OF NEW YORK, INC.",140-15 SANFORD AVENUE,QUEENS,11355,347-506-0832,8193,7/2/2014,Permitted,2 YEARS - 5 YEARS,36,No,Head Start (Direct Fed. Funding),36,40.7575327,-73.826665
DC14957,THE CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER,"MOSHOLU MONTEFIORE COMMUNITY CENTER,INC.",3450 DEKALB AVE,BRONX,10467,718-654-0563,5555,8/3/2015,Permitted,0 YEARS - 2 YEARS,8,No,ACS Contracted Preschools,8,40.8819332,-73.8804942
DC10676,"THE CHILD STUDY CENTER OF NEW YORK, INC.",THE CHILD STUDY CENTER OF NEW YORK. INC.,167-171 CLERMONT AVENUE,BROOKLYN,11205,718-854-3710,6025,7/1/2015,Permitted,2 YEARS - 5 YEARS,90,No,Private,90,40.6924576,-73.9703143
DC12225,THE CHILD STUDY CENTER OF NEW YORK/BEST FRIENDS DAYCARE,THE CHILD STUDY CENTER OF NEW YORK /BEST FRIENDS DAYCARE,285 CLOVE ROAD,STATEN ISLAND,10310,718-442-8588,5102,4/25/2015,Permitted,2 YEARS - 5 YEARS,121,No,Private,121,40.6332358,-74.1257682
DC22132,THE CHILDREN'S AID SOCIETY,THE CHILDREN'S AID SOCIETY,14-32 WEST 118TH STREET,MANHATTAN,10026,212-949-4931,48997,7/29/2015,Permitted,2 YEARS - 5 YEARS,40,No,ACS Contracted Preschools,40,40.8023809,-73.9468303
DC23207,THE CHILDREN'S AID SOCIETY,"THE CHILDREN'S AID SOCIETY, INC.",1919 PROSPECT AVENUE,BRONX,10457,347-821-4222,25017,10/15/2014,Permitted,2 YEARS - 5 YEARS,54,Yes,ACS Contracted Preschools,54,40.8434011,-73.8898784
DC22134,THE CHILDREN'S AID SOCIETY,THE CHILDREN'S AID SOCIETY,433 EAST 100TH STREET,MANHATTAN,10029,212-627-7449,26378,10/25/2014,Permitted,2 YEARS - 5 YEARS,70,Yes,ACS Contracted Preschools,70,40.7855844,-73.9422698
DC22133,THE CHILDREN'S AID SOCIETY,THE CHILDREN'S AID SOCIETY,93 NAGLE AVENUE,MANHATTAN,10040,212-544-0221,26597,10/26/2014,Permitted,2 YEARS - 5 YEARS,71,Yes,ACS Contracted Preschools,71,40.8601744,-73.9277953
DC2742,THE CHILDREN'S AID SOCIETY - PS 5  HEAD START,THE CHILDREN'S AID SOCIETY,3703 10 AVENUE,MANHATTAN,10034,212-567-5787,6146,1/24/2015,Permitted,2 YEARS - 5 YEARS,72,Yes,ACS Head Start,72,40.8591641,-73.9227366
DC2695,THE CHILDREN'S AID SOCIETY- FREDERICK DOUGLAS HEAD START,THE CHILDREN'S AID SOCIETY,885 COLUMBUS AVENUE,MANHATTAN,10025,212-865-6337,2097,6/28/2014,Permitted,2 YEARS - 5 YEARS,69,Yes,ACS Head Start,69,40.7974566,-73.9637255
DC2130,THE CHILDREN'S AID SOCIETY- P.S. 8 HEAD START,THE CHILDREN'S AID SOCIETY,465 WEST 167 STREET,MANHATTAN,10032,212-740-8655,6926,2/15/2016,Permitted,2 YEARS - 5 YEARS,55,Yes,Head Start (Direct Fed. Funding),55,40.8393844,-73.9367835
DC2736 / DC14148,THE CHILDREN'S CENTER / THE CHILDREN'S CENTER,"THE COLLEGE OF STATEN ISLAND ASSOCIATION, INC. / THE COLLEGE OF STATEN ISLAND ASSOCIATION INC.",2800 VICTORY BOULEVARD,STATEN ISLAND,10314,718-982-3190 / 718-982-3190,6174 / 6175,05/02/2016 / 06/18/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,75 / 18,No / No,Private / Private,93,40.6085521,-74.1538332
DC19627 / DC19519,THE CHILDREN'S CENTER  AT GOLDMAN SACHS AT 200 WEST / THE CHILDREN'S CENTER  AT GOLDMAN SACHS AT 200 WEST,"BRIGHT HORIZONS CHILDREN'S CENTER, INC. / BRIGHT HORIZONS CHILDREN'S CENTER, INC.",200 WEST STREET,MANHATTAN,10282,212-357-5370 / 212-357-5370,8102 / 8103,11/13/2015 / 11/13/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,26 / 15,No / No,Private / Private,41,-74.0142077,
DC959 / DC10727,THE CHILDREN'S CENTER @ SUNY BROOKLYN - P/S / THE CHILDREN'S CENTER @ SUNY BROOKLYN - I/T,"THE CHILDREN'S CENTER AT SUNY BROOKLYN, INC. / THE CHILDRENS CENTER @ SUNY BROOKLYN, INC. - I/T",440 LENOX ROAD,BROOKLYN,11203,718-221-6160 / 718-221-6160,5743 / 5734,07/05/2015 / 08/31/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,42 / 18,No / No,Private / Private,60,40.654103,-73.944622
DC1887,THE CHILDREN'S CENTER FOR EARLY LEARNING,"THE CHILDREN'S CENTER FOR EARLY LEARNING,INC",83 MARLBOROUGH ROAD,BROOKLYN,11226,718-284-3110,6227,5/21/2014,Expired-InRenewal,2 YEARS - 5 YEARS,88,No,Private,88,40.648211,-73.965457
DC1125 / DC12252,THE CHILDREN'S GARDEN AT GENERAL THEOLOGICAL SEMINARY / THE CHILDREN'S GARDEN,THE GENERAL THEOLOGICAL SEMINARY / THE GENERAL THEOLOGICAL SEMINARY,440 WEST 21 STREET,MANHATTAN,10011,212-924-9266 / 212-924-9266,6798 / 6797,05/15/2014 / 06/30/2015,Expired-InRenewal / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,14 / 8,No / No,Private / Private,22,40.7457463,-74.0039163
DC25111,THE CHILDREN'S GARDEN SCHOOL,"GENERAL THEOLOGICAL SEMINARY, INC.",422 WEST 20TH STREET,MANHATTAN,10011,212-243-5920,45737,6/28/2015,Permitted,2 YEARS - 5 YEARS,15,No,Private,15,40.744918,-74.0040269
DC2611,THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE,"THE CHILDREN'S LEARNING CENTER AT HUNTER COLLEGE, INC.",695 PARK AVENUE,MANHATTAN,10065,212-772-4066,5145,11/3/2015,Permitted,2 YEARS - 5 YEARS,50,No,Private,50,40.7676552,-73.9640489
DC2580 / DC14167,"THE CHILDREN'S PLAYHOUSE, INCORPORATED / THE CHILDREN'S PLAYHOUSE,  INCORPORATED-  I/T","THE CHILDREN'S PLAYHOUSE, INCORPORATED / THE CHILDREN'S PLAYHOUSE, INCORPORATED",85 MONAHAN AVENUE,STATEN ISLAND,10314,718-761-0129 / 718-761-0129,5196 / 5410,08/05/2015 / 06/30/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,75 / 18,No / No,Private / Private,93,40.588688,-74.149384
DC24569,"THE CHILDREN'S PLAYHOUSE, INC.","THE CHILDREN'S PLAYHOUSE, INC.",950 ROCKLAND AVENUE,STATEN ISLAND,10314,718-761-0129,26240,10/24/2014,Permitted,2 YEARS - 5 YEARS,12,No,Private,12,40.588879,-74.14925
DC14311,THE CHRISTIAN LEARNING CENTER,"CHRISTIAN LEARNING CENTER DAY CARE, INC.",444 EAST 45 STREET,BROOKLYN,11203,718-287-5149,5061,12/15/2014,Permitted,2 YEARS - 5 YEARS,64,No,Private,64,40.65077,-73.935421
DC11635,THE CHURCH OF THE EPIPHANY DAY SCHOOL,THE CHURCH OF THE EPIPHANY,1393 YORK AVENUE,MANHATTAN,10021,212-737-2720,7378,5/2/2015,Permitted,2 YEARS - 5 YEARS,75,No,Private,75,40.768506,-73.952996
DC14815 / DC2159,THE CITIGROUP CHILDREN'S CENTER  AT 399 PARK / THE CITIGROUP CHILDREN'S  CENTER  @ 399 PARK,"BRIGHT HORIZONS CHILDREN'S CENTER, INC. / BRIGHT HORIZONS CHILDREN'S CENTER, INC.",399 PARK AVENUE,MANHATTAN,10022,212-559-4005 / 212-793-4000,7144 / 7113,10/02/2015 / 10/02/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,14-Dec,No / No,Corporate / Corporate,26,-73.9719807,
DC14128 / DC3068,THE CITYGROUP CHILDRENS CENTER / THE CITIGROUP CHILDREN'S CENTER,"BRIGHT HORIZONS CHILDREN'S CENTER, INC. / BRIGHT HORIZONS CHILDREN'S CENTER, INC.",388 GREENWICH STREET,MANHATTAN,10013,212-816-7700 / 212-816-7700,6590 / 6589,06/27/2015 / 07/19/2013,Permitted / Expired-InRenewal,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,15 / 16,No / No,Corporate / Corporate,31,40.7206627,-74.0113978
DC19107,THE CO-OP SCHOOL,THE CO-OP SCHOOL,81-87 IRVING PLACE,BROOKLYN,11238,347-721-3408,8072,9/9/2015,Permitted,2 YEARS - 5 YEARS,94,No,Private,94,40.6824551,-73.9595207
DC2267,THE CORNER SCHOOL,THE CORNER SCHOOL,150-03 BAYSIDE AVENUE,QUEENS,11354,718-445-2811,1889,5/3/2016,Permitted,2 YEARS - 5 YEARS,39,No,Private,39,40.771776,-73.815574
DC2418,THE CREATIVE PLAYSCHOOL - FIFTH AVENUE SYNAGOGUE,FIFTH AVENUE SYNAGOGUE,5 EAST 62 STREET,MANHATTAN,10065,212-750-8793,5627,9/24/2012,Expired-InRenewal,2 YEARS - 5 YEARS,40,No,Private,40,40.766039,-73.970798
DC1014,THE DAVID FOSTER PRESCHOOL ACADEMY,SHEILA FOSTER-GOLDING,580 ROGERS AVENUE,BROOKLYN,11225,718-462-0776,6614,12/14/2014,Permitted,2 YEARS - 5 YEARS,25,No,Private,25,40.657519,-73.953495
DC65 / DC10659,THE EARLY CHILDHOOD CENTER OF THE BROOKLYN COLLEGE CHILD CARE SERVICES / THE EARLY CHILDHOOD CENTER OF THE BROOKLYN COLLEGE CHILD CARE SERVICES,"BROOKLYN COLLEGE CHILD CARE SERVICES, INC. / BROOKLYN COLLEGE CHILD CARE SERVICES, INC.",2900 BEDFORD AVENUE,BROOKLYN,11210,718-951-5431 / 718-951-5431,7124 / 1448,02/28/2015 / 03/30/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,28 / 55,No / No,Private / Private,83,40.6319593,-73.9527159
DC11539,THE EDUCATIONAL  ALLIANCE HEAD START    @ PS 142,THE EDUCATIONAL ALLIANCE,100 ATTORNEY STREET,MANHATTAN,10002,212-780-5225,6653,12/9/2014,Permitted,2 YEARS - 5 YEARS,69,No,ACS Head Start,69,40.7182426,-73.9843325
DC3124,THE EDUCATIONAL ALLIANCE  HEAD START,THE EDUCATIONAL ALLIANCE,600 EAST 6 STREET,MANHATTAN,10009,212-979-2386,7345,2/9/2015,Permitted,2 YEARS - 5 YEARS,20,No,ACS Contracted Preschools,20,40.7240249,-73.9816527
DC15116 / DC12262,THE EDUCATIONAL ALLIANCE HEAD START / THE EDUCATIONAL ALLIANCE EARLY HEAD START,THE EDUCATIONAL ALLIANCE / THE EDUCATIONAL ALLIANCE,197 EAST BROADWAY,MANHATTAN,10002,212-780-2300 / 212-780-2300,3002 / 6531,07/15/2014 / 10/06/2014,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,127 / 72,No / No,ACS Head Start / Head Start (Direct Fed. Funding),199,40.7140047,-73.9882037
DC21339,THE EDUCATIONAL ALLIANCE EARLY HEAD START  EXPANSION 2,THE EDUCATIONAL ALLIANCE,442 EAST HOUSTON STREET,MANHATTAN,10002,212-677-5710,8244,12/15/2014,Permitted,2 YEARS - 5 YEARS,28,No,Head Start (Direct Fed. Funding),28,40.7196415,-73.9774227
DC21338,THE EDUCATIONAL ALLIANCE EARLY HEADSTART EXPANSION,THE EDUCATIONAL ALLIANCE,18 AVENUE D,MANHATTAN,10009,212-780-5430,8253,2/1/2015,Permitted,2 YEARS - 5 YEARS,36,No,Head Start (Direct Fed. Funding),36,40.7205819,-73.9782467
DC15151,THE EDUCATIONAL ALLIANCE PRESCHOOL,"THE EDUCATIONAL ALLIANCE, INC.",179 HENRY ST,MANHATTAN,10002,212-780-2300,2306,3/18/2014,Expired-InRenewal,2 YEARS - 5 YEARS,267,No,Private,267,40.713737,-73.988274
DC2421,THE EPISCOPAL SCHOOL IN THE CITY OF NEW YORK,THE EPISCOPAL SCHOOL IN THE CITY OF NEW YORK,35 EAST 69 STREET,MANHATTAN,10021,212-879-9764,4201,9/8/2014,Permitted,2 YEARS - 5 YEARS,115,No,Private,115,40.769634,-73.965751
DC10736 / DC739,THE FAMILY AND LIFE CENTER OF MT. ARARAT-I/T / THE FAMILY  AND LIFE CENTER OF MT ARARAT- PRE-SCHOOL,"THE FAMILY AND LIFE CENTER OF MT.ARARAT, INC / THE FAMILY AND LIFE CENTER OF MT.ARARAT, INC.",425 HOWARD AVENUE,BROOKLYN,11233,718-342-2093 / 718-342-2093,6100 / 6099,09/28/2015 / 09/28/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,Oct-80,No / No,Private / Private,90,40.673135,-73.919261
DC3019 / DC14302,THE FAMILY ANNEX / THE FAMILY ANNEX,THE FAMILY ANNEX / THE FAMILY ANNEX,560 WEST 113 STREET,MANHATTAN,10025,212-749-3271 / 212-749-3271,4761 / 4765,06/25/2015 / 05/11/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,29 / 11,No / No,Private / Private,40,40.805608,-73.96478
DC2998,THE FIRST PRESBYTERIAN CHURCH OF FOREST HILLS,FOREST HILLS PRESBYTERIAN DAY SCHOOL,70-35 112 STREET,QUEENS,11375,718-268-8546,1811,3/23/2015,Permitted,2 YEARS - 5 YEARS,29,No,Private,29,40.723391,-73.839215
DC3025,THE GINGERBREAD LEARNING CENTER,THE GINGERBREAD LEARNING CENTER INC.,80 WOODROW ROAD,STATEN ISLAND,10312,718-356-0008,6038,7/26/2015,Permitted,2 YEARS - 5 YEARS,102,Yes,Private,102,40.563029,-74.180591
DC25014 / DC21595,THE GODDARD SCHOOL / THE GODDARD SCHOOL,2495 BROADWAY CENTER LLC / 2495 BROADWAY CENTER LLC,2495 BROADWAY,MANHATTAN,10025,212-712-2727 / 212-712-2727,49237 / 10257,07/31/2015 / 11/10/2015,Permitted / Permitted,0 YEARS - 2 YEARS / 2 YEARS - 5 YEARS,28 / 159,No / No,Private / Private,187,40.7926894,-73.9737169
DC2216 / DC14166,"THE HOUSE OF LITTLE PEOPLE, INC. / THE HOUSE OF LITTLE PEOPLE, INC.","THE HOUSE OF LITTLE PEOPLE,INC. / THE HOUSE OF LITTLE PEOPLE,INC.",122 EAST 91 STREET,MANHATTAN,10128,212-369-2740 / 212-369-2740,4368 / 5526,03/31/2015 / 05/22/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,20 / 15,No / No,Private / Private,35,40.782719,-73.95396
DC1388,"THE HOUSE OF LITTLE PEOPLE, TOO","T.R. LITTLE PEOPLE, LTD.",129 EAST 90 STREET,MANHATTAN,10128,212-860-8118,6724,5/9/2015,Permitted,0 YEARS - 2 YEARS,27,No,Private,27,40.782348,-73.9538309
DC3089,THE HUDSON GUILD,THE HUDSON GUILD,441 WEST 26 STREET,MANHATTAN,10001,212-760-9800,4719,12/17/2015,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,24,40.749552,-74.0022443
DC14934,THE INFANT AND CHILD LEARNING CENTER AT SUNY,THE RESEARCH FOUNDATION OF SUNY,670 PARKSIDE AVENUE,BROOKLYN,11226,718-675-1249,7802,9/28/2015,Permitted,2 YEARS - 5 YEARS,99,No,Private,99,40.65593,-73.95128
DC22336,THE INTERNATIONAL ACADEMY,"B'ABOVE WORLDWIDE INSTITUTE, INC.",87 PUTNAM AVENUE,BROOKLYN,11238,718-872-6565,26777,11/1/2014,Permitted,2 YEARS - 5 YEARS,80,Yes,ACS Contracted Preschools,80,40.6830981,-73.9583117
DC16845,THE INTERNATIONAL PRESCHOOL,THE INTERNATIONAL PRESCHOOL,330  EAST 45TH STREET,MANHATTAN,10017,212-371-8604,7878,6/20/2014,Permitted,0 YEARS - 2 YEARS,20,No,Private,20,40.7510872,-73.9692681
DC16837,THE INTERNATIONAL PRESCHOOL,THE INTERNATIONAL PRESCHOOL,330 EAST 45 STREET,MANHATTAN,10017,212-371-8604,7879,6/20/2014,Permitted,2 YEARS - 5 YEARS,96,No,Private,96,40.7510872,-73.9692681
DC3139,THE INTERNATIONAL PRESCHOOLS,THE INTERNATIONAL PRESCHOOLS,120 WEST 76 STREET,MANHATTAN,10023,212-724-5164,7234,9/27/2014,Permitted,2 YEARS - 5 YEARS,85,No,Private,85,40.7802798,-73.9779374
DC22822,THE INTERNATIONAL PRESCHOOLS,"INTERNATIONAL PRESCHOOLS, INC.",345 EAST 86TH STREET,MANHATTAN,10028,212-371-8604,51678,9/6/2015,Permitted,2 YEARS - 5 YEARS,80,No,Private,80,40.7774312,-73.9499242
DC1490,THE KIDS KORNER PRESCHOOL,THE KIDS KORNER PRE-SCHOOL,247 WEST 24 STREET,MANHATTAN,10011,212-229-9340,6015,3/24/2016,Permitted,2 YEARS - 5 YEARS,37,No,Private,37,40.7457683,-73.9970176
DC25758,THE LAUGH AND LEARN PLACE,THE LAUGH AND LEARN PLACE,228-23 MERRICK BLVD,QUEENS,11413,718-525-5318,57537,2/25/2016,Permitted,2 YEARS - 5 YEARS,20,No,Private,20,40.676586,-73.741428
DC20953,THE LEAGUE CENTER NURSERY/JOAN FENICHEL THERAPEUTIC NURSERY,THE LEAGUE SCHOOL,470 VANDERBILT AVENUE,BROOKLYN,11238,718-643-5300,13457,3/13/2016,Permitted,2 YEARS - 5 YEARS,200,No,Private,200,40.6830766,-73.9680195
DC26062 / DC26061,THE LEARNING EXPERIENCE / THE LEARNING EXPERIENCE,RONOMOZA INC. / RONOMOZA INC.,412 KINGS HIGHWAY,BROOKLYN,11223,718-627-7340 / 718-627-7340,52637 / 52619,09/30/2015 / 09/30/2015,Permitted / Permitted,2 YEARS - 5 YEARS / 0 YEARS - 2 YEARS,107 / 38,No / No,Private / Private,145,40.604234,-73.9747809
DC2259,THE LEARNING TREE,THE LEARNING TREE,74-15 JUNIPER BOULEVARD NORTH,QUEENS,11379,718-899-2020,4204,7/1/2015,Permitted,2 YEARS - 5 YEARS,79,No,Private,79,40.720886,-73.8845331
DC18309,THE LEARNING TREE,"BOOKS & RATTLES,INC.",86-28 FRANCIS LEWIS BLVD.,QUEENS,11427,718-740-2300,7865,3/10/2016,Permitted,2 YEARS - 5 YEARS,76,No,Private,76,40.724691,-73.765333
DC2361,THE LIFE SKILLS PRE-SCHOOL,THE LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRESCHOOLERS,97-30 QUEENS BOULEVARD,QUEENS,11374,718-459-6279,5106,10/15/2014,Permitted,2 YEARS - 5 YEARS,91,No,Private,91,40.728192,-73.859361
